,cluster,DE gene,batch
0,1,ATP1B1_ENSTGUG00000013431.2,control
1,1,SST_ENSTGUG00000027783.1,control
2,1,SLC32A1_ENSTGUG00000004537.2,control
3,1,_ENSTGUG00000012363.2,control
4,1,DNER_ENSTGUG00000008311.2,control
5,11,SLC32A1_ENSTGUG00000004537.2,control
6,11,_ENSTGUG00000020792.1,control
7,11,ATP1B1_ENSTGUG00000013431.2,control
8,11,ATP6V0C_ENSTGUG00000003256.2,control
9,11,_ENSTGUG00000006670.2,control
10,16,CALM2_ENSTGUG00000002581.2,control
11,16,SNAP25_ENSTGUG00000006133.2,control
12,16,VSNL1_ENSTGUG00000013109.2,control
13,16,YWHAG_ENSTGUG00000004553.2,control
14,16,SNCB_ENSTGUG00000000512.2,control
15,6,APOA1_ENSTGUG00000021957.1,control
16,6,SLC1A2_ENSTGUG00000021059.1,control
17,6,_ENSTGUG00000026378.1,control
18,6,FABP7_ENSTGUG00000011826.2,control
19,6,SLC1A3_ENSTGUG00000002032.2,control
20,9,SLC1A2_ENSTGUG00000021059.1,control
21,9,GJA1_ENSTGUG00000011847.2,control
22,9,APOA1_ENSTGUG00000021957.1,control
23,9,AGT_ENSTGUG00000009957.2,control
24,9,SLC1A3_ENSTGUG00000002032.2,control
25,0,GRIA2_ENSTGUG00000005484.2,control
26,0,APP_ENSTGUG00000013557.2,control
27,0,NPTXR_ENSTGUG00000024678.1,control
28,0,OLFM1_ENSTGUG00000006000.2,control
29,0,NELL2_ENSTGUG00000005974.2,control
30,4,OLFM1_ENSTGUG00000006000.2,control
31,4,SERPINI1_ENSTGUG00000011067.2,control
32,4,CHGB_ENSTGUG00000025948.1,control
33,4,APP_ENSTGUG00000013557.2,control
34,4,DPP6_ENSTGUG00000000647.2,control
35,8,NTS_ENSTGUG00000027877.1,control
36,8,CCK_ENSTGUG00000004682.2,control
37,8,APP_ENSTGUG00000013557.2,control
38,8,OLFM1_ENSTGUG00000006000.2,control
39,8,SLC17A6_ENSTGUG00000004570.2,control
40,10,NELL2_ENSTGUG00000005974.2,control
41,10,CLSTN1_ENSTGUG00000003610.2,control
42,10,APP_ENSTGUG00000013557.2,control
43,10,GRIA2_ENSTGUG00000005484.2,control
44,10,CPE_ENSTGUG00000005938.2,control
45,12,CD74_ENSTGUG00000000882.2,control
46,12,TMSB4X_ENSTGUG00000008243.2,control
47,12,_ENSTGUG00000019883.1,control
48,12,BEST1_ENSTGUG00000005934.2,control
49,12,SAT1_ENSTGUG00000007289.2,control
50,2,STMN1_ENSTGUG00000017327.2,control
51,2,TUBB2A_ENSTGUG00000028536.1,control
52,2,TUBA1B_ENSTGUG00000010166.2,control
53,2,TMSB15B_ENSTGUG00000006515.2,control
54,2,RPLP1_ENSTGUG00000012661.2,control
55,5,EPAS1_ENSTGUG00000003933.2,control
56,5,SLC16A7_ENSTGUG00000029204.1,control
57,5,CFD_ENSTGUG00000000656.2,control
58,5,_ENSTGUG00000023209.1,control
59,5,PLTP_ENSTGUG00000006044.2,control
60,15,EPAS1_ENSTGUG00000003933.2,control
61,15,PLTP_ENSTGUG00000006044.2,control
62,15,_ENSTGUG00000023209.1,control
63,15,CFD_ENSTGUG00000000656.2,control
64,15,POLR2B_ENSTGUG00000002929.2,control
65,17,SPARC_ENSTGUG00000000770.2,control
66,17,SERPINE2_ENSTGUG00000007943.2,control
67,17,PTN_ENSTGUG00000025134.1,control
68,17,FABP7_ENSTGUG00000011826.2,control
69,17,PTPRZ1_ENSTGUG00000004543.2,control
70,13,PLP1_ENSTGUG00000006519.2,control
71,13,CNP_ENSTGUG00000002478.2,control
72,13,MBP_ENSTGUG00000009051.2,control
73,13,_ENSTGUG00000019689.1,control
74,13,PLLP_ENSTGUG00000005247.2,control
75,18,PLP1_ENSTGUG00000006519.2,control
76,18,MBP_ENSTGUG00000009051.2,control
77,18,_ENSTGUG00000027913.1,control
78,18,APOH_ENSTGUG00000004239.2,control
79,18,PLLP_ENSTGUG00000005247.2,control
80,19,MBP_ENSTGUG00000009051.2,control
81,19,PLP1_ENSTGUG00000006519.2,control
82,19,TMSB4X_ENSTGUG00000008243.2,control
83,19,APOH_ENSTGUG00000004239.2,control
84,19,_ENSTGUG00000019689.1,control
85,3,VIM_ENSTGUG00000001298.2,control
86,3,EGF_ENSTGUG00000004206.2,control
87,3,RPLP1_ENSTGUG00000012661.2,control
88,3,_ENSTGUG00000026147.1,control
89,3,_ENSTGUG00000024584.1,control
90,14,_ENSTGUG00000015659.2,control
91,14,_ENSTGUG00000019883.1,control
92,14,BEST1_ENSTGUG00000005934.2,control
93,14,CD74_ENSTGUG00000000882.2,control
94,14,_ENSTGUG00000023468.1,control
95,7,NRGN_ENSTGUG00000028781.1,control
96,7,VSNL1_ENSTGUG00000013109.2,control
97,7,SNAP25_ENSTGUG00000006133.2,control
98,7,CALM2_ENSTGUG00000002581.2,control
99,7,YWHAG_ENSTGUG00000004553.2,control
