,cluster,DE gene,batch
0,1,ATP1B1_ENSTGUG00000013431.2,experiment
1,1,CPE_ENSTGUG00000005938.2,experiment
2,1,APP_ENSTGUG00000013557.2,experiment
3,1,SST_ENSTGUG00000027783.1,experiment
4,1,ATP6V0C_ENSTGUG00000003256.2,experiment
5,11,CALM2_ENSTGUG00000002581.2,experiment
6,11,CALM1_ENSTGUG00000019117.1,experiment
7,11,VSNL1_ENSTGUG00000013109.2,experiment
8,11,NRGN_ENSTGUG00000028781.1,experiment
9,11,SNAP25_ENSTGUG00000006133.2,experiment
10,8,SLC1A2_ENSTGUG00000021059.1,experiment
11,8,GJA1_ENSTGUG00000011847.2,experiment
12,8,SLC1A3_ENSTGUG00000002032.2,experiment
13,8,APOA1_ENSTGUG00000021957.1,experiment
14,8,AGT_ENSTGUG00000009957.2,experiment
15,10,SLC1A2_ENSTGUG00000021059.1,experiment
16,10,APOA1_ENSTGUG00000021957.1,experiment
17,10,SLC1A3_ENSTGUG00000002032.2,experiment
18,10,CLU_ENSTGUG00000028547.1,experiment
19,10,GLUL_ENSTGUG00000017345.2,experiment
20,0,OLFM1_ENSTGUG00000006000.2,experiment
21,0,APP_ENSTGUG00000013557.2,experiment
22,0,GRIA2_ENSTGUG00000005484.2,experiment
23,0,CLSTN1_ENSTGUG00000003610.2,experiment
24,0,SERPINI1_ENSTGUG00000011067.2,experiment
25,3,APP_ENSTGUG00000013557.2,experiment
26,3,GRIA2_ENSTGUG00000005484.2,experiment
27,3,OLFM1_ENSTGUG00000006000.2,experiment
28,3,CLSTN1_ENSTGUG00000003610.2,experiment
29,3,NELL2_ENSTGUG00000005974.2,experiment
30,13,_ENSTGUG00000019883.1,experiment
31,13,_ENSTGUG00000026378.1,experiment
32,13,_ENSTGUG00000015659.2,experiment
33,13,_ENSTGUG00000023468.1,experiment
34,13,CD74_ENSTGUG00000000882.2,experiment
35,19,SNAP25_ENSTGUG00000006133.2,experiment
36,19,OLFM1_ENSTGUG00000006000.2,experiment
