,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
WRE_WRE,0.5,16.369505606490428,272.8419257311997,0.8222477359688813,0.3645237993113143,1.0,WRE_WRE,GABAergic neurons 3
TMEM74_ENSTGUG00000022792.1,0.0,,,,,,TMEM74_ENSTGUG00000022792.1,GABAergic neurons 3
TMEM170B_ENSTGUG00000025839.1,1.0,-5.376779257318293e-15,4.784741204331254,0.0,1.0,1.0,TMEM170B_ENSTGUG00000025839.1,GABAergic neurons 3
_ENSTGUG00000020832.1,0.0,,,,,,_ENSTGUG00000020832.1,GABAergic neurons 3
_ENSTGUG00000020221.1,0.25,-13.913697504695524,167.81748613274985,0.4109750841646109,0.5214750056430177,1.0,_ENSTGUG00000020221.1,GABAergic neurons 3
RDH10_ENSTGUG00000011532.2,0.0,,,,,,RDH10_ENSTGUG00000011532.2,GABAergic neurons 3
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2,GABAergic neurons 3
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2,GABAergic neurons 3
JPH1_ENSTGUG00000011568.2,0.0,,,,,,JPH1_ENSTGUG00000011568.2,GABAergic neurons 3
GDAP1_ENSTGUG00000027544.1,1.0,-5.376779257318293e-15,4.784741204331254,0.0,1.0,1.0,GDAP1_ENSTGUG00000027544.1,GABAergic neurons 3
_ENSTGUG00000026397.1,0.0,,,,,,_ENSTGUG00000026397.1,GABAergic neurons 3
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1,GABAergic neurons 3
PEX2_ENSTGUG00000027344.1,0.0,,,,,,PEX2_ENSTGUG00000027344.1,GABAergic neurons 3
PKIA_ENSTGUG00000025587.1,0.75,2.0897553834466773,5.101176664150564,0.11836857869176853,0.730810677442231,1.0,PKIA_ENSTGUG00000025587.1,GABAergic neurons 3
GFOD1_ENSTGUG00000027728.1,0.5,-15.452532238750488,197.6341339489324,0.8222057856578182,0.36453603434515924,1.0,GFOD1_ENSTGUG00000027728.1,GABAergic neurons 3
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2,GABAergic neurons 3
_ENSTGUG00000026838.1,1.25,-0.5094041082699787,3.7476143982405357,0.017995711680210746,0.8932854681512494,1.0,_ENSTGUG00000026838.1,GABAergic neurons 3
_ENSTGUG00000022509.1,0.0,,,,,,_ENSTGUG00000022509.1,GABAergic neurons 3
