,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
WRE_WRE,0.0,,,,,,WRE_WRE,microglia 3 / radial glia
TMEM74_ENSTGUG00000022792.1,0.25,15.14891403819322,251.93754309060625,0.4110847400689064,0.5214194470342172,0.6746767022161076,TMEM74_ENSTGUG00000022792.1,microglia 3 / radial glia
TMEM170B_ENSTGUG00000025839.1,0.0,,,,,,TMEM170B_ENSTGUG00000025839.1,microglia 3 / radial glia
_ENSTGUG00000020832.1,0.0,,,,,,_ENSTGUG00000020832.1,microglia 3 / radial glia
_ENSTGUG00000020221.1,0.0,,,,,,_ENSTGUG00000020221.1,microglia 3 / radial glia
RDH10_ENSTGUG00000011532.2,0.25,-13.913697504695524,167.81748613274985,0.4109750841646109,0.5214750056430177,0.6746767022161076,RDH10_ENSTGUG00000011532.2,microglia 3 / radial glia
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2,microglia 3 / radial glia
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2,microglia 3 / radial glia
JPH1_ENSTGUG00000011568.2,0.0,,,,,,JPH1_ENSTGUG00000011568.2,microglia 3 / radial glia
GDAP1_ENSTGUG00000027544.1,0.0,,,,,,GDAP1_ENSTGUG00000027544.1,microglia 3 / radial glia
_ENSTGUG00000026397.1,0.0,,,,,,_ENSTGUG00000026397.1,microglia 3 / radial glia
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1,microglia 3 / radial glia
PEX2_ENSTGUG00000027344.1,0.0,,,,,,PEX2_ENSTGUG00000027344.1,microglia 3 / radial glia
PKIA_ENSTGUG00000025587.1,0.5,16.030978035416204,243.4809033708318,0.5362614993362929,0.4639862254183788,0.6746767022161076,PKIA_ENSTGUG00000025587.1,microglia 3 / radial glia
GFOD1_ENSTGUG00000027728.1,0.0,,,,,,GFOD1_ENSTGUG00000027728.1,microglia 3 / radial glia
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2,microglia 3 / radial glia
_ENSTGUG00000026838.1,0.5,-15.452532238750488,197.6341339489324,0.8222057856578182,0.36453603434515924,0.6746767022161076,_ENSTGUG00000026838.1,microglia 3 / radial glia
_ENSTGUG00000022509.1,0.0,,,,,,_ENSTGUG00000022509.1,microglia 3 / radial glia
FABP5_ENSTGUG00000024298.1,0.25,15.14891403819322,251.93754309060625,0.4110847400689064,0.5214194470342172,0.6746767022161076,FABP5_ENSTGUG00000024298.1,microglia 3 / radial glia
PMP2_ENSTGUG00000011663.2,0.0,,,,,,PMP2_ENSTGUG00000011663.2,microglia 3 / radial glia
FABP4_ENSTGUG00000011667.2,0.0,,,,,,FABP4_ENSTGUG00000011667.2,microglia 3 / radial glia
ZFAND1_ENSTGUG00000011672.2,0.0,,,,,,ZFAND1_ENSTGUG00000011672.2,microglia 3 / radial glia
