,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
WRE_WRE,0.0,,,,,,WRE_WRE,oligodendrocyte precursor cells
TMEM74_ENSTGUG00000022792.1,0.0,,,,,,TMEM74_ENSTGUG00000022792.1,oligodendrocyte precursor cells
TMEM170B_ENSTGUG00000025839.1,0.0,,,,,,TMEM170B_ENSTGUG00000025839.1,oligodendrocyte precursor cells
_ENSTGUG00000020832.1,0.0,,,,,,_ENSTGUG00000020832.1,oligodendrocyte precursor cells
_ENSTGUG00000020221.1,0.0,,,,,,_ENSTGUG00000020221.1,oligodendrocyte precursor cells
RDH10_ENSTGUG00000011532.2,0.0,,,,,,RDH10_ENSTGUG00000011532.2,oligodendrocyte precursor cells
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2,oligodendrocyte precursor cells
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2,oligodendrocyte precursor cells
JPH1_ENSTGUG00000011568.2,0.0,,,,,,JPH1_ENSTGUG00000011568.2,oligodendrocyte precursor cells
GDAP1_ENSTGUG00000027544.1,0.0,,,,,,GDAP1_ENSTGUG00000027544.1,oligodendrocyte precursor cells
_ENSTGUG00000026397.1,0.0,,,,,,_ENSTGUG00000026397.1,oligodendrocyte precursor cells
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1,oligodendrocyte precursor cells
PEX2_ENSTGUG00000027344.1,0.0,,,,,,PEX2_ENSTGUG00000027344.1,oligodendrocyte precursor cells
PKIA_ENSTGUG00000025587.1,0.0,,,,,,PKIA_ENSTGUG00000025587.1,oligodendrocyte precursor cells
GFOD1_ENSTGUG00000027728.1,0.0,,,,,,GFOD1_ENSTGUG00000027728.1,oligodendrocyte precursor cells
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2,oligodendrocyte precursor cells
_ENSTGUG00000026838.1,1.0,-3.848706002880957e-15,4.051982916760735,0.0,1.0,1.0,_ENSTGUG00000026838.1,oligodendrocyte precursor cells
_ENSTGUG00000022509.1,0.0,,,,,,_ENSTGUG00000022509.1,oligodendrocyte precursor cells
FABP5_ENSTGUG00000024298.1,1.75,1.2941421215976803,3.9640186174259417,0.1032741517335296,0.7479353496485304,1.0,FABP5_ENSTGUG00000024298.1,oligodendrocyte precursor cells
PMP2_ENSTGUG00000011663.2,0.75,-0.9994051607306933,6.489517444667921,0.023375907207547897,0.8784835904119441,1.0,PMP2_ENSTGUG00000011663.2,oligodendrocyte precursor cells
FABP4_ENSTGUG00000011667.2,0.0,,,,,,FABP4_ENSTGUG00000011667.2,oligodendrocyte precursor cells
ZFAND1_ENSTGUG00000011672.2,0.0,,,,,,ZFAND1_ENSTGUG00000011672.2,oligodendrocyte precursor cells
CHMP4C_ENSTGUG00000011678.2,0.0,,,,,,CHMP4C_ENSTGUG00000011678.2,oligodendrocyte precursor cells
RNF182_ENSTGUG00000027109.1,0.0,,,,,,RNF182_ENSTGUG00000027109.1,oligodendrocyte precursor cells
RALYL_ENSTGUG00000011689.2,0.0,,,,,,RALYL_ENSTGUG00000011689.2,oligodendrocyte precursor cells
MCUR1_ENSTGUG00000006092.2,0.0,,,,,,MCUR1_ENSTGUG00000006092.2,oligodendrocyte precursor cells
SIRT5_ENSTGUG00000006129.2,0.0,,,,,,SIRT5_ENSTGUG00000006129.2,oligodendrocyte precursor cells
TPMT_ENSTGUG00000006234.2,0.0,,,,,,TPMT_ENSTGUG00000006234.2,oligodendrocyte precursor cells
CA2_ENSTGUG00000011728.2,0.0,,,,,,CA2_ENSTGUG00000011728.2,oligodendrocyte precursor cells
KDM1B_ENSTGUG00000006257.2,0.0,,,,,,KDM1B_ENSTGUG00000006257.2,oligodendrocyte precursor cells
RNF144B_ENSTGUG00000026004.1,0.0,,,,,,RNF144B_ENSTGUG00000026004.1,oligodendrocyte precursor cells
ID4_ENSTGUG00000006296.2,1.5,-3.2122993353206684e-06,3.971288952321817,-3.552713678800501e-13,1.0,1.0,ID4_ENSTGUG00000006296.2,oligodendrocyte precursor cells
E2F3_ENSTGUG00000006335.2,0.0,,,,,,E2F3_ENSTGUG00000006335.2,oligodendrocyte precursor cells
MMP16_ENSTGUG00000011786.2,0.0,,,,,,MMP16_ENSTGUG00000011786.2,oligodendrocyte precursor cells
NBN_ENSTGUG00000011805.2,0.0,,,,,,NBN_ENSTGUG00000011805.2,oligodendrocyte precursor cells
CALB1_ENSTGUG00000011825.2,0.0,,,,,,CALB1_ENSTGUG00000011825.2,oligodendrocyte precursor cells
NRSN1_ENSTGUG00000006383.2,0.0,,,,,,NRSN1_ENSTGUG00000006383.2,oligodendrocyte precursor cells
VIRMA_ENSTGUG00000011895.2,0.0,,,,,,VIRMA_ENSTGUG00000011895.2,oligodendrocyte precursor cells
SKAP2_ENSTGUG00000002889.2,0.0,,,,,,SKAP2_ENSTGUG00000002889.2,oligodendrocyte precursor cells
_ENSTGUG00000020082.1,0.0,,,,,,_ENSTGUG00000020082.1,oligodendrocyte precursor cells
CDH18_ENSTGUG00000007189.2,0.0,,,,,,CDH18_ENSTGUG00000007189.2,oligodendrocyte precursor cells
LPCAT1_ENSTGUG00000008465.2,0.0,,,,,,LPCAT1_ENSTGUG00000008465.2,oligodendrocyte precursor cells
ALDH5A1_ENSTGUG00000006463.2,0.0,,,,,,ALDH5A1_ENSTGUG00000006463.2,oligodendrocyte precursor cells
SYBU_ENSTGUG00000012263.2,0.0,,,,,,SYBU_ENSTGUG00000012263.2,oligodendrocyte precursor cells
FKBP9_ENSTGUG00000005249.2,0.0,,,,,,FKBP9_ENSTGUG00000005249.2,oligodendrocyte precursor cells
_ENSTGUG00000028991.1,0.0,,,,,,_ENSTGUG00000028991.1,oligodendrocyte precursor cells
KCNV1_ENSTGUG00000012266.2,0.0,,,,,,KCNV1_ENSTGUG00000012266.2,oligodendrocyte precursor cells
KIAA0319_ENSTGUG00000006487.2,0.0,,,,,,KIAA0319_ENSTGUG00000006487.2,oligodendrocyte precursor cells
IRX1_ENSTGUG00000008517.2,0.5,-15.452559797211078,197.6325956776314,0.8531411285258681,0.35566524387771675,1.0,IRX1_ENSTGUG00000008517.2,oligodendrocyte precursor cells
NDUFAF6_ENSTGUG00000011949.2,0.0,,,,,,NDUFAF6_ENSTGUG00000011949.2,oligodendrocyte precursor cells
TRIQK_ENSTGUG00000022552.1,0.0,,,,,,TRIQK_ENSTGUG00000022552.1,oligodendrocyte precursor cells
C8orf37_ENSTGUG00000011955.2,0.0,,,,,,C8orf37_ENSTGUG00000011955.2,oligodendrocyte precursor cells
GABBR2_ENSTGUG00000008527.2,0.0,,,,,,GABBR2_ENSTGUG00000008527.2,oligodendrocyte precursor cells
MTERF3_ENSTGUG00000011961.2,0.0,,,,,,MTERF3_ENSTGUG00000011961.2,oligodendrocyte precursor cells
CTDP1_ENSTGUG00000006649.2,0.0,,,,,,CTDP1_ENSTGUG00000006649.2,oligodendrocyte precursor cells
CDH17_ENSTGUG00000011871.2,0.0,,,,,,CDH17_ENSTGUG00000011871.2,oligodendrocyte precursor cells
GEM_ENSTGUG00000011878.2,0.0,,,,,,GEM_ENSTGUG00000011878.2,oligodendrocyte precursor cells
_ENSTGUG00000002953.2,0.0,,,,,,_ENSTGUG00000002953.2,oligodendrocyte precursor cells
CPQ_ENSTGUG00000011977.2,0.0,,,,,,CPQ_ENSTGUG00000011977.2,oligodendrocyte precursor cells
OTULINL_ENSTGUG00000007437.2,0.0,,,,,,OTULINL_ENSTGUG00000007437.2,oligodendrocyte precursor cells
SLC66A2_ENSTGUG00000023857.1,0.0,,,,,,SLC66A2_ENSTGUG00000023857.1,oligodendrocyte precursor cells
SLC39A6_ENSTGUG00000008614.2,0.0,,,,,,SLC39A6_ENSTGUG00000008614.2,oligodendrocyte precursor cells
TRIO_ENSTGUG00000007442.2,0.0,,,,,,TRIO_ENSTGUG00000007442.2,oligodendrocyte precursor cells
