,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
WRE_WRE,0.0,,,,,,WRE_WRE,red blood cells
TMEM74_ENSTGUG00000022792.1,0.0,,,,,,TMEM74_ENSTGUG00000022792.1,red blood cells
TMEM170B_ENSTGUG00000025839.1,0.0,,,,,,TMEM170B_ENSTGUG00000025839.1,red blood cells
_ENSTGUG00000020832.1,0.0,,,,,,_ENSTGUG00000020832.1,red blood cells
_ENSTGUG00000020221.1,0.0,,,,,,_ENSTGUG00000020221.1,red blood cells
RDH10_ENSTGUG00000011532.2,0.0,,,,,,RDH10_ENSTGUG00000011532.2,red blood cells
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2,red blood cells
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2,red blood cells
JPH1_ENSTGUG00000011568.2,0.0,,,,,,JPH1_ENSTGUG00000011568.2,red blood cells
GDAP1_ENSTGUG00000027544.1,0.0,,,,,,GDAP1_ENSTGUG00000027544.1,red blood cells
_ENSTGUG00000026397.1,0.0,,,,,,_ENSTGUG00000026397.1,red blood cells
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1,red blood cells
PEX2_ENSTGUG00000027344.1,0.0,,,,,,PEX2_ENSTGUG00000027344.1,red blood cells
PKIA_ENSTGUG00000025587.1,0.0,,,,,,PKIA_ENSTGUG00000025587.1,red blood cells
GFOD1_ENSTGUG00000027728.1,0.0,,,,,,GFOD1_ENSTGUG00000027728.1,red blood cells
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2,red blood cells
_ENSTGUG00000026838.1,3.025285742677775,0.21087716231784442,1.408496439297183,0.022386092895569476,0.8810645638897503,0.983635411149021,_ENSTGUG00000026838.1,red blood cells
_ENSTGUG00000022509.1,0.0,,,,,,_ENSTGUG00000022509.1,red blood cells
FABP5_ENSTGUG00000024298.1,0.0,,,,,,FABP5_ENSTGUG00000024298.1,red blood cells
PMP2_ENSTGUG00000011663.2,0.0,,,,,,PMP2_ENSTGUG00000011663.2,red blood cells
FABP4_ENSTGUG00000011667.2,0.0,,,,,,FABP4_ENSTGUG00000011667.2,red blood cells
ZFAND1_ENSTGUG00000011672.2,0.0,,,,,,ZFAND1_ENSTGUG00000011672.2,red blood cells
CHMP4C_ENSTGUG00000011678.2,0.0,,,,,,CHMP4C_ENSTGUG00000011678.2,red blood cells
RNF182_ENSTGUG00000027109.1,0.0,,,,,,RNF182_ENSTGUG00000027109.1,red blood cells
RALYL_ENSTGUG00000011689.2,0.0,,,,,,RALYL_ENSTGUG00000011689.2,red blood cells
MCUR1_ENSTGUG00000006092.2,0.0,,,,,,MCUR1_ENSTGUG00000006092.2,red blood cells
SIRT5_ENSTGUG00000006129.2,0.0,,,,,,SIRT5_ENSTGUG00000006129.2,red blood cells
TPMT_ENSTGUG00000006234.2,0.0,,,,,,TPMT_ENSTGUG00000006234.2,red blood cells
