,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.03501566266822683,9.433848280245947,17.25415660562428,0.1734698449741927,0.6770462796373644,1.0,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.029881203688734242,-9.192138625476375,17.202778725816994,0.16799861311011455,0.6818966631633055,1.0,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.10967499019949513,-6.858701662366622,7.7631617027768955,0.16684607182679656,0.6829301507640139,1.0,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.0050032606077526276,-10.605065737751167,60.9730354196123,0.04717440488230018,0.8280550592089093,1.0,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.049845302937366956,-8.154645948755105,12.996211185884494,0.11903934156653406,0.7300787454816389,1.0,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.0,,,,,,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.020000969595462586,-8.028221860790737,17.858963248857002,0.07641955303727599,0.7822094716790288,1.0,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.03491688940848216,-13.336199519276764,53.88381685672966,0.2993161964655542,0.5843114220180197,1.0,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.010020281712636915,-11.606556453704835,57.44012882048438,0.09622416592050698,0.7564087161928762,1.0,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.0050032606077526276,-10.606279171228225,60.96962881640195,0.04718411804249634,0.828037635115031,1.0,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.034894582694743354,-7.628010575903121,12.967776748160356,0.10951109529648306,0.7407014347438181,1.0,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.08477169871950324,-9.65181712003597,12.475060475205208,0.31671890047422835,0.5735861698376953,1.0,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.05489738695162686,-7.561763951114243,13.261240726895169,0.07484435756087748,0.7844097356255665,1.0,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,0.2694862411530986,-0.9351879102960008,4.826393435108697,0.004194146139809618,0.9483633161956624,1.0,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.004994598125429615,-10.6042039686908,60.97543364341193,0.04716751537468333,0.8280674191912103,1.0,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,1.3174999723066316,-0.2909116557470912,0.6253700027447098,0.10093233704031945,0.7507136489771109,1.0,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,0.0,,,,,,PMP2_ENSTGUG00000011663.2
FABP4_ENSTGUG00000011667.2,0.0050032606077526276,-10.60627917122822,60.96962881640171,0.04718411804249634,0.828037635115031,1.0,FABP4_ENSTGUG00000011667.2
ZFAND1_ENSTGUG00000011672.2,0.0749032977021226,-4.447140713506727,8.911397517628192,0.0209903886498779,0.8848051426972896,1.0,ZFAND1_ENSTGUG00000011672.2
CHMP4C_ENSTGUG00000011678.2,0.0,,,,,,CHMP4C_ENSTGUG00000011678.2
RNF182_ENSTGUG00000027109.1,0.05498235222594189,-6.491477967483388,9.538499308816666,0.09432379019126813,0.7587506772495926,1.0,RNF182_ENSTGUG00000027109.1
RALYL_ENSTGUG00000011689.2,0.015009841919108997,-6.838267101023609,18.573228800638,0.033324662943726935,0.8551507743340976,1.0,RALYL_ENSTGUG00000011689.2
MCUR1_ENSTGUG00000006092.2,0.06498061346942496,-5.451747659473222,8.75094869278098,0.05246450830773597,0.8188290267427123,1.0,MCUR1_ENSTGUG00000006092.2
SIRT5_ENSTGUG00000006129.2,0.14958461244273763,-8.639745170638404,8.15471995519774,0.41174022976690594,0.5210875524523013,1.0,SIRT5_ENSTGUG00000006129.2
TPMT_ENSTGUG00000006234.2,0.07991282836258048,-8.833696346244748,10.323159656432303,0.33041909657902124,0.5654124129795645,1.0,TPMT_ENSTGUG00000006234.2
CA2_ENSTGUG00000011728.2,0.024944988126389914,-12.891825312311362,54.589473969014826,0.2435041447802817,0.6216866135314101,1.0,CA2_ENSTGUG00000011728.2
