,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.05492367344124042,14.030562006083947,54.650104147154416,0.40480122701488597,0.5246200620211577,1.0,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.014968157002979623,0.0585129426333144,20.367987054336027,1.7993020584583519e-06,0.9989297334071081,1.0,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.02494554253582164,-8.370601412935407,17.875151960430586,0.08067990350046017,0.7763781325351341,1.0,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.005000920247443173,-10.610664463515928,60.96121682064114,0.04721764206544954,0.8279775119806684,1.0,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.04500155536897364,5.346075165726333,11.345028658707209,0.025887663294867025,0.8721749689598793,1.0,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.2950899112841824,4.782658368721009,4.6972454639702494,0.14444003564017294,0.7039063146131638,1.0,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.060067650099643446,-10.386639020373838,16.981678947385316,0.27919080664739226,0.5972320817696124,1.0,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.004983618377768225,-10.602365337946964,60.984474751017785,0.04715122672336136,0.828096645277674,1.0,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.024969997497865968,5.766408174794489,13.6783468285088,0.02790090879162932,0.8673419973256077,1.0,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.009984538625211398,11.700353901375445,58.996727859484025,0.0962879111616246,0.7563305998118491,1.0,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.005000920247443173,-10.606515620863192,60.972861679487046,0.04718443187303478,0.8280370721768705,1.0,_ENSTGUG00000020337.1
