,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster,number_of_subsamples
0,_ENSTGUG00000019689.1,49.49093251711675,-0.631500117048677,0.09998202277311748,36.305181039104575,1.6871475606964848e-09,8.5271687300711e-08,_ENSTGUG00000019689.1,oligodendrocytes 1,10
1,PLAAT1_ENSTGUG00000009218.2,8.177543757593572,-0.9691282695414962,0.13757209086104782,45.681612466858276,1.391226087690354e-11,1.5164364355824858e-09,PLAAT1_ENSTGUG00000009218.2,oligodendrocytes 1,10
2,TMSB15B_ENSTGUG00000006515.2,23.3872132376473,0.9785363401441484,0.14826881698936026,36.01967226920237,1.9533545785681134e-09,8.5271687300711e-08,TMSB15B_ENSTGUG00000006515.2,oligodendrocytes 1,10
3,_ENSTGUG00000000842.2,2.7674179350771513,1.99781855099264,0.2894889833280079,37.7951996613549,7.857488372656782e-10,4.894092757826225e-08,_ENSTGUG00000000842.2,oligodendrocytes 1,10
4,SFTPC_ENSTGUG00000023951.1,10.135360258467758,1.284889659695595,0.14091348740037882,75.07410547099154,4.533736633873981e-18,6.58903057456352e-16,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,10
5,PNMT_ENSTGUG00000002234.2,2.751063478859009,-6.8573102511647575,0.9263095022715828,39.24336128627533,3.741383164654572e-10,2.7187384329823225e-08,PNMT_ENSTGUG00000002234.2,oligodendrocytes 1,10
6,_ENSTGUG00000029183.1,2.5040845357508963,-1.5537261725964369,0.2412108939371135,36.017261634630025,1.9557726445117197e-09,8.5271687300711e-08,_ENSTGUG00000029183.1,oligodendrocytes 1,10
7,_ENSTGUG00000024606.1,8.455218025228538,-4.333299550829918,0.4426778035198444,40.4911118849825,1.975124778671629e-10,1.7223088070016607e-08,_ENSTGUG00000024606.1,oligodendrocytes 1,10
8,_ENSTGUG00000027913.1,23.08900384638969,7.28315462236021,0.2946381244067689,1258.0650294488173,1.4668777082689096e-275,6.395586808052446e-273,_ENSTGUG00000027913.1,oligodendrocytes 1,10
9,_ENSTGUG00000023828.1,3.2174517315636213,-9.36381802802631,1.3731964014072262,157.95228945470512,3.170048667128255e-36,6.910706094339595e-34,_ENSTGUG00000023828.1,oligodendrocytes 1,10
10,APOD_ENSTGUG00000008991.2,1.9946238755214944,2.291163004480677,0.3533656540606577,32.81566876406134,1.0132481974621607e-08,2.849760555362327e-07,APOD_ENSTGUG00000008991.2,oligodendrocytes 1,10
11,TMSB15B_ENSTGUG00000006515.2,24.508591164449765,0.9666734367739812,0.14716526033477645,35.635093194593075,2.379618562303803e-09,7.648773950262224e-08,TMSB15B_ENSTGUG00000006515.2,oligodendrocytes 1,10
12,_ENSTGUG00000000842.2,2.4448451563367004,2.3780214855915407,0.29951773712410684,52.03350861697289,5.4561548429281e-13,2.455269679317645e-11,_ENSTGUG00000000842.2,oligodendrocytes 1,10
13,SFTPC_ENSTGUG00000023951.1,9.7764641859955,1.5097159871462467,0.13550728878718926,115.21501445835634,7.061095426232916e-27,5.295821569674687e-25,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,10
14,PNMT_ENSTGUG00000002234.2,2.3652432544241937,-7.812462184389004,1.1682395901126088,42.06030735592685,8.850146908640069e-11,3.318805090740025e-09,PNMT_ENSTGUG00000002234.2,oligodendrocytes 1,10
15,_ENSTGUG00000029183.1,2.3694283006780976,-1.5272380778584878,0.25347157549278393,31.180303692012558,2.351398137727501e-08,5.878495344318753e-07,_ENSTGUG00000029183.1,oligodendrocytes 1,10
16,_ENSTGUG00000024606.1,6.815780238917536,-4.3794186268709305,0.3982271365512437,74.41889228028798,6.318146359294312e-18,3.5539573271030514e-16,_ENSTGUG00000024606.1,oligodendrocytes 1,10
17,_ENSTGUG00000027913.1,26.309949221043304,7.566467436130841,0.3170117390496291,996.5257019076444,1.0220082040159453e-218,2.299518459035878e-216,_ENSTGUG00000027913.1,oligodendrocytes 1,10
18,_ENSTGUG00000023828.1,2.913000621275866,-20.99225955326685,81.59654937906706,176.9956588975125,2.194925538095529e-40,2.46929123035747e-38,_ENSTGUG00000023828.1,oligodendrocytes 1,10
19,_ENSTGUG00000019689.1,48.19564873255529,-0.5887479240557649,0.09281038483910654,37.104174552454204,1.119837256017165e-09,3.599476894340888e-08,_ENSTGUG00000019689.1,oligodendrocytes 1,10
20,HMOX1_ENSTGUG00000010842.2,5.537451528229036,-0.8591584165737126,0.1424477793280866,34.353625438234644,4.595435356572976e-09,1.2924661940361495e-07,HMOX1_ENSTGUG00000010842.2,oligodendrocytes 1,10
21,TMSB15B_ENSTGUG00000006515.2,22.423486998221563,1.1673291466543163,0.1563277603632151,45.377483484022825,1.6249175336960027e-11,7.312128901632012e-10,TMSB15B_ENSTGUG00000006515.2,oligodendrocytes 1,10
22,SFTPC_ENSTGUG00000023951.1,9.296177145863897,1.2232959974318185,0.14479234270613806,64.22988117850196,1.1071676618540056e-15,8.303757463905044e-14,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,10
23,PNMT_ENSTGUG00000002234.2,2.440954905494018,-7.294808928268473,1.1113375568062458,33.40514999893526,7.482556132626363e-09,1.870639033156591e-07,PNMT_ENSTGUG00000002234.2,oligodendrocytes 1,10
24,_ENSTGUG00000029183.1,1.9998082708134333,-1.727359352846644,0.2662609499053508,37.891340665890205,7.479649358771273e-10,2.804868509539227e-08,_ENSTGUG00000029183.1,oligodendrocytes 1,10
25,_ENSTGUG00000024606.1,7.563514233460639,-4.841082971595831,0.43993663453062815,62.35469841084637,2.8684627437346197e-15,1.6135102933507234e-13,_ENSTGUG00000024606.1,oligodendrocytes 1,10
26,_ENSTGUG00000027913.1,25.01073687334197,7.034461547263414,0.27424127792110153,1106.1431602968676,1.52653687404965e-242,3.4347079666117125e-240,_ENSTGUG00000027913.1,oligodendrocytes 1,10
27,_ENSTGUG00000023828.1,3.4842737313236376,-9.256324997590788,1.295595902677097,181.62953367438422,2.1361692818246388e-41,2.4031904420527192e-39,_ENSTGUG00000023828.1,oligodendrocytes 1,10
28,PLAAT1_ENSTGUG00000009218.2,9.181839913003438,-0.8996268662748009,0.13770376791581526,38.68716279317732,4.97470106503281e-10,3.641481179604017e-08,PLAAT1_ENSTGUG00000009218.2,oligodendrocytes 1,10
29,SFTPC_ENSTGUG00000023951.1,9.490545176377728,1.417603162122438,0.13644423132709393,99.73047015803286,1.746140273581891e-23,2.130291133769907e-21,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,10
30,_ENSTGUG00000029183.1,2.4317403878824395,-1.3767476051237872,0.2306751494518009,31.82709778419087,1.685250966745167e-08,1.0280030897145522e-06,_ENSTGUG00000029183.1,oligodendrocytes 1,10
31,_ENSTGUG00000024606.1,8.583839330851117,-4.209714192637061,0.3896208762564005,60.62892044321598,6.891408521772739e-15,6.305638797422057e-13,_ENSTGUG00000024606.1,oligodendrocytes 1,10
32,_ENSTGUG00000027913.1,26.166774361060643,7.660716257734937,0.3188316083537319,1104.0221796477058,4.4125375524416405e-242,1.6149887441936402e-239,_ENSTGUG00000027913.1,oligodendrocytes 1,10
33,_ENSTGUG00000023828.1,3.5865884664270085,-9.918885953912415,1.6229024627347652,227.2011609706097,2.4307407131988645e-51,4.448255505153923e-49,_ENSTGUG00000023828.1,oligodendrocytes 1,10
34,TMSB15B_ENSTGUG00000006515.2,23.671518880894478,1.0928903130553336,0.1412961751120526,50.3343898951764,1.29657364903854e-12,2.2145477925578262e-10,TMSB15B_ENSTGUG00000006515.2,oligodendrocytes 1,10
35,SFTPC_ENSTGUG00000023951.1,9.895928895427783,1.479524520159036,0.14409372209698298,94.97911636555635,1.9240437399168253e-22,5.477111179629896e-20,SFTPC_ENSTGUG00000023951.1,oligodendrocytes 1,10
36,PNMT_ENSTGUG00000002234.2,2.1404306411491687,-7.553676464463937,1.1812265344143416,36.47252665967608,1.5483330246658535e-09,2.203794005107732e-07,PNMT_ENSTGUG00000002234.2,oligodendrocytes 1,10
37,_ENSTGUG00000024606.1,7.2180065473086925,-4.3760883042676735,0.42172315254284665,56.880658596377884,4.6307797398967286e-14,9.886714744679516e-12,_ENSTGUG00000024606.1,oligodendrocytes 1,10
38,_ENSTGUG00000027913.1,24.821881708169613,7.6683634060820625,0.3143453527986308,1672.2085719190534,0.0,0.0,_ENSTGUG00000027913.1,oligodendrocytes 1,10
39,_ENSTGUG00000023828.1,2.9594045510610307,-9.409652022481243,1.4544066512001042,134.8888546034865,3.491783971689481e-31,1.4909917559114085e-28,_ENSTGUG00000023828.1,oligodendrocytes 1,10
