,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster,number_of_subsamples
0,_ENSTGUG00000017273.2,1.9625069517065927,-6.427704537443067,0.9159014225260778,42.29434393014867,7.851931407519146e-11,3.0842386568735215e-07,_ENSTGUG00000017273.2,radial glia 1,10
1,_ENSTGUG00000017273.2,2.8602912518209305,-5.772813916596478,0.5845389107012299,104.1258233855648,1.8986740296884623e-24,7.416220759963134e-21,_ENSTGUG00000017273.2,radial glia 1,10
2,HBAA_ENSTGUG00000004372.2,3.366185847377356,-4.820340554780014,0.30607241870679924,733.0333719995093,1.961613663882718e-161,4.413630743736114e-159,HBAA_ENSTGUG00000004372.2,radial glia 1,10
3,_ENSTGUG00000017273.2,2.6018633564872244,-4.838648597513205,0.502610564118557,85.06176967414103,2.891882467815614e-20,3.2533677762925656e-18,_ENSTGUG00000017273.2,radial glia 1,10
4,IFI6_ENSTGUG00000021692.1,3.320444728269567,-6.416898905462606,0.8714896113618651,39.24110065047569,3.745717491548952e-10,7.324750554723976e-07,IFI6_ENSTGUG00000021692.1,radial glia 1,10
5,_ENSTGUG00000017273.2,2.3894259235286874,-5.052313178435975,0.5508422319127777,81.25613595562966,1.9827900690193538e-19,7.754691959934692e-16,_ENSTGUG00000017273.2,radial glia 1,10
6,_ENSTGUG00000017273.2,2.0126929009700847,-7.155426072277076,1.0112611975751526,51.67787157033234,6.539566581981258e-13,1.4714024809457832e-10,_ENSTGUG00000017273.2,radial glia 1,10
7,_ENSTGUG00000017273.2,2.608176105421871,-4.582550951194513,0.4932991870440926,80.76486119500339,2.5423883082033988e-19,9.894975295527629e-16,_ENSTGUG00000017273.2,radial glia 1,10
8,_ENSTGUG00000028479.1,11.521088299827266,-25.04132771280047,109.484798963419,3204.956202607049,0.0,0.0,_ENSTGUG00000028479.1,radial glia 1,10
9,_ENSTGUG00000017273.2,2.3243426996672336,-5.546813401903559,0.6408263806441439,74.5780513986989,5.8287643233791175e-18,7.629852499303266e-15,_ENSTGUG00000017273.2,radial glia 1,10
10,_ENSTGUG00000029343.1,8.306892008449699,-17.702017251278075,16.213248011410712,2311.013731792877,0.0,0.0,_ENSTGUG00000029343.1,radial glia 1,10
11,_ENSTGUG00000028479.1,11.499349392173643,-18.32815351519161,17.149246724854358,3188.8286715879512,0.0,0.0,_ENSTGUG00000028479.1,radial glia 1,10
12,_ENSTGUG00000017273.2,1.9113900437193037,-4.545625160472648,0.603532865314569,44.838041765822936,2.1402394814956713e-11,2.780884499623375e-08,_ENSTGUG00000017273.2,radial glia 1,10
13,_ENSTGUG00000029343.1,8.287738762452747,-17.339914244833242,14.363461532433668,2298.2173980023013,0.0,0.0,_ENSTGUG00000029343.1,radial glia 1,10
14,_ENSTGUG00000017273.2,2.3447222180058502,-6.103306018383801,0.6828127965237802,82.8503656820426,8.850587541139822e-20,3.4596946698315567e-16,_ENSTGUG00000017273.2,radial glia 1,10
15,HBAA_ENSTGUG00000004372.2,3.2719496935725965,-7.761398415515398,0.8360262206129888,867.1568037445012,1.3542051089722136e-190,5.345047565113326e-187,HBAA_ENSTGUG00000004372.2,radial glia 1,10
16,_ENSTGUG00000017273.2,2.8543629823211623,-5.89906140690416,0.5965970517576721,107.93850501585018,2.7724834409533997e-25,5.471496070721533e-22,_ENSTGUG00000017273.2,radial glia 1,10
