,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.08474729521583109,14.657431089441587,54.13742229463218,0.5739633502568182,0.44868827082166074,1.0,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.020037363500967808,-7.305731895776374,18.572723927075437,0.03634734432865372,0.8487999748852895,1.0,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.029919298201882064,0.0052533913340344586,11.81749613657466,1.7579537825440639e-09,0.9999665463285091,1.0,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.28447858626037076,4.324649496502874,4.7250997009624,0.11277337558573208,0.73700851259214,1.0,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.1696993690584589,-5.373557032571497,6.2580005164573445,0.09813253244658426,0.7540822825129163,1.0,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.05485092655752797,-6.490993141309242,9.54911308649906,0.09473602784906632,0.7582404701776841,1.0,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.004980785688550218,-10.600836242006693,60.99457344783801,0.04713663673547508,0.8281228280074893,1.0,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.0,,,,,,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.005015429792728717,10.722183875491243,62.5706416982218,0.047338652168447126,0.8277606740544624,1.0,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.02498685530173929,8.731463413794875,17.48890454540662,0.12179860799775355,0.727091882330411,1.0,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.09481799144409737,5.666430474008687,7.386264174335567,0.08219841481979984,0.7743400012498074,1.0,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.2195524559812531,5.953156474522538,5.660463667536778,0.19252596440554726,0.660822542189661,1.0,PKIA_ENSTGUG00000025587.1
