,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.055276996197895244,14.0732533832429,54.76705396561088,0.45420100981104383,0.5003466837493408,1.0,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.01505607458398665,-6.834096832611151,18.573010358281334,0.03329725024429564,0.8552097041310743,1.0,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.020061734521695917,7.33782982932625,18.59783724043225,0.0364406892993685,0.8486082920498191,1.0,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.0,,,,,,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.020051621663970967,0.007386332343470358,14.460127090061484,-7.469509455404477e-10,1.0,1.0,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.040113391504004864,-7.421871611876782,13.254941912696491,0.07331461604239564,0.7865704584771931,1.0,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.010035953795469111,-11.602578418091197,57.426137369225415,0.09618144676810303,0.7564610821024419,1.0,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.02508191552173081,-8.708828604772778,17.592679419228503,0.12216364000928337,0.7266995925724913,1.0,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.020068964947100053,8.050457919885423,17.887437655446814,0.07652814990969858,0.7820586843511914,1.0,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.01000843744309772,0.014311821576975938,20.393780553301458,-1.0247447335132165e-09,1.0,1.0,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.010025780726226808,-11.441162772028537,58.76288980058798,0.053852884002179024,0.8164896711659022,1.0,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.005012890363113404,-10.604659402695397,60.94770816355274,0.0471821237573149,0.8280412124393236,1.0,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.17050161768182343,-4.074947153134535,5.762649368713296,0.04711662605967604,0.8281587454336339,1.0,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.020075617033455822,8.04735809166162,17.88758551616145,0.07648434203028387,0.7821194979542537,1.0,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,0.1102173983458861,-7.405580251782937,8.439453600044313,0.18056822933334615,0.670885367366967,1.0,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.005012890363113404,10.713738495717362,62.634275050032045,0.0472556491035121,0.8279093758811312,1.0,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,0.19044110786186436,-4.71933168438408,6.040381697357225,0.07974208755695145,0.7776472303209203,1.0,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,0.0,,,,,,PMP2_ENSTGUG00000011663.2
FABP4_ENSTGUG00000011667.2,0.0,,,,,,FABP4_ENSTGUG00000011667.2
ZFAND1_ENSTGUG00000011672.2,0.0,,,,,,ZFAND1_ENSTGUG00000011672.2
CHMP4C_ENSTGUG00000011678.2,0.0,,,,,,CHMP4C_ENSTGUG00000011678.2
RNF182_ENSTGUG00000027109.1,0.015061176190811406,-6.835498160356364,18.572942279212604,0.033306589366617345,0.8551896247614059,1.0,RNF182_ENSTGUG00000027109.1
RALYL_ENSTGUG00000011689.2,0.01002584093774416,-11.60134672230959,57.42933931970251,0.09616169817420683,0.7564852945947336,1.0,RALYL_ENSTGUG00000011689.2
MCUR1_ENSTGUG00000006092.2,0.025090549518049034,0.03940996931099819,14.45102630042183,1.2021550475083131e-06,0.9991251769515959,1.0,MCUR1_ENSTGUG00000006092.2
SIRT5_ENSTGUG00000006129.2,0.03510046582255348,-13.369936659993344,54.007807095294396,0.3418580661741544,0.5587586694391997,1.0,SIRT5_ENSTGUG00000006129.2
TPMT_ENSTGUG00000006234.2,0.010025780726226808,11.701986464412645,59.02165222359773,0.09629044919443075,0.7563274901753663,1.0,TPMT_ENSTGUG00000006234.2
CA2_ENSTGUG00000011728.2,0.030063192810617517,-0.0396455870231483,14.44801691298214,1.6247835361582474e-06,0.9989829607850592,1.0,CA2_ENSTGUG00000011728.2
KDM1B_ENSTGUG00000006257.2,0.08027157200683424,-6.3833981486400315,8.630359356906162,0.10701523079666231,0.7435681821548104,1.0,KDM1B_ENSTGUG00000006257.2
RNF144B_ENSTGUG00000026004.1,0.010060648136076286,0.014616181143628932,20.393436154595285,2.662464027025635e-09,0.9999588298986968,1.0,RNF144B_ENSTGUG00000026004.1
ID4_ENSTGUG00000006296.2,0.0501927509667471,-6.660103130059911,11.06156504137647,0.06573710016847656,0.7976477994030942,1.0,ID4_ENSTGUG00000006296.2
E2F3_ENSTGUG00000006335.2,0.0,,,,,,E2F3_ENSTGUG00000006335.2
MMP16_ENSTGUG00000011786.2,0.0450987301964089,-8.494803146266998,12.616255368072038,0.19854845281709288,0.6558950529345068,1.0,MMP16_ENSTGUG00000011786.2
NBN_ENSTGUG00000011805.2,0.005023063432355706,-10.611237111079012,60.929299699412674,0.04723475809480959,0.8279468241244973,1.0,NBN_ENSTGUG00000011805.2
CALB1_ENSTGUG00000011825.2,0.010043184220873247,0.014235779792056261,20.39347245688681,-2.2679707001316274e-09,1.0,1.0,CALB1_ENSTGUG00000011825.2
NRSN1_ENSTGUG00000006383.2,0.11044613487239638,5.883796146783373,6.881926368796831,0.13420808526416295,0.7141082390832587,1.0,NRSN1_ENSTGUG00000006383.2
VIRMA_ENSTGUG00000011895.2,0.01000843744309772,0.013579355464363252,20.393696445535422,-9.782858967355423e-09,1.0,1.0,VIRMA_ENSTGUG00000011895.2
SKAP2_ENSTGUG00000002889.2,0.0,,,,,,SKAP2_ENSTGUG00000002889.2
_ENSTGUG00000020082.1,0.07512912648230805,-6.766488818191857,9.540707458672912,0.09935276956805694,0.7526077225808467,1.0,_ENSTGUG00000020082.1
CDH18_ENSTGUG00000007189.2,0.04268212470888785,-0.01151865782767115,10.233398439490868,2.2550456435510569e-07,0.999621106012668,1.0,CDH18_ENSTGUG00000007189.2
LPCAT1_ENSTGUG00000008465.2,0.05014642754881518,-5.824669415070755,11.338300944641674,0.02920365074716358,0.8643096647861007,1.0,LPCAT1_ENSTGUG00000008465.2
ALDH5A1_ENSTGUG00000006463.2,0.03511780910568257,-8.718268482434937,17.445713120540297,0.12174607422848993,0.7271483931720082,1.0,ALDH5A1_ENSTGUG00000006463.2
