,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.019928813989712444,12.612053284906905,56.6847400330576,0.152202137179259,0.6964397375914226,,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.009990314919133483,0.013310829975195827,20.39356037300003,-1.4543172000003324e-08,1.0,,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.010000434435333687,0.01383812625467778,20.393336796700396,-7.370282162355579e-09,1.0,,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.00997300303991394,-11.438509363849178,58.79306463808792,0.053821601313865486,0.8165420290545368,,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.054854563661811635,-9.063343239830271,12.407583703554916,0.29066639955519236,0.5897938019720466,,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,1.194768365286796,0.3347981550349746,0.336448180681167,0.7485799085275175,0.38692621290040147,0.9951829717645874,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.2645765751781833,-9.09474962523944,6.84670110303565,0.7869768620466289,0.3750158242605095,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.005003813399176513,10.714531398076272,62.60395534277352,0.04727291968014846,0.8278784239996657,,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.00995575105524645,11.700558464372559,58.99974024569558,0.09628821074783289,0.7563302327519212,,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.0,,,,,,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.05488780641957624,-3.4646843487123746,8.805091714281472,0.018188661702140507,0.8927183386205015,,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.0349575063798483,-7.625886725075737,12.967827881973259,0.10946743747805954,0.7407512670554025,,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.12478498608660914,-5.658183570118752,6.509103697608008,0.11672391853437603,0.7326151898990527,,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,0.28939365860454314,-3.1711071853103716,5.069622592152587,0.07277730050009268,0.7873351396834978,,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.00993849907057896,11.695084537263867,59.01488641912465,0.0962009064992877,0.7564372264314856,,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,0.5294110658109935,-6.52174475493852,2.9809952577357817,1.4583173659506201,0.22719803526499543,0.9107027124187932,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,0.00997300303991394,0.013768944256960297,20.393387194452636,-9.073911400037105e-09,1.0,,PMP2_ENSTGUG00000011663.2
FABP4_ENSTGUG00000011667.2,0.029919009119741817,-13.036730079753426,53.98603967977504,0.16560501651122905,0.684047677062862,,FABP4_ENSTGUG00000011667.2
ZFAND1_ENSTGUG00000011672.2,0.03999287428915354,-0.05166958649865349,11.807501498436642,3.089318553861631e-06,0.9985976023212884,,ZFAND1_ENSTGUG00000011672.2
CHMP4C_ENSTGUG00000011678.2,0.30017120002114805,4.2186867795839715,4.9032002783731,0.08673805516770017,0.7683657391569356,0.9951829717645874,CHMP4C_ENSTGUG00000011678.2
RNF182_ENSTGUG00000027109.1,0.00496924953528948,10.70799048661959,62.62357419415927,0.047220238628957745,0.8279728561472403,,RNF182_ENSTGUG00000027109.1
RALYL_ENSTGUG00000011689.2,0.00498650151995697,-10.603859930675235,60.97653058848014,0.047164714471765734,0.8280724443649047,,RALYL_ENSTGUG00000011689.2
MCUR1_ENSTGUG00000006092.2,0.06986447288840039,0.0026223892692531963,7.740139120315854,3.558056960173417e-09,0.9999524066243122,,MCUR1_ENSTGUG00000006092.2
SIRT5_ENSTGUG00000006129.2,0.03488830354998677,8.709825358231134,17.876004661086828,0.0851645756068109,0.7704168335022235,,SIRT5_ENSTGUG00000006129.2
TPMT_ENSTGUG00000006234.2,0.02495999888975665,7.37641312537636,18.635355558687408,0.050194942312650426,0.8227244062237735,,TPMT_ENSTGUG00000006234.2
CA2_ENSTGUG00000011728.2,0.32949790557346664,-5.972952471994251,5.0678860172453835,0.21543411250712552,0.6425411376956589,0.9951829717645874,CA2_ENSTGUG00000011728.2
KDM1B_ENSTGUG00000006257.2,0.02986725316573935,-6.929269236434521,13.247654298590227,0.06706641240062083,0.7956569701496828,,KDM1B_ENSTGUG00000006257.2
RNF144B_ENSTGUG00000026004.1,0.014959564454422963,12.267004706960895,57.459724444038216,0.14539796830391793,0.7029725997464586,,RNF144B_ENSTGUG00000026004.1
ID4_ENSTGUG00000006296.2,0.0747041304075498,-6.977689443028693,11.077881725340568,0.06909163020233677,0.7926639850592585,,ID4_ENSTGUG00000006296.2
E2F3_ENSTGUG00000006335.2,0.01494225257520342,-6.835867280089599,18.57333106064544,0.03330838735205788,0.8551857593772256,,E2F3_ENSTGUG00000006335.2
