,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.10016816198083243,10.913545658391511,17.355719922045715,0.2901605848919928,0.5901176420892487,1.0,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.11001884795805303,-3.9636118012544213,7.122620562819368,0.030015163236470244,0.8624558291875356,1.0,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.1697638869453245,-4.424399239041753,5.780072924712347,0.04229695623649832,0.8370547574696634,1.0,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.024866639311594288,-7.590648255117839,18.592975949839975,0.03799439216400913,0.845454400439085,1.0,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.3295950308661304,-0.26234188537747777,4.575869110653586,0.0007154549878123362,0.9786607360439805,1.0,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.009905365122768572,11.542329958639797,60.28482321604859,0.05391711740058014,0.8163822138322862,1.0,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.014927004849209622,-6.82966761159589,18.573618787776113,0.033264797378301125,0.8552795013171476,1.0,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.21488964636512578,-3.9007989467975426,5.036474221403723,0.07877573727989784,0.7789633999379175,1.0,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.10467449286185995,-8.479895374477968,9.097173863551172,0.3224445460568859,0.5701422526186172,1.0,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.009994503973804109,11.557290186932056,60.245033569664436,0.054036761214076634,0.8161822390137873,1.0,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.005009520649917815,10.719780981921263,62.586742836415404,0.0473157833902178,0.8278016303407474,1.0,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.05485218662505111,8.810008001657216,12.51763244242382,0.2579200508048842,0.611552722050993,1.0,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.03979647697345539,-0.01574361085569412,14.437762534234425,2.3213323174786638e-07,0.9996155775842652,1.0,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.0,,,,,,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,0.4648711193790687,-2.459510219719518,1.346102550197024,0.906125378666502,0.3411445642241526,1.0,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.014954285096269795,6.860285350594672,18.597138134704426,0.03335750575202212,0.8550802042589304,1.0,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,0.20411381796982198,-2.0209226966305676,6.048948491284533,0.016414239485641247,0.8980555372603659,1.0,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,11.084393354962153,-1.8157072194963506,0.26183066668450894,19.1967165437145,1.1791603732493455e-05,0.008780028139214626,PMP2_ENSTGUG00000011663.2
FABP4_ENSTGUG00000011667.2,0.20859026552097412,-10.98943098580079,17.842621870322493,0.15475525494626652,0.6940318646999765,1.0,FABP4_ENSTGUG00000011667.2
ZFAND1_ENSTGUG00000011672.2,0.10996556427984591,-6.51129787074774,7.23837388980729,0.1579864679106322,0.6910171329164182,1.0,ZFAND1_ENSTGUG00000011672.2
CHMP4C_ENSTGUG00000011678.2,0.0,,,,,,CHMP4C_ENSTGUG00000011678.2
RNF182_ENSTGUG00000027109.1,0.0198895938974989,-12.417852718334743,55.76589004042102,0.10677064882602494,0.7438510923279059,1.0,RNF182_ENSTGUG00000027109.1
RALYL_ENSTGUG00000011689.2,0.06986055806983131,-7.651497972456548,10.869509945113956,0.11356963213809479,0.7361161930854271,1.0,RALYL_ENSTGUG00000011689.2
MCUR1_ENSTGUG00000006092.2,0.27457098666681795,-4.867184517512723,4.827977176994494,0.1130260320068146,0.7367249961705686,1.0,MCUR1_ENSTGUG00000006092.2
SIRT5_ENSTGUG00000006129.2,0.13493008511790527,-1.3429361983475985,5.918668820947462,0.0034594422371014844,0.953097849252191,1.0,SIRT5_ENSTGUG00000006129.2
TPMT_ENSTGUG00000006234.2,0.12476016568187576,4.1651006792525065,6.278888904604376,0.04125830254071161,0.8390401467412643,1.0,TPMT_ENSTGUG00000006234.2
CA2_ENSTGUG00000011728.2,1.2981437702648795,-1.0835964008507117,0.4171994445229491,4.341008974317788,0.0372048692156605,1.0,CA2_ENSTGUG00000011728.2
KDM1B_ENSTGUG00000006257.2,0.07477263927283087,6.7420877764123865,9.550491955270342,0.0984547604534356,0.7536919213624863,1.0,KDM1B_ENSTGUG00000006257.2
RNF144B_ENSTGUG00000026004.1,0.009974262385710067,-11.60707044811065,57.440029261663206,0.0962313018082952,0.7563999701346976,1.0,RNF144B_ENSTGUG00000026004.1
ID4_ENSTGUG00000006296.2,0.24424376490546426,-4.588330645796285,6.750621446955112,0.0525309771335003,0.8187162919320174,1.0,ID4_ENSTGUG00000006296.2
E2F3_ENSTGUG00000006335.2,0.10500014684258178,-5.474188673140694,6.946436430364612,0.09217714455135706,0.761427400643596,1.0,E2F3_ENSTGUG00000006335.2
MMP16_ENSTGUG00000011786.2,0.024970284094846147,0.03942564540256833,14.45115082474601,1.207561851401806e-06,0.9991232118605281,1.0,MMP16_ENSTGUG00000011786.2
NBN_ENSTGUG00000011805.2,0.05988714483339121,6.513873243276099,9.549821944998623,0.10785039813526964,0.742604825207256,1.0,NBN_ENSTGUG00000011805.2
CALB1_ENSTGUG00000011825.2,0.014967941330461351,-6.832984983322836,18.573479256602543,0.0332880926937662,0.8552293959419566,1.0,CALB1_ENSTGUG00000011825.2
NRSN1_ENSTGUG00000006383.2,0.26404894820155705,-0.3681265152340024,5.373597214585268,0.0010287122206591448,0.9744134014323105,1.0,NRSN1_ENSTGUG00000006383.2
VIRMA_ENSTGUG00000011895.2,0.10448070762246127,-7.899218849087116,8.304245615997782,0.26767339956475666,0.6048967626588154,1.0,VIRMA_ENSTGUG00000011895.2
