,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.03194505543365484,8.330592600053315,7.806669642096298,1.0637578660554396,0.3023596650192372,,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.04177833104529676,-5.335080555109408,4.25060975764584,0.5310772528781058,0.46615431184134865,,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.022144034695826622,-0.08444392614065543,5.432402720475574,4.32980963864793e-05,0.9947498546267273,,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.1571615139231542,-1.8322169835586068,2.1231651273276917,0.11083953468738628,0.7391903545242317,,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.2922795717739322,-2.7587666223323817,1.692958757829181,0.5834270902729486,0.44497213752222736,0.8026390610772416,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.061367599134027416,-0.019259645475995187,3.2262187296189553,8.875460508761535e-06,0.9976229688827319,,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.01964441801932138,-5.871666221773498,8.250335992757163,0.22749090923525017,0.6333905548813109,,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.014715822166725815,4.695859261244038,8.535453601552673,0.09114321694104888,0.7627287920244018,,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.007373678570997999,-4.701282958640464,8.56598261392683,0.09228350789657824,0.7612939755120673,,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.0024612608661758245,10.012082832782598,44.48686711942901,0.16142841413968867,0.6878448013683448,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.13260164731432939,1.6826501200444515,2.3624794797511637,0.08031354501156329,0.7768729532545269,,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.20888307495177935,-1.05118258341837,1.812598858489385,0.07121781850855768,0.7895718212316701,0.9131151123768565,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.06137242848955407,-2.74101606210802,3.220605599079373,0.1426364728239662,0.7056739428699043,,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.014710866808544675,-10.121734346044743,46.502941208669604,0.16156198703815505,0.6877224861826775,,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,0.631390202421372,0.17352931393911153,0.30565113679937933,0.2594384978846165,0.6105061768814392,0.8883536639927057,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.0312925474739895,-5.17242970646914,6.069182705019857,0.21156377974938323,0.6455444808709608,,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,0.1398096173043731,-6.775942539828008,3.3789410800370887,1.9111660900803145,0.16683378501050794,,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,0.012296924517089665,-3.5740807502711216,6.266839756700904,0.06844832064331996,0.7936095659119001,,PMP2_ENSTGUG00000011663.2
FABP4_ENSTGUG00000011667.2,0.0,,,,,,FABP4_ENSTGUG00000011667.2
ZFAND1_ENSTGUG00000011672.2,0.10319700304786954,-0.8403859224456625,2.355016940327514,0.015721740466574374,0.9002176822712942,,ZFAND1_ENSTGUG00000011672.2
CHMP4C_ENSTGUG00000011678.2,0.014777448388817683,5.698892290240664,8.536983156461375,0.12435568626975879,0.7243575840891125,,CHMP4C_ENSTGUG00000011678.2
RNF182_ENSTGUG00000027109.1,0.16949542170798074,2.061527104681695,1.8851528690988688,0.1795271782067971,0.6717798913353112,,RNF182_ENSTGUG00000027109.1
RALYL_ENSTGUG00000011689.2,0.04174301531794821,-3.050880135342501,3.671540393808136,0.11539282037992393,0.7340860863208234,,RALYL_ENSTGUG00000011689.2
MCUR1_ENSTGUG00000006092.2,0.0662875253360011,1.7836602068665617,3.3468245251978463,0.05916005317089912,0.8078284695513318,,MCUR1_ENSTGUG00000006092.2
SIRT5_ENSTGUG00000006129.2,0.15471802804989063,-5.00587215970846,2.2997960429594992,1.3962704061873978,0.23734902563080434,,SIRT5_ENSTGUG00000006129.2
TPMT_ENSTGUG00000006234.2,0.07367820340796934,-6.217208707849727,3.6933339250115056,1.3893983266316354,0.23850673412147685,,TPMT_ENSTGUG00000006234.2
CA2_ENSTGUG00000011728.2,0.0933464973101118,-1.3654784250877243,2.729033082739906,0.044392503486449186,0.8331250533696218,,CA2_ENSTGUG00000011728.2
KDM1B_ENSTGUG00000006257.2,0.024560111856989808,-4.2440776768023,5.057547628724872,0.1682398129266005,0.6816809027463333,,KDM1B_ENSTGUG00000006257.2
RNF144B_ENSTGUG00000026004.1,0.03683360480373376,-8.279760429001222,7.7605947893233775,1.1783196348476537,0.2776983501474339,,RNF144B_ENSTGUG00000026004.1
ID4_ENSTGUG00000006296.2,4.04800944827435,-0.589529136032037,0.13169620666323173,17.84085250200178,2.4017103529842005e-05,0.0006064318641285107,ID4_ENSTGUG00000006296.2
E2F3_ENSTGUG00000006335.2,0.02457227187365616,-7.868963891110651,7.858326801602423,0.9276354197922103,0.3354781144691959,,E2F3_ENSTGUG00000006335.2
MMP16_ENSTGUG00000011786.2,0.03929722831448607,-5.904165260670611,4.782342458091771,0.6846248079791906,0.40799872270184734,,MMP16_ENSTGUG00000011786.2
NBN_ENSTGUG00000011805.2,0.12280099186800664,-4.213200744195336,2.5455283737556886,0.5896337132653571,0.4425607944842468,,NBN_ENSTGUG00000011805.2
CALB1_ENSTGUG00000011825.2,0.05398056939633159,5.966250670137993,4.246683196089441,0.6307069827716703,0.42709610654295527,,CALB1_ENSTGUG00000011825.2
NRSN1_ENSTGUG00000006383.2,0.14000978360011376,-4.412936679689605,2.438945760836698,1.0101301130183629,0.31487166998053756,,NRSN1_ENSTGUG00000006383.2
VIRMA_ENSTGUG00000011895.2,0.06138446702834441,2.4136376647727107,3.4707673467142497,0.07036633035727391,0.7908041486498424,,VIRMA_ENSTGUG00000011895.2
