,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.025226636262149767,13.099196529942235,41.78550621470581,1.4552555816555781,0.22768651854581717,1.0,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.008374260005490556,-11.386851021351402,49.98010340239964,0.38927477896667995,0.5326808551713428,1.0,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.008374260005490556,11.04567815280669,44.62787255528543,0.23495354976408578,0.6278749252433731,1.0,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.011176469611768337,0.0029887005193238274,5.927288601595242,-2.7955707082583103e-08,1.0,1.0,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.027919594820525653,11.377693822654384,41.47661309998359,0.25946808329521787,0.6104858243464855,1.0,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.011176469611768337,4.8663852684347795,7.596385098298239,0.1236495596673386,0.7251094681087783,1.0,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.0027914200018301855,0.1774562612032497,154.82127683575672,-3.6816629656044597e-07,1.0,1.0,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.016759309615428708,3.233744750052326,5.559080727016859,0.07613668420997044,0.7826027787758938,1.0,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.0,,,,,,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.0,,,,,,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.011176469611768337,10.170765995804985,46.124897846291674,0.19322067763550166,0.6602494851558582,1.0,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.025155148829814455,-6.692373503151174,7.07073646641734,0.6152140849624033,0.432831342112717,1.0,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.011165680007320742,-12.292109846538704,48.29991661484575,0.7802724466802751,0.3770578288653812,1.0,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,3.0267817922936757,-0.36762535738636154,0.1673430923957373,4.3884192593179705,0.036183846201268355,1.0,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.0,,,,,,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,0.036369268078503776,3.821408181820269,5.67174660500616,0.19208558770152706,0.6611864401744846,1.0,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,0.016759309615428708,-5.531064818931454,7.322449329621446,0.2636466036970049,0.6076258849837107,1.0,PMP2_ENSTGUG00000011663.2
FABP4_ENSTGUG00000011667.2,0.013957100009150927,-11.895752619185421,48.886423069556976,0.431613669131508,0.5111982058795369,1.0,FABP4_ENSTGUG00000011667.2
ZFAND1_ENSTGUG00000011672.2,0.0056071622723622445,11.13670437128776,44.975620415368425,0.389439342332075,0.5325942544737288,1.0,ZFAND1_ENSTGUG00000011672.2
CHMP4C_ENSTGUG00000011678.2,0.0,,,,,,CHMP4C_ENSTGUG00000011678.2
RNF182_ENSTGUG00000027109.1,0.0,,,,,,RNF182_ENSTGUG00000027109.1
RALYL_ENSTGUG00000011689.2,0.0,,,,,,RALYL_ENSTGUG00000011689.2
MCUR1_ENSTGUG00000006092.2,0.0027914200018301855,-10.477482969597578,52.03995668504909,0.19361530716498088,0.6599245093038878,1.0,MCUR1_ENSTGUG00000006092.2
SIRT5_ENSTGUG00000006129.2,0.044698249431624495,-5.4665883973602645,5.270677077493467,0.4090272353169411,0.5224636556245474,1.0,SIRT5_ENSTGUG00000006129.2
TPMT_ENSTGUG00000006234.2,0.0027914200018301855,-10.47986326771477,52.03395049179779,0.19372879885075278,0.6598311225482073,1.0,TPMT_ENSTGUG00000006234.2
CA2_ENSTGUG00000011728.2,3.054975902991333,-1.6558355211518172,0.20670373814898685,56.787994228255,4.8542092594748316e-14,7.130833402168528e-11,CA2_ENSTGUG00000011728.2
KDM1B_ENSTGUG00000006257.2,0.0055882348058841685,0.003709973677798586,8.376428833263057,-4.316158275230464e-08,1.0,1.0,KDM1B_ENSTGUG00000006257.2
RNF144B_ENSTGUG00000026004.1,0.0,,,,,,RNF144B_ENSTGUG00000026004.1
ID4_ENSTGUG00000006296.2,0.06705928998267591,-5.055784454196656,4.017693519420563,0.5470276559562137,0.45953474203565303,1.0,ID4_ENSTGUG00000006296.2
E2F3_ENSTGUG00000006335.2,0.022364655203757963,0.0021672715762848143,5.882580995888454,-1.1944287336973503e-08,1.0,1.0,E2F3_ENSTGUG00000006335.2
MMP16_ENSTGUG00000011786.2,0.0027995161137307776,0.17743146162747833,154.82127683569837,-3.679967610636936e-07,1.0,1.0,MMP16_ENSTGUG00000011786.2
NBN_ENSTGUG00000011805.2,0.01396518830643684,-5.155700800524644,7.608422936773235,0.133374375418299,0.7149587097773622,1.0,NBN_ENSTGUG00000011805.2
CALB1_ENSTGUG00000011825.2,0.00698664220791116,-0.4678192611407623,8.42402561533817,0.0005315825903728921,0.9816055435044747,1.0,CALB1_ENSTGUG00000011825.2
NRSN1_ENSTGUG00000006383.2,0.025159424777201424,5.39176744645593,5.277204371848206,0.39706209757387967,0.528610425659552,1.0,NRSN1_ENSTGUG00000006383.2
VIRMA_ENSTGUG00000011895.2,0.022347544421312877,-12.29667546641606,48.38150148418541,0.6276506276701284,0.4282183908496046,1.0,VIRMA_ENSTGUG00000011895.2
SKAP2_ENSTGUG00000002889.2,0.0027914200018301855,-10.475102744910656,52.04596463163872,0.19350182809726046,0.6600179183466743,1.0,SKAP2_ENSTGUG00000002889.2
_ENSTGUG00000020082.1,0.008379652203681164,-11.8892588673083,48.8219722504404,0.43145696008888557,0.5112749048000776,1.0,_ENSTGUG00000020082.1
CDH18_ENSTGUG00000007189.2,0.008388210198936897,-10.49794634848852,52.19119530988853,0.19388494414337032,0.6597026915793442,1.0,CDH18_ENSTGUG00000007189.2
LPCAT1_ENSTGUG00000008465.2,0.0027995161137307776,-10.483435669281288,52.02497005583777,0.19389905666414453,0.6596910869412346,1.0,LPCAT1_ENSTGUG00000008465.2
ALDH5A1_ENSTGUG00000006463.2,0.011176469611768337,-11.392538915800312,50.048539379872864,0.38926532784567414,0.5326858295515197,1.0,ALDH5A1_ENSTGUG00000006463.2
SYBU_ENSTGUG00000012263.2,0.012612674100747397,-4.870128390874735,7.603452558747165,0.1268895998566144,0.721679061545567,1.0,SYBU_ENSTGUG00000012263.2
FKBP9_ENSTGUG00000005249.2,0.0027914200018301855,10.24405091813759,47.17593658146324,0.19321669852499213,0.6602527639533715,1.0,FKBP9_ENSTGUG00000005249.2
_ENSTGUG00000028991.1,0.0,,,,,,_ENSTGUG00000028991.1
KCNV1_ENSTGUG00000012266.2,0.0,,,,,,KCNV1_ENSTGUG00000012266.2
KIAA0319_ENSTGUG00000006487.2,0.0055882348058841685,-10.489526219195573,52.11244743203598,0.19382940293047746,0.6597483676712406,1.0,KIAA0319_ENSTGUG00000006487.2
IRX1_ENSTGUG00000008517.2,0.0027914200018301855,10.24289591055451,47.17900591466804,0.19316008151304587,0.6602994208850531,1.0,IRX1_ENSTGUG00000008517.2
NDUFAF6_ENSTGUG00000011949.2,0.0,,,,,,NDUFAF6_ENSTGUG00000011949.2
TRIQK_ENSTGUG00000022552.1,0.0027914200018301855,10.241740926971763,47.182075749811496,0.193103467640805,0.66034608338798,1.0,TRIQK_ENSTGUG00000022552.1
C8orf37_ENSTGUG00000011955.2,0.00839942803517836,0.47083416887767177,8.309014043709185,0.000307649808153343,0.986005863111217,1.0,C8orf37_ENSTGUG00000011955.2
GABBR2_ENSTGUG00000008527.2,0.016770107037006095,-3.5438379793547052,5.55426734277853,0.08719269305974109,0.7677768702647132,1.0,GABBR2_ENSTGUG00000008527.2
MTERF3_ENSTGUG00000011961.2,0.019569641421762544,6.215468472183293,7.162019083392487,0.4365575990386361,0.5087886525275154,1.0,MTERF3_ENSTGUG00000011961.2
CTDP1_ENSTGUG00000006649.2,0.016762005714524013,-0.17909681668730607,5.904158555912753,0.0001298402810689936,0.9909085032694196,1.0,CTDP1_ENSTGUG00000006649.2
CDH17_ENSTGUG00000011871.2,0.0,,,,,,CDH17_ENSTGUG00000011871.2
