0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
APP_ENSTGUG00000013557.2,ATP1B1_ENSTGUG00000013431.2,STMN1_ENSTGUG00000017327.2,CD74_ENSTGUG00000000882.2,OLFM1_ENSTGUG00000006000.2,VIM_ENSTGUG00000001298.2,EPAS1_ENSTGUG00000003933.2,SLC1A2_ENSTGUG00000021059.1,APP_ENSTGUG00000013557.2,_ENSTGUG00000019883.1,SLC1A2_ENSTGUG00000021059.1,PLP1_ENSTGUG00000006519.2,VSNL1_ENSTGUG00000013109.2,EPAS1_ENSTGUG00000003933.2,PTN_ENSTGUG00000025134.1,EGF_ENSTGUG00000004206.2,_ENSTGUG00000027908.1,OLFM1_ENSTGUG00000006000.2,PLP1_ENSTGUG00000006519.2,PLP1_ENSTGUG00000006519.2,VSTM2A_ENSTGUG00000023664.1,EGF_ENSTGUG00000004206.2
OLFM1_ENSTGUG00000006000.2,SLC32A1_ENSTGUG00000004537.2,TUBB2A_ENSTGUG00000028536.1,_ENSTGUG00000019883.1,NTS_ENSTGUG00000027877.1,EGF_ENSTGUG00000004206.2,CFD_ENSTGUG00000000656.2,APOA1_ENSTGUG00000021957.1,GRIA2_ENSTGUG00000005484.2,CD74_ENSTGUG00000000882.2,GJA1_ENSTGUG00000011847.2,CNP_ENSTGUG00000002478.2,NRGN_ENSTGUG00000028781.1,PLTP_ENSTGUG00000006044.2,MARCKS_ENSTGUG00000026006.1,VIM_ENSTGUG00000001298.2,HBAA_ENSTGUG00000004372.2,SNAP25_ENSTGUG00000006133.2,MBP_ENSTGUG00000009051.2,MBP_ENSTGUG00000009051.2,SNAP25_ENSTGUG00000006133.2,CD74_ENSTGUG00000000882.2
GRIA2_ENSTGUG00000005484.2,SST_ENSTGUG00000027783.1,TUBA1B_ENSTGUG00000010166.2,TMSB4X_ENSTGUG00000008243.2,APP_ENSTGUG00000013557.2,CST3_ENSTGUG00000006006.2,SLC16A7_ENSTGUG00000029204.1,SLC1A3_ENSTGUG00000002032.2,CLSTN1_ENSTGUG00000003610.2,RPS12_ENSTGUG00000021418.1,SLC1A3_ENSTGUG00000002032.2,_ENSTGUG00000019689.1,CALM2_ENSTGUG00000002581.2,_ENSTGUG00000023209.1,PTPRZ1_ENSTGUG00000004543.2,AGT_ENSTGUG00000009957.2,HBAD_ENSTGUG00000004381.2,VSNL1_ENSTGUG00000013109.2,PLLP_ENSTGUG00000005247.2,APOH_ENSTGUG00000004239.2,GAD2_ENSTGUG00000001148.2,RPLP2_ENSTGUG00000009801.2
NELL2_ENSTGUG00000005974.2,CPE_ENSTGUG00000005938.2,TMSB15B_ENSTGUG00000006515.2,_ENSTGUG00000023468.1,THY1_ENSTGUG00000000398.2,SDC2_ENSTGUG00000019500.1,PLTP_ENSTGUG00000006044.2,_ENSTGUG00000026378.1,OLFM1_ENSTGUG00000006000.2,TMSB4X_ENSTGUG00000008243.2,APOA1_ENSTGUG00000021957.1,MBP_ENSTGUG00000009051.2,SNAP25_ENSTGUG00000006133.2,CFD_ENSTGUG00000000656.2,SPARC_ENSTGUG00000000770.2,SPARC_ENSTGUG00000000770.2,H1-0_ENSTGUG00000010521.2,CHN1_ENSTGUG00000008848.2,APOH_ENSTGUG00000004239.2,TMSB4X_ENSTGUG00000008243.2,SLC32A1_ENSTGUG00000004537.2,RPS12_ENSTGUG00000021418.1
NPTXR_ENSTGUG00000024678.1,APP_ENSTGUG00000013557.2,NR2F2_ENSTGUG00000008599.2,C1QB_ENSTGUG00000024860.1,SYT1_ENSTGUG00000007572.2,MLC1_ENSTGUG00000003918.2,_ENSTGUG00000023209.1,FABP7_ENSTGUG00000011826.2,NELL2_ENSTGUG00000005974.2,_ENSTGUG00000015659.2,AGT_ENSTGUG00000009957.2,PLLP_ENSTGUG00000005247.2,CALM1_ENSTGUG00000019117.1,POLR2B_ENSTGUG00000002929.2,FABP7_ENSTGUG00000011826.2,SLC1A2_ENSTGUG00000021059.1,_ENSTGUG00000026720.1,NRGN_ENSTGUG00000028781.1,UGT8_ENSTGUG00000001840.2,EPAS1_ENSTGUG00000003933.2,GAD1_ENSTGUG00000008060.2,RPL39_ENSTGUG00000003411.2
CLSTN1_ENSTGUG00000003610.2,_ENSTGUG00000020792.1,MAP1B_ENSTGUG00000005669.2,BEST1_ENSTGUG00000005934.2,ATP1B1_ENSTGUG00000013431.2,RPLP1_ENSTGUG00000012661.2,BSG_ENSTGUG00000000614.2,GLUL_ENSTGUG00000017345.2,GPM6A_ENSTGUG00000006358.2,PFN1_ENSTGUG00000021125.1,ATP1A2_ENSTGUG00000027873.1,ERMN_ENSTGUG00000029473.1,CHN1_ENSTGUG00000008848.2,RGS4_ENSTGUG00000027221.1,_ENSTGUG00000007756.2,GJA1_ENSTGUG00000011847.2,_ENSTGUG00000015659.2,YKT6_ENSTGUG00000021816.1,_ENSTGUG00000023451.1,BSG_ENSTGUG00000000614.2,DNM1_ENSTGUG00000003768.2,_ENSTGUG00000019883.1
_ENSTGUG00000022310.1,_ENSTGUG00000012363.2,ZBTB18_ENSTGUG00000008247.2,RPS12_ENSTGUG00000021418.1,SCG5_ENSTGUG00000011734.2,RPL35A_ENSTGUG00000009679.2,_ENSTGUG00000021641.1,_ENSTGUG00000023451.1,CPE_ENSTGUG00000005938.2,_ENSTGUG00000023468.1,GRM3_ENSTGUG00000002399.2,VAMP8_ENSTGUG00000020301.1,SNCA_ENSTGUG00000003065.2,_ENSTGUG00000019957.1,TUB_ENSTGUG00000008407.2,FABP7_ENSTGUG00000011826.2,_ENSTGUG00000026838.1,DNM1_ENSTGUG00000003768.2,_ENSTGUG00000026378.1,_ENSTGUG00000019689.1,SNCB_ENSTGUG00000000512.2,RPL24_ENSTGUG00000023416.1
GPM6A_ENSTGUG00000006358.2,ATP6V0C_ENSTGUG00000003256.2,_ENSTGUG00000007364.2,_ENSTGUG00000015659.2,CHGB_ENSTGUG00000025948.1,_ENSTGUG00000007086.2,_ENSTGUG00000022686.1,AGT_ENSTGUG00000009957.2,NPTXR_ENSTGUG00000024678.1,RPS20_ENSTGUG00000011097.2,EGF_ENSTGUG00000004206.2,CRYAB_ENSTGUG00000000320.2,YWHAG_ENSTGUG00000004553.2,BSG_ENSTGUG00000000614.2,GNG10_ENSTGUG00000001275.2,GPM6B_ENSTGUG00000008166.2,CA2_ENSTGUG00000011728.2,ARHGEF9_ENSTGUG00000005598.2,ENPP2_ENSTGUG00000012352.2,SLC16A7_ENSTGUG00000029204.1,MAP2_ENSTGUG00000011322.2,RPS20_ENSTGUG00000011097.2
CPE_ENSTGUG00000005938.2,DNER_ENSTGUG00000008311.2,_ENSTGUG00000009794.2,SAT1_ENSTGUG00000007289.2,DPP6_ENSTGUG00000000647.2,RPL37A_ENSTGUG00000005107.2,_ENSTGUG00000021664.1,LTF_ENSTGUG00000006576.2,SLC17A6_ENSTGUG00000004570.2,_ENSTGUG00000026907.1,GPM6B_ENSTGUG00000008166.2,APOH_ENSTGUG00000004239.2,CPLX2_ENSTGUG00000023893.1,CALD1_ENSTGUG00000012449.2,CIRBP_ENSTGUG00000000884.2,NMT2_ENSTGUG00000001356.2,BEST1_ENSTGUG00000005934.2,GRIN1_ENSTGUG00000002568.2,CNP_ENSTGUG00000002478.2,PLTP_ENSTGUG00000006044.2,YWHAG_ENSTGUG00000004553.2,RPS13_ENSTGUG00000008572.2
ATP1A1_ENSTGUG00000020927.1,SYT1_ENSTGUG00000007572.2,BASP1_ENSTGUG00000007269.2,C1QC_ENSTGUG00000019687.1,CLSTN1_ENSTGUG00000003610.2,RPL32_ENSTGUG00000010472.2,SLC2A1_ENSTGUG00000002201.2,MT4_ENSTGUG00000006540.2,SERINC1_ENSTGUG00000011827.2,RPS29_ENSTGUG00000021284.1,GLUL_ENSTGUG00000017345.2,_ENSTGUG00000008412.2,PPP3CA_ENSTGUG00000003527.2,_ENSTGUG00000000842.2,FOXG1_ENSTGUG00000022684.1,SLC1A3_ENSTGUG00000002032.2,AK2_ENSTGUG00000026076.1,CALM1_ENSTGUG00000019117.1,_ENSTGUG00000027913.1,RHOA_ENSTGUG00000006623.2,SCG5_ENSTGUG00000011734.2,RPS29_ENSTGUG00000021284.1
