0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
OLFM1_ENSTGUG00000006000.2,ATP1B1_ENSTGUG00000013431.2,STMN1_ENSTGUG00000017327.2,APP_ENSTGUG00000013557.2,CD74_ENSTGUG00000000882.2,VIM_ENSTGUG00000001298.2,EPAS1_ENSTGUG00000003933.2,TMSB4X_ENSTGUG00000008243.2,SLC1A2_ENSTGUG00000021059.1,PLP1_ENSTGUG00000006519.2,SLC1A2_ENSTGUG00000021059.1,CALM2_ENSTGUG00000002581.2,RPS23_ENSTGUG00000017554.2,_ENSTGUG00000019883.1,EPAS1_ENSTGUG00000003933.2,TUBB2A_ENSTGUG00000028536.1,_ENSTGUG00000027908.1,EGF_ENSTGUG00000004206.2,SPARC_ENSTGUG00000000770.2,SNAP25_ENSTGUG00000006133.2,PLP1_ENSTGUG00000006519.2,APOH_ENSTGUG00000004239.2,EGF_ENSTGUG00000004206.2
APP_ENSTGUG00000013557.2,CPE_ENSTGUG00000005938.2,TUBB2A_ENSTGUG00000028536.1,GRIA2_ENSTGUG00000005484.2,_ENSTGUG00000019883.1,EGF_ENSTGUG00000004206.2,CFD_ENSTGUG00000000656.2,_ENSTGUG00000019883.1,GJA1_ENSTGUG00000011847.2,CNP_ENSTGUG00000002478.2,APOA1_ENSTGUG00000021957.1,CALM1_ENSTGUG00000019117.1,RPS29_ENSTGUG00000021284.1,_ENSTGUG00000026378.1,_ENSTGUG00000023209.1,NSG2_ENSTGUG00000000333.2,HBAD_ENSTGUG00000004381.2,VIM_ENSTGUG00000001298.2,PTN_ENSTGUG00000025134.1,OLFM1_ENSTGUG00000006000.2,MBP_ENSTGUG00000009051.2,PLP1_ENSTGUG00000006519.2,VIM_ENSTGUG00000001298.2
GRIA2_ENSTGUG00000005484.2,APP_ENSTGUG00000013557.2,TUBA1B_ENSTGUG00000010166.2,OLFM1_ENSTGUG00000006000.2,TMSB4X_ENSTGUG00000008243.2,CST3_ENSTGUG00000006006.2,SLC16A7_ENSTGUG00000029204.1,_ENSTGUG00000015659.2,SLC1A3_ENSTGUG00000002032.2,_ENSTGUG00000019689.1,SLC1A3_ENSTGUG00000002032.2,VSNL1_ENSTGUG00000013109.2,RPL35A_ENSTGUG00000009679.2,_ENSTGUG00000015659.2,PLTP_ENSTGUG00000006044.2,RTN1_ENSTGUG00000013003.2,HBAA_ENSTGUG00000004372.2,AGT_ENSTGUG00000009957.2,PTPRZ1_ENSTGUG00000004543.2,CHN1_ENSTGUG00000008848.2,PLLP_ENSTGUG00000005247.2,MBP_ENSTGUG00000009051.2,_ENSTGUG00000019387.1
CLSTN1_ENSTGUG00000003610.2,SST_ENSTGUG00000027783.1,TMSB15B_ENSTGUG00000006515.2,CLSTN1_ENSTGUG00000003610.2,_ENSTGUG00000023468.1,MLC1_ENSTGUG00000003918.2,PLTP_ENSTGUG00000006044.2,RPS12_ENSTGUG00000021418.1,APOA1_ENSTGUG00000021957.1,MBP_ENSTGUG00000009051.2,CLU_ENSTGUG00000028547.1,NRGN_ENSTGUG00000028781.1,RPL23_ENSTGUG00000002167.2,_ENSTGUG00000023468.1,CFD_ENSTGUG00000000656.2,TUBA1B_ENSTGUG00000010166.2,H1-0_ENSTGUG00000010521.2,SPARC_ENSTGUG00000000770.2,COLEC12_ENSTGUG00000010195.2,ARHGEF9_ENSTGUG00000005598.2,APOH_ENSTGUG00000004239.2,BSG_ENSTGUG00000000614.2,CD74_ENSTGUG00000000882.2
SERPINI1_ENSTGUG00000011067.2,ATP6V0C_ENSTGUG00000003256.2,MAP1B_ENSTGUG00000005669.2,NELL2_ENSTGUG00000005974.2,C1QB_ENSTGUG00000024860.1,SDC2_ENSTGUG00000019500.1,BSG_ENSTGUG00000000614.2,CD74_ENSTGUG00000000882.2,AGT_ENSTGUG00000009957.2,PLLP_ENSTGUG00000005247.2,GLUL_ENSTGUG00000017345.2,SNAP25_ENSTGUG00000006133.2,PFN1_ENSTGUG00000021125.1,CD74_ENSTGUG00000000882.2,POLR2B_ENSTGUG00000002929.2,OLFM1_ENSTGUG00000006000.2,_ENSTGUG00000026720.1,GPM6B_ENSTGUG00000008166.2,FABP7_ENSTGUG00000011826.2,CALM2_ENSTGUG00000002581.2,UGT8_ENSTGUG00000001840.2,SLC16A7_ENSTGUG00000029204.1,C1QB_ENSTGUG00000024860.1
_ENSTGUG00000022310.1,SLC32A1_ENSTGUG00000004537.2,NR2F2_ENSTGUG00000008599.2,SLC17A6_ENSTGUG00000004570.2,RPS12_ENSTGUG00000021418.1,_ENSTGUG00000007086.2,_ENSTGUG00000023209.1,_ENSTGUG00000023468.1,EGF_ENSTGUG00000004206.2,VAMP8_ENSTGUG00000020301.1,AGT_ENSTGUG00000009957.2,CHN1_ENSTGUG00000008848.2,_ENSTGUG00000026907.1,_ENSTGUG00000023451.1,_ENSTGUG00000019957.1,APP_ENSTGUG00000013557.2,_ENSTGUG00000015659.2,FABP7_ENSTGUG00000011826.2,_ENSTGUG00000007756.2,ARPP21_ENSTGUG00000001697.2,ENPP2_ENSTGUG00000012352.2,RHOA_ENSTGUG00000006623.2,_ENSTGUG00000026993.1
NELL2_ENSTGUG00000005974.2,_ENSTGUG00000012363.2,ZBTB18_ENSTGUG00000008247.2,SCG5_ENSTGUG00000011734.2,SAT1_ENSTGUG00000007289.2,RPLP1_ENSTGUG00000012661.2,_ENSTGUG00000021641.1,BEST1_ENSTGUG00000005934.2,ATP1A2_ENSTGUG00000027873.1,CRYAB_ENSTGUG00000000320.2,LTF_ENSTGUG00000006576.2,SNCA_ENSTGUG00000003065.2,RPL34_ENSTGUG00000027399.1,TMSB4X_ENSTGUG00000008243.2,RGS4_ENSTGUG00000027221.1,GRIN2B_ENSTGUG00000009456.2,CA2_ENSTGUG00000011728.2,GJA1_ENSTGUG00000011847.2,SERPINE2_ENSTGUG00000007943.2,VSNL1_ENSTGUG00000013109.2,_ENSTGUG00000023451.1,ENPP2_ENSTGUG00000012352.2,RPL39_ENSTGUG00000003411.2
GPM6A_ENSTGUG00000006358.2,_ENSTGUG00000020792.1,BASP1_ENSTGUG00000007269.2,SERINC1_ENSTGUG00000011827.2,C1QC_ENSTGUG00000019687.1,RPS29_ENSTGUG00000021284.1,_ENSTGUG00000022686.1,RPS20_ENSTGUG00000011097.2,GRM3_ENSTGUG00000002399.2,ERMN_ENSTGUG00000029473.1,GPM6B_ENSTGUG00000008166.2,CPLX2_ENSTGUG00000023893.1,_ENSTGUG00000024584.1,RPS12_ENSTGUG00000021418.1,_ENSTGUG00000000842.2,NRXN1_ENSTGUG00000005731.2,_ENSTGUG00000026838.1,CLU_ENSTGUG00000028547.1,TUB_ENSTGUG00000008407.2,MAP2_ENSTGUG00000011322.2,CNP_ENSTGUG00000002478.2,CNP_ENSTGUG00000002478.2,RPS12_ENSTGUG00000021418.1
SYT1_ENSTGUG00000007572.2,DNER_ENSTGUG00000008311.2,_ENSTGUG00000007364.2,_ENSTGUG00000022310.1,_ENSTGUG00000015659.2,RPS13_ENSTGUG00000008572.2,_ENSTGUG00000021664.1,PFN1_ENSTGUG00000021125.1,CLU_ENSTGUG00000028547.1,APOH_ENSTGUG00000004239.2,GJA1_ENSTGUG00000011847.2,UCHL1_ENSTGUG00000008638.2,RPLP2_ENSTGUG00000009801.2,C1QB_ENSTGUG00000024860.1,BSG_ENSTGUG00000000614.2,NELL2_ENSTGUG00000005974.2,AK2_ENSTGUG00000026076.1,NMT2_ENSTGUG00000001356.2,TNR_ENSTGUG00000017420.2,YKT6_ENSTGUG00000021816.1,_ENSTGUG00000019689.1,HMOX1_ENSTGUG00000010842.2,SAT1_ENSTGUG00000007289.2
_ENSTGUG00000004094.2,SYT1_ENSTGUG00000007572.2,_ENSTGUG00000009794.2,GPM6A_ENSTGUG00000006358.2,_ENSTGUG00000013513.2,FABP7_ENSTGUG00000011826.2,ITM2A_ENSTGUG00000002582.2,C1QB_ENSTGUG00000024860.1,GPM6B_ENSTGUG00000008166.2,_ENSTGUG00000008412.2,ATP1A2_ENSTGUG00000027873.1,_ENSTGUG00000024929.1,RPL37A_ENSTGUG00000005107.2,APP_ENSTGUG00000013557.2,CALD1_ENSTGUG00000012449.2,_ENSTGUG00000028956.1,BEST1_ENSTGUG00000005934.2,SLC1A2_ENSTGUG00000021059.1,NCAN_ENSTGUG00000019059.1,NRGN_ENSTGUG00000028781.1,_ENSTGUG00000026378.1,EPAS1_ENSTGUG00000003933.2,RPL23_ENSTGUG00000002167.2
