,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
WRE_WRE,4.0,19.143949630112175,255.28173932266492,8.673910191461404,0.0032279783207418214,1.0,WRE_WRE,glutamatergic neurons 4
TMEM74_ENSTGUG00000022792.1,1.0,-1.501411415684541e-15,2.544085149082943,0.0,1.0,1.0,TMEM74_ENSTGUG00000022792.1,glutamatergic neurons 4
TMEM170B_ENSTGUG00000025839.1,0.75,-1.5623245467930982,3.1952690972091466,0.21304575514424862,0.6443905745404137,1.0,TMEM170B_ENSTGUG00000025839.1,glutamatergic neurons 4
_ENSTGUG00000020832.1,0.0,,,,,,_ENSTGUG00000020832.1,glutamatergic neurons 4
_ENSTGUG00000020221.1,0.0,,,,,,_ENSTGUG00000020221.1,glutamatergic neurons 4
RDH10_ENSTGUG00000011532.2,0.0,,,,,,RDH10_ENSTGUG00000011532.2,glutamatergic neurons 4
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2,glutamatergic neurons 4
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2,glutamatergic neurons 4
JPH1_ENSTGUG00000011568.2,0.5,-15.452761890355099,197.6213147222064,1.2114019215988918,0.27105465254223304,1.0,JPH1_ENSTGUG00000011568.2,glutamatergic neurons 4
GDAP1_ENSTGUG00000027544.1,0.75,-1.5623245467930982,3.1952690972091466,0.21304575514424862,0.6443905745404137,1.0,GDAP1_ENSTGUG00000027544.1,glutamatergic neurons 4
_ENSTGUG00000026397.1,0.0,,,,,,_ENSTGUG00000026397.1,glutamatergic neurons 4
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1,glutamatergic neurons 4
PEX2_ENSTGUG00000027344.1,0.0,,,,,,PEX2_ENSTGUG00000027344.1,glutamatergic neurons 4
PKIA_ENSTGUG00000025587.1,2.25,-0.30075459945011024,1.7726910297075775,0.028634497456351937,0.8656257159927878,1.0,PKIA_ENSTGUG00000025587.1,glutamatergic neurons 4
GFOD1_ENSTGUG00000027728.1,0.0,,,,,,GFOD1_ENSTGUG00000027728.1,glutamatergic neurons 4
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2,glutamatergic neurons 4
_ENSTGUG00000026838.1,0.75,-1.5623245467930982,3.1952690972091466,0.21304575514424862,0.6443905745404137,1.0,_ENSTGUG00000026838.1,glutamatergic neurons 4
_ENSTGUG00000022509.1,0.0,,,,,,_ENSTGUG00000022509.1,glutamatergic neurons 4
FABP5_ENSTGUG00000024298.1,6.0,-1.7483838697722316,1.2787612487564604,1.6967555638282548,0.19271282577304938,1.0,FABP5_ENSTGUG00000024298.1,glutamatergic neurons 4
PMP2_ENSTGUG00000011663.2,0.0,,,,,,PMP2_ENSTGUG00000011663.2,glutamatergic neurons 4
FABP4_ENSTGUG00000011667.2,0.0,,,,,,FABP4_ENSTGUG00000011667.2,glutamatergic neurons 4
ZFAND1_ENSTGUG00000011672.2,0.25,-14.371946312951794,191.52089169503324,0.4110427821106395,0.5214407043515255,1.0,ZFAND1_ENSTGUG00000011672.2,glutamatergic neurons 4
CHMP4C_ENSTGUG00000011678.2,0.0,,,,,,CHMP4C_ENSTGUG00000011678.2,glutamatergic neurons 4
RNF182_ENSTGUG00000027109.1,0.0,,,,,,RNF182_ENSTGUG00000027109.1,glutamatergic neurons 4
RALYL_ENSTGUG00000011689.2,1.0,-1.501411415684541e-15,2.544085149082943,0.0,1.0,1.0,RALYL_ENSTGUG00000011689.2,glutamatergic neurons 4
MCUR1_ENSTGUG00000006092.2,0.0,,,,,,MCUR1_ENSTGUG00000006092.2,glutamatergic neurons 4
SIRT5_ENSTGUG00000006129.2,1.0,-1.501411415684541e-15,2.544085149082943,0.0,1.0,1.0,SIRT5_ENSTGUG00000006129.2,glutamatergic neurons 4
TPMT_ENSTGUG00000006234.2,0.5,3.6111006896231214e-06,3.8531887139841263,6.910028105266974e-13,0.9999993367458617,1.0,TPMT_ENSTGUG00000006234.2,glutamatergic neurons 4
CA2_ENSTGUG00000011728.2,0.75,1.562329204319615,3.1952752941755773,0.21304575515987878,0.6443905745282693,1.0,CA2_ENSTGUG00000011728.2,glutamatergic neurons 4
KDM1B_ENSTGUG00000006257.2,1.0,-1.501411415684541e-15,2.544085149082943,0.0,1.0,1.0,KDM1B_ENSTGUG00000006257.2,glutamatergic neurons 4
RNF144B_ENSTGUG00000026004.1,0.25,-14.371946312951794,191.52089169503324,0.4110427821106395,0.5214407043515255,1.0,RNF144B_ENSTGUG00000026004.1,glutamatergic neurons 4
