,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
WRE_WRE,0.0,,,,,,WRE_WRE,oligodendrocytes 3
TMEM74_ENSTGUG00000022792.1,0.0,,,,,,TMEM74_ENSTGUG00000022792.1,oligodendrocytes 3
TMEM170B_ENSTGUG00000025839.1,0.0,,,,,,TMEM170B_ENSTGUG00000025839.1,oligodendrocytes 3
_ENSTGUG00000020832.1,0.0,,,,,,_ENSTGUG00000020832.1,oligodendrocytes 3
_ENSTGUG00000020221.1,0.0,,,,,,_ENSTGUG00000020221.1,oligodendrocytes 3
RDH10_ENSTGUG00000011532.2,1.25,0.5081937533399333,4.012047503650538,0.015610858601647237,0.9005683422224301,1.0,RDH10_ENSTGUG00000011532.2,oligodendrocytes 3
EDN1_ENSTGUG00000005833.2,0.25,-13.915619743076162,167.76117966247895,1.2916400025636654,0.25574593893522035,0.5241386550705339,EDN1_ENSTGUG00000005833.2,oligodendrocytes 3
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2,oligodendrocytes 3
JPH1_ENSTGUG00000011568.2,0.25,-14.373180907842194,191.47084191552204,1.2917076281828965,0.2557334948926625,0.5241386550705339,JPH1_ENSTGUG00000011568.2,oligodendrocytes 3
GDAP1_ENSTGUG00000027544.1,0.0,,,,,,GDAP1_ENSTGUG00000027544.1,oligodendrocytes 3
_ENSTGUG00000026397.1,0.0,,,,,,_ENSTGUG00000026397.1,oligodendrocytes 3
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1,oligodendrocytes 3
PEX2_ENSTGUG00000027344.1,0.0,,,,,,PEX2_ENSTGUG00000027344.1,oligodendrocytes 3
PKIA_ENSTGUG00000025587.1,0.0,,,,,,PKIA_ENSTGUG00000025587.1,oligodendrocytes 3
GFOD1_ENSTGUG00000027728.1,0.0,,,,,,GFOD1_ENSTGUG00000027728.1,oligodendrocytes 3
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2,oligodendrocytes 3
_ENSTGUG00000026838.1,0.25,-14.373180907842194,191.47084191552204,1.2917076281828965,0.2557334948926625,0.5241386550705339,_ENSTGUG00000026838.1,oligodendrocytes 3
_ENSTGUG00000022509.1,0.0,,,,,,_ENSTGUG00000022509.1,oligodendrocytes 3
FABP5_ENSTGUG00000024298.1,0.5,-15.452852656461454,197.61624786200275,1.5416256892318154,0.21437598670957406,0.5241386550705339,FABP5_ENSTGUG00000024298.1,oligodendrocytes 3
PMP2_ENSTGUG00000011663.2,0.75,16.907875294025967,269.1532007836304,1.2368045454486243,0.2660877857271502,0.5336220288043689,PMP2_ENSTGUG00000011663.2,oligodendrocytes 3
FABP4_ENSTGUG00000011667.2,0.0,,,,,,FABP4_ENSTGUG00000011667.2,oligodendrocytes 3
ZFAND1_ENSTGUG00000011672.2,0.0,,,,,,ZFAND1_ENSTGUG00000011672.2,oligodendrocytes 3
CHMP4C_ENSTGUG00000011678.2,0.0,,,,,,CHMP4C_ENSTGUG00000011678.2,oligodendrocytes 3
RNF182_ENSTGUG00000027109.1,0.0,,,,,,RNF182_ENSTGUG00000027109.1,oligodendrocytes 3
RALYL_ENSTGUG00000011689.2,0.0,,,,,,RALYL_ENSTGUG00000011689.2,oligodendrocytes 3
MCUR1_ENSTGUG00000006092.2,0.0,,,,,,MCUR1_ENSTGUG00000006092.2,oligodendrocytes 3
SIRT5_ENSTGUG00000006129.2,0.0,,,,,,SIRT5_ENSTGUG00000006129.2,oligodendrocytes 3
TPMT_ENSTGUG00000006234.2,0.0,,,,,,TPMT_ENSTGUG00000006234.2,oligodendrocytes 3
CA2_ENSTGUG00000011728.2,0.75,-1.8170517068133842,4.032498550615032,0.16201255780256218,0.6873103228474262,1.0,CA2_ENSTGUG00000011728.2,oligodendrocytes 3
KDM1B_ENSTGUG00000006257.2,0.0,,,,,,KDM1B_ENSTGUG00000006257.2,oligodendrocytes 3
RNF144B_ENSTGUG00000026004.1,0.0,,,,,,RNF144B_ENSTGUG00000026004.1,oligodendrocytes 3
ID4_ENSTGUG00000006296.2,0.0,,,,,,ID4_ENSTGUG00000006296.2,oligodendrocytes 3
E2F3_ENSTGUG00000006335.2,0.0,,,,,,E2F3_ENSTGUG00000006335.2,oligodendrocytes 3
MMP16_ENSTGUG00000011786.2,0.0,,,,,,MMP16_ENSTGUG00000011786.2,oligodendrocytes 3
NBN_ENSTGUG00000011805.2,0.0,,,,,,NBN_ENSTGUG00000011805.2,oligodendrocytes 3
CALB1_ENSTGUG00000011825.2,0.0,,,,,,CALB1_ENSTGUG00000011825.2,oligodendrocytes 3
NRSN1_ENSTGUG00000006383.2,0.0,,,,,,NRSN1_ENSTGUG00000006383.2,oligodendrocytes 3
VIRMA_ENSTGUG00000011895.2,0.0,,,,,,VIRMA_ENSTGUG00000011895.2,oligodendrocytes 3
SKAP2_ENSTGUG00000002889.2,0.0,,,,,,SKAP2_ENSTGUG00000002889.2,oligodendrocytes 3
_ENSTGUG00000020082.1,0.0,,,,,,_ENSTGUG00000020082.1,oligodendrocytes 3
CDH18_ENSTGUG00000007189.2,0.0,,,,,,CDH18_ENSTGUG00000007189.2,oligodendrocytes 3
LPCAT1_ENSTGUG00000008465.2,0.0,,,,,,LPCAT1_ENSTGUG00000008465.2,oligodendrocytes 3
ALDH5A1_ENSTGUG00000006463.2,0.0,,,,,,ALDH5A1_ENSTGUG00000006463.2,oligodendrocytes 3
SYBU_ENSTGUG00000012263.2,0.25,-13.915619743076162,167.76117966247895,1.2916400025636654,0.25574593893522035,0.5241386550705339,SYBU_ENSTGUG00000012263.2,oligodendrocytes 3
FKBP9_ENSTGUG00000005249.2,0.0,,,,,,FKBP9_ENSTGUG00000005249.2,oligodendrocytes 3
_ENSTGUG00000028991.1,0.0,,,,,,_ENSTGUG00000028991.1,oligodendrocytes 3
KCNV1_ENSTGUG00000012266.2,0.0,,,,,,KCNV1_ENSTGUG00000012266.2,oligodendrocytes 3
KIAA0319_ENSTGUG00000006487.2,0.0,,,,,,KIAA0319_ENSTGUG00000006487.2,oligodendrocytes 3
IRX1_ENSTGUG00000008517.2,0.0,,,,,,IRX1_ENSTGUG00000008517.2,oligodendrocytes 3
NDUFAF6_ENSTGUG00000011949.2,0.0,,,,,,NDUFAF6_ENSTGUG00000011949.2,oligodendrocytes 3
TRIQK_ENSTGUG00000022552.1,0.0,,,,,,TRIQK_ENSTGUG00000022552.1,oligodendrocytes 3
C8orf37_ENSTGUG00000011955.2,0.0,,,,,,C8orf37_ENSTGUG00000011955.2,oligodendrocytes 3
GABBR2_ENSTGUG00000008527.2,0.0,,,,,,GABBR2_ENSTGUG00000008527.2,oligodendrocytes 3
MTERF3_ENSTGUG00000011961.2,0.0,,,,,,MTERF3_ENSTGUG00000011961.2,oligodendrocytes 3
CTDP1_ENSTGUG00000006649.2,0.0,,,,,,CTDP1_ENSTGUG00000006649.2,oligodendrocytes 3
CDH17_ENSTGUG00000011871.2,0.0,,,,,,CDH17_ENSTGUG00000011871.2,oligodendrocytes 3
GEM_ENSTGUG00000011878.2,0.25,-13.915619743076162,167.76117966247895,1.2916400025636654,0.25574593893522035,0.5241386550705339,GEM_ENSTGUG00000011878.2,oligodendrocytes 3
_ENSTGUG00000002953.2,0.0,,,,,,_ENSTGUG00000002953.2,oligodendrocytes 3
CPQ_ENSTGUG00000011977.2,0.0,,,,,,CPQ_ENSTGUG00000011977.2,oligodendrocytes 3
OTULINL_ENSTGUG00000007437.2,0.0,,,,,,OTULINL_ENSTGUG00000007437.2,oligodendrocytes 3
SLC66A2_ENSTGUG00000023857.1,0.25,-13.915619743076162,167.76117966247895,1.2916400025636654,0.25574593893522035,0.5241386550705339,SLC66A2_ENSTGUG00000023857.1,oligodendrocytes 3
SLC39A6_ENSTGUG00000008614.2,0.0,,,,,,SLC39A6_ENSTGUG00000008614.2,oligodendrocytes 3
TRIO_ENSTGUG00000007442.2,0.25,-13.915619743076162,167.76117966247895,1.2916400025636654,0.25574593893522035,0.5241386550705339,TRIO_ENSTGUG00000007442.2,oligodendrocytes 3
_ENSTGUG00000005349.2,0.0,,,,,,_ENSTGUG00000005349.2,oligodendrocytes 3
LAPTM4B_ENSTGUG00000011987.2,0.0,,,,,,LAPTM4B_ENSTGUG00000011987.2,oligodendrocytes 3
ADNP2_ENSTGUG00000006688.2,0.0,,,,,,ADNP2_ENSTGUG00000006688.2,oligodendrocytes 3
MATN2_ENSTGUG00000011992.2,0.0,,,,,,MATN2_ENSTGUG00000011992.2,oligodendrocytes 3
PLEKHA8_ENSTGUG00000002993.2,0.0,,,,,,PLEKHA8_ENSTGUG00000002993.2,oligodendrocytes 3
_ENSTGUG00000027879.1,0.0,,,,,,_ENSTGUG00000027879.1,oligodendrocytes 3
ANKRD33B_ENSTGUG00000026776.1,0.0,,,,,,ANKRD33B_ENSTGUG00000026776.1,oligodendrocytes 3
COL15A1_ENSTGUG00000025718.1,0.0,,,,,,COL15A1_ENSTGUG00000025718.1,oligodendrocytes 3
BTD_ENSTGUG00000023167.1,0.0,,,,,,BTD_ENSTGUG00000023167.1,oligodendrocytes 3
POP1_ENSTGUG00000012011.2,0.0,,,,,,POP1_ENSTGUG00000012011.2,oligodendrocytes 3
GALNT15_ENSTGUG00000003115.2,0.0,,,,,,GALNT15_ENSTGUG00000003115.2,oligodendrocytes 3
SBK2_ENSTGUG00000021210.1,0.0,,,,,,SBK2_ENSTGUG00000021210.1,oligodendrocytes 3
RFTN1_ENSTGUG00000003139.2,0.0,,,,,,RFTN1_ENSTGUG00000003139.2,oligodendrocytes 3
ATPSCKMT_ENSTGUG00000007661.2,0.0,,,,,,ATPSCKMT_ENSTGUG00000007661.2,oligodendrocytes 3
SEMA5A_ENSTGUG00000007664.2,0.0,,,,,,SEMA5A_ENSTGUG00000007664.2,oligodendrocytes 3
MTRR_ENSTGUG00000007702.2,0.0,,,,,,MTRR_ENSTGUG00000007702.2,oligodendrocytes 3
PLCL2_ENSTGUG00000003154.2,0.0,,,,,,PLCL2_ENSTGUG00000003154.2,oligodendrocytes 3
KCNS2_ENSTGUG00000022432.1,0.0,,,,,,KCNS2_ENSTGUG00000022432.1,oligodendrocytes 3
CSMD3_ENSTGUG00000012272.2,0.0,,,,,,CSMD3_ENSTGUG00000012272.2,oligodendrocytes 3
ELMO1_ENSTGUG00000005533.2,0.25,15.149855401214067,251.89969721048544,1.2917495805852197,0.2557257754497494,0.5241386550705339,ELMO1_ENSTGUG00000005533.2,oligodendrocytes 3
ADCY2_ENSTGUG00000007740.2,0.0,,,,,,ADCY2_ENSTGUG00000007740.2,oligodendrocytes 3
_ENSTGUG00000027521.1,0.0,,,,,,_ENSTGUG00000027521.1,oligodendrocytes 3
NR4A3_ENSTGUG00000008853.2,0.0,,,,,,NR4A3_ENSTGUG00000008853.2,oligodendrocytes 3
EPDR1_ENSTGUG00000025037.1,0.25,-14.373180907842194,191.47084191552204,1.2917076281828965,0.2557334948926625,0.5241386550705339,EPDR1_ENSTGUG00000025037.1,oligodendrocytes 3
NSUN2_ENSTGUG00000007789.2,0.0,,,,,,NSUN2_ENSTGUG00000007789.2,oligodendrocytes 3
ALG2_ENSTGUG00000008879.2,0.0,,,,,,ALG2_ENSTGUG00000008879.2,oligodendrocytes 3
STARD3NL_ENSTGUG00000005634.2,0.0,,,,,,STARD3NL_ENSTGUG00000005634.2,oligodendrocytes 3
IFI6_ENSTGUG00000021692.1,0.75,-1.8170517068133842,4.032498550615032,0.16201255780256218,0.6873103228474262,1.0,IFI6_ENSTGUG00000021692.1,oligodendrocytes 3
TRANK1_ENSTGUG00000005694.2,0.0,,,,,,TRANK1_ENSTGUG00000005694.2,oligodendrocytes 3
RNF19A_ENSTGUG00000012061.2,0.0,,,,,,RNF19A_ENSTGUG00000012061.2,oligodendrocytes 3
DCLK3_ENSTGUG00000027434.1,0.0,,,,,,DCLK3_ENSTGUG00000027434.1,oligodendrocytes 3
_ENSTGUG00000027473.1,0.0,,,,,,_ENSTGUG00000027473.1,oligodendrocytes 3
ARPP21_ENSTGUG00000001697.2,0.0,,,,,,ARPP21_ENSTGUG00000001697.2,oligodendrocytes 3
THRB_ENSTGUG00000018874.1,0.0,,,,,,THRB_ENSTGUG00000018874.1,oligodendrocytes 3
NCALD_ENSTGUG00000022354.1,0.0,,,,,,NCALD_ENSTGUG00000022354.1,oligodendrocytes 3
RRM2B_ENSTGUG00000012093.2,0.0,,,,,,RRM2B_ENSTGUG00000012093.2,oligodendrocytes 3
UPP1_ENSTGUG00000007854.2,0.0,,,,,,UPP1_ENSTGUG00000007854.2,oligodendrocytes 3
VWC2_ENSTGUG00000007906.2,0.0,,,,,,VWC2_ENSTGUG00000007906.2,oligodendrocytes 3
IKZF1_ENSTGUG00000007910.2,0.0,,,,,,IKZF1_ENSTGUG00000007910.2,oligodendrocytes 3
C6orf62_ENSTGUG00000029400.1,2.75,0.2886144452696472,2.54408732756269,0.012757306523440093,0.9100715853782834,1.0,C6orf62_ENSTGUG00000029400.1,oligodendrocytes 3
SLC4A7_ENSTGUG00000003545.2,0.0,,,,,,SLC4A7_ENSTGUG00000003545.2,oligodendrocytes 3
GALR1_ENSTGUG00000024217.1,0.0,,,,,,GALR1_ENSTGUG00000024217.1,oligodendrocytes 3
DDC_ENSTGUG00000007930.2,0.0,,,,,,DDC_ENSTGUG00000007930.2,oligodendrocytes 3
FBXL2_ENSTGUG00000001755.2,0.0,,,,,,FBXL2_ENSTGUG00000001755.2,oligodendrocytes 3
_ENSTGUG00000006931.2,0.0,,,,,,_ENSTGUG00000006931.2,oligodendrocytes 3
CHPF2_ENSTGUG00000000042.2,0.0,,,,,,CHPF2_ENSTGUG00000000042.2,oligodendrocytes 3
MBP_ENSTGUG00000009051.2,19.5,0.14809800988268967,0.32714238797475265,0.20520971305260005,0.6505481747948351,1.0,MBP_ENSTGUG00000009051.2,oligodendrocytes 3
GBX1_ENSTGUG00000023874.1,0.0,,,,,,GBX1_ENSTGUG00000023874.1,oligodendrocytes 3
AGAP3_ENSTGUG00000000055.2,0.0,,,,,,AGAP3_ENSTGUG00000000055.2,oligodendrocytes 3
TMUB1_ENSTGUG00000023430.1,0.0,,,,,,TMUB1_ENSTGUG00000023430.1,oligodendrocytes 3
VSTM2A_ENSTGUG00000023664.1,0.0,,,,,,VSTM2A_ENSTGUG00000023664.1,oligodendrocytes 3
_ENSTGUG00000024951.1,0.0,,,,,,_ENSTGUG00000024951.1,oligodendrocytes 3
_ENSTGUG00000022445.1,0.0,,,,,,_ENSTGUG00000022445.1,oligodendrocytes 3
_ENSTGUG00000027012.1,0.0,,,,,,_ENSTGUG00000027012.1,oligodendrocytes 3
SLC4A2_ENSTGUG00000000073.2,0.0,,,,,,SLC4A2_ENSTGUG00000000073.2,oligodendrocytes 3
RAMP3_ENSTGUG00000025072.1,0.0,,,,,,RAMP3_ENSTGUG00000025072.1,oligodendrocytes 3
ADCY1_ENSTGUG00000007142.2,0.0,,,,,,ADCY1_ENSTGUG00000007142.2,oligodendrocytes 3
_ENSTGUG00000025304.1,0.0,,,,,,_ENSTGUG00000025304.1,oligodendrocytes 3
ABCB8_ENSTGUG00000020909.1,0.0,,,,,,ABCB8_ENSTGUG00000020909.1,oligodendrocytes 3
IGFBP1_ENSTGUG00000007176.2,0.0,,,,,,IGFBP1_ENSTGUG00000007176.2,oligodendrocytes 3
GADL1_ENSTGUG00000003593.2,0.0,,,,,,GADL1_ENSTGUG00000003593.2,oligodendrocytes 3
CNTNAP2_ENSTGUG00000001794.2,0.0,,,,,,CNTNAP2_ENSTGUG00000001794.2,oligodendrocytes 3
ATG9B_ENSTGUG00000022627.1,0.0,,,,,,ATG9B_ENSTGUG00000022627.1,oligodendrocytes 3
FHOD3_ENSTGUG00000007999.2,0.0,,,,,,FHOD3_ENSTGUG00000007999.2,oligodendrocytes 3
_ENSTGUG00000024876.1,0.0,,,,,,_ENSTGUG00000024876.1,oligodendrocytes 3
TSHZ1_ENSTGUG00000009111.2,0.0,,,,,,TSHZ1_ENSTGUG00000009111.2,oligodendrocytes 3
ZNF407_ENSTGUG00000009124.2,0.25,-14.373180907842194,191.47084191552204,1.2917076281828965,0.2557334948926625,0.5241386550705339,ZNF407_ENSTGUG00000009124.2,oligodendrocytes 3
CDH9_ENSTGUG00000001934.2,0.0,,,,,,CDH9_ENSTGUG00000001934.2,oligodendrocytes 3
CDH6_ENSTGUG00000001940.2,0.0,,,,,,CDH6_ENSTGUG00000001940.2,oligodendrocytes 3
CMTM8_ENSTGUG00000003684.2,0.0,,,,,,CMTM8_ENSTGUG00000003684.2,oligodendrocytes 3
CMTM7_ENSTGUG00000028236.1,0.0,,,,,,CMTM7_ENSTGUG00000028236.1,oligodendrocytes 3
DIPK1C_ENSTGUG00000009165.2,0.0,,,,,,DIPK1C_ENSTGUG00000009165.2,oligodendrocytes 3
METTL4_ENSTGUG00000010144.2,0.0,,,,,,METTL4_ENSTGUG00000010144.2,oligodendrocytes 3
CYB5A_ENSTGUG00000009166.2,0.75,1.8170995683712357,4.032523471601533,0.16201256764198568,0.6873103138540079,1.0,CYB5A_ENSTGUG00000009166.2,oligodendrocytes 3
ADCYAP1_ENSTGUG00000021936.1,0.0,,,,,,ADCYAP1_ENSTGUG00000021936.1,oligodendrocytes 3
LANCL2_ENSTGUG00000020824.1,0.0,,,,,,LANCL2_ENSTGUG00000020824.1,oligodendrocytes 3
TYMS_ENSTGUG00000010173.2,0.25,-14.373180907842194,191.47084191552204,1.2917076281828965,0.2557334948926625,0.5241386550705339,TYMS_ENSTGUG00000010173.2,oligodendrocytes 3
NOS3_ENSTGUG00000019554.1,0.0,,,,,,NOS3_ENSTGUG00000019554.1,oligodendrocytes 3
C5orf22_ENSTGUG00000001970.2,0.0,,,,,,C5orf22_ENSTGUG00000001970.2,oligodendrocytes 3
COLEC12_ENSTGUG00000010195.2,1.25,-2.9777594743520317,4.609905441467472,0.30665207476991085,0.579741909437615,1.0,COLEC12_ENSTGUG00000010195.2,oligodendrocytes 3
MC4R_ENSTGUG00000027462.1,0.0,,,,,,MC4R_ENSTGUG00000027462.1,oligodendrocytes 3
CDH20_ENSTGUG00000001975.2,0.0,,,,,,CDH20_ENSTGUG00000001975.2,oligodendrocytes 3
NETO1_ENSTGUG00000009188.2,0.0,,,,,,NETO1_ENSTGUG00000009188.2,oligodendrocytes 3
ABHD5_ENSTGUG00000003814.2,0.0,,,,,,ABHD5_ENSTGUG00000003814.2,oligodendrocytes 3
CBLN2_ENSTGUG00000009205.2,0.0,,,,,,CBLN2_ENSTGUG00000009205.2,oligodendrocytes 3
ANO10_ENSTGUG00000003830.2,0.0,,,,,,ANO10_ENSTGUG00000003830.2,oligodendrocytes 3
STK17A_ENSTGUG00000029061.1,0.0,,,,,,STK17A_ENSTGUG00000029061.1,oligodendrocytes 3
PIGN_ENSTGUG00000001988.2,0.0,,,,,,PIGN_ENSTGUG00000001988.2,oligodendrocytes 3
HECW1_ENSTGUG00000001817.2,0.0,,,,,,HECW1_ENSTGUG00000001817.2,oligodendrocytes 3
FRRS1L_ENSTGUG00000023938.1,0.0,,,,,,FRRS1L_ENSTGUG00000023938.1,oligodendrocytes 3
DOK6_ENSTGUG00000009250.2,0.0,,,,,,DOK6_ENSTGUG00000009250.2,oligodendrocytes 3
EPB41L4B_ENSTGUG00000008100.2,0.0,,,,,,EPB41L4B_ENSTGUG00000008100.2,oligodendrocytes 3
RELCH_ENSTGUG00000001999.2,0.0,,,,,,RELCH_ENSTGUG00000001999.2,oligodendrocytes 3
INHBA_ENSTGUG00000001843.2,0.0,,,,,,INHBA_ENSTGUG00000001843.2,oligodendrocytes 3
RBBP8_ENSTGUG00000010362.2,0.0,,,,,,RBBP8_ENSTGUG00000010362.2,oligodendrocytes 3
TNFRSF11A_ENSTGUG00000024912.1,0.0,,,,,,TNFRSF11A_ENSTGUG00000024912.1,oligodendrocytes 3
TMEM241_ENSTGUG00000010387.2,0.0,,,,,,TMEM241_ENSTGUG00000010387.2,oligodendrocytes 3
ZCCHC2_ENSTGUG00000024466.1,0.0,,,,,,ZCCHC2_ENSTGUG00000024466.1,oligodendrocytes 3
_ENSTGUG00000008158.2,0.0,,,,,,_ENSTGUG00000008158.2,oligodendrocytes 3
AOC1_ENSTGUG00000027317.1,0.0,,,,,,AOC1_ENSTGUG00000027317.1,oligodendrocytes 3
EXT1_ENSTGUG00000012328.2,0.0,,,,,,EXT1_ENSTGUG00000012328.2,oligodendrocytes 3
POU6F2_ENSTGUG00000001859.2,0.0,,,,,,POU6F2_ENSTGUG00000001859.2,oligodendrocytes 3
FH_ENSTGUG00000008229.2,0.0,,,,,,FH_ENSTGUG00000008229.2,oligodendrocytes 3
SERPINB5_ENSTGUG00000002060.2,0.0,,,,,,SERPINB5_ENSTGUG00000002060.2,oligodendrocytes 3
_ENSTGUG00000008245.2,0.0,,,,,,_ENSTGUG00000008245.2,oligodendrocytes 3
_ENSTGUG00000021399.1,0.0,,,,,,_ENSTGUG00000021399.1,oligodendrocytes 3
TNFRSF11B_ENSTGUG00000012341.2,0.0,,,,,,TNFRSF11B_ENSTGUG00000012341.2,oligodendrocytes 3
TTC39C_ENSTGUG00000010516.2,0.0,,,,,,TTC39C_ENSTGUG00000010516.2,oligodendrocytes 3
OSBPL1A_ENSTGUG00000010525.2,0.0,,,,,,OSBPL1A_ENSTGUG00000010525.2,oligodendrocytes 3
CCM2_ENSTGUG00000015039.2,0.0,,,,,,CCM2_ENSTGUG00000015039.2,oligodendrocytes 3
COLEC10_ENSTGUG00000019400.1,0.5,-15.452852656461454,197.61624786200275,1.5416256892318154,0.21437598670957406,0.5241386550705339,COLEC10_ENSTGUG00000019400.1,oligodendrocytes 3
IMPACT_ENSTGUG00000010551.2,0.0,,,,,,IMPACT_ENSTGUG00000010551.2,oligodendrocytes 3
CCN3_ENSTGUG00000012349.2,0.0,,,,,,CCN3_ENSTGUG00000012349.2,oligodendrocytes 3
KLF10_ENSTGUG00000012120.2,0.0,,,,,,KLF10_ENSTGUG00000012120.2,oligodendrocytes 3
WRNIP1_ENSTGUG00000002117.2,0.0,,,,,,WRNIP1_ENSTGUG00000002117.2,oligodendrocytes 3
BAALC_ENSTGUG00000028617.1,0.0,,,,,,BAALC_ENSTGUG00000028617.1,oligodendrocytes 3
AMPH_ENSTGUG00000001869.2,0.0,,,,,,AMPH_ENSTGUG00000001869.2,oligodendrocytes 3
FZD6_ENSTGUG00000012145.2,1.0,-3.632939905186737e-15,3.937547620913516,0.0,1.0,1.0,FZD6_ENSTGUG00000012145.2,oligodendrocytes 3
ENPP2_ENSTGUG00000012352.2,5.75,-0.37541952086378283,1.099522721428803,0.1164944046340679,0.7328681379992632,1.0,ENPP2_ENSTGUG00000012352.2,oligodendrocytes 3
MYLK4_ENSTGUG00000019999.1,0.0,,,,,,MYLK4_ENSTGUG00000019999.1,oligodendrocytes 3
_ENSTGUG00000023173.1,0.0,,,,,,_ENSTGUG00000023173.1,oligodendrocytes 3
SCAP_ENSTGUG00000020198.1,0.0,,,,,,SCAP_ENSTGUG00000020198.1,oligodendrocytes 3
ELP6_ENSTGUG00000000144.2,0.0,,,,,,ELP6_ENSTGUG00000000144.2,oligodendrocytes 3
GMDS_ENSTGUG00000002124.2,0.0,,,,,,GMDS_ENSTGUG00000002124.2,oligodendrocytes 3
RIMS2_ENSTGUG00000012161.2,0.0,,,,,,RIMS2_ENSTGUG00000012161.2,oligodendrocytes 3
AQP4_ENSTGUG00000020250.1,0.0,,,,,,AQP4_ENSTGUG00000020250.1,oligodendrocytes 3
_ENSTGUG00000002129.2,0.75,1.8170995683712357,4.032523471601533,0.16201256764198568,0.6873103138540079,1.0,_ENSTGUG00000002129.2,oligodendrocytes 3
FOXQ1_ENSTGUG00000018779.1,0.25,15.149855401214067,251.89969721048544,1.2917495805852197,0.2557257754497494,0.5241386550705339,FOXQ1_ENSTGUG00000018779.1,oligodendrocytes 3
_ENSTGUG00000010651.2,0.0,,,,,,_ENSTGUG00000010651.2,oligodendrocytes 3
_ENSTGUG00000028219.1,0.0,,,,,,_ENSTGUG00000028219.1,oligodendrocytes 3
POMGNT2_ENSTGUG00000003854.2,0.0,,,,,,POMGNT2_ENSTGUG00000003854.2,oligodendrocytes 3
LRP12_ENSTGUG00000012185.2,0.0,,,,,,LRP12_ENSTGUG00000012185.2,oligodendrocytes 3
_ENSTGUG00000001876.2,0.0,,,,,,_ENSTGUG00000001876.2,oligodendrocytes 3
ZFPM2_ENSTGUG00000012190.2,0.0,,,,,,ZFPM2_ENSTGUG00000012190.2,oligodendrocytes 3
IRF4_ENSTGUG00000002144.2,0.0,,,,,,IRF4_ENSTGUG00000002144.2,oligodendrocytes 3
_ENSTGUG00000010683.2,0.0,,,,,,_ENSTGUG00000010683.2,oligodendrocytes 3
ENTPD3_ENSTGUG00000003902.2,0.0,,,,,,ENTPD3_ENSTGUG00000003902.2,oligodendrocytes 3
TTR_ENSTGUG00000010708.2,0.0,,,,,,TTR_ENSTGUG00000010708.2,oligodendrocytes 3
_ENSTGUG00000010735.2,0.0,,,,,,_ENSTGUG00000010735.2,oligodendrocytes 3
_ENSTGUG00000003917.2,0.0,,,,,,_ENSTGUG00000003917.2,oligodendrocytes 3
OXR1_ENSTGUG00000012194.2,0.0,,,,,,OXR1_ENSTGUG00000012194.2,oligodendrocytes 3
NOD1_ENSTGUG00000003926.2,0.0,,,,,,NOD1_ENSTGUG00000003926.2,oligodendrocytes 3
NQO2_ENSTGUG00000002159.2,0.0,,,,,,NQO2_ENSTGUG00000002159.2,oligodendrocytes 3
_ENSTGUG00000021749.1,0.0,,,,,,_ENSTGUG00000021749.1,oligodendrocytes 3
_ENSTGUG00000019458.1,0.0,,,,,,_ENSTGUG00000019458.1,oligodendrocytes 3
RSPO2_ENSTGUG00000012214.2,0.0,,,,,,RSPO2_ENSTGUG00000012214.2,oligodendrocytes 3
_ENSTGUG00000028033.1,0.0,,,,,,_ENSTGUG00000028033.1,oligodendrocytes 3
GAREM1_ENSTGUG00000010770.2,0.0,,,,,,GAREM1_ENSTGUG00000010770.2,oligodendrocytes 3
_ENSTGUG00000020908.1,0.0,,,,,,_ENSTGUG00000020908.1,oligodendrocytes 3
_ENSTGUG00000010771.2,0.0,,,,,,_ENSTGUG00000010771.2,oligodendrocytes 3
TUBB2A_ENSTGUG00000028536.1,0.0,,,,,,TUBB2A_ENSTGUG00000028536.1,oligodendrocytes 3
VIPR2_ENSTGUG00000000754.2,0.0,,,,,,VIPR2_ENSTGUG00000000754.2,oligodendrocytes 3
KLHL18_ENSTGUG00000000150.2,0.0,,,,,,KLHL18_ENSTGUG00000000150.2,oligodendrocytes 3
_ENSTGUG00000020957.1,0.0,,,,,,_ENSTGUG00000020957.1,oligodendrocytes 3
_ENSTGUG00000027397.1,0.0,,,,,,_ENSTGUG00000027397.1,oligodendrocytes 3
CPNE4_ENSTGUG00000004219.2,0.0,,,,,,CPNE4_ENSTGUG00000004219.2,oligodendrocytes 3
NTAQ1_ENSTGUG00000020251.1,0.0,,,,,,NTAQ1_ENSTGUG00000020251.1,oligodendrocytes 3
LARP4B_ENSTGUG00000000811.2,0.0,,,,,,LARP4B_ENSTGUG00000000811.2,oligodendrocytes 3
DNAJC13_ENSTGUG00000004305.2,0.0,,,,,,DNAJC13_ENSTGUG00000004305.2,oligodendrocytes 3
_ENSTGUG00000025452.1,0.25,15.149855401214067,251.89969721048544,1.2917495805852197,0.2557257754497494,0.5241386550705339,_ENSTGUG00000025452.1,oligodendrocytes 3
WDR37_ENSTGUG00000000838.2,0.0,,,,,,WDR37_ENSTGUG00000000838.2,oligodendrocytes 3
