,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
WRE_WRE,0.0,,,,,,WRE_WRE,radial glia 1
TMEM74_ENSTGUG00000022792.1,0.0,,,,,,TMEM74_ENSTGUG00000022792.1,radial glia 1
TMEM170B_ENSTGUG00000025839.1,0.0,,,,,,TMEM170B_ENSTGUG00000025839.1,radial glia 1
_ENSTGUG00000020832.1,0.0,,,,,,_ENSTGUG00000020832.1,radial glia 1
_ENSTGUG00000020221.1,0.25,-13.913697504695524,167.81748613274985,0.4109750841646109,0.5214750056430177,1.0,_ENSTGUG00000020221.1,radial glia 1
RDH10_ENSTGUG00000011532.2,0.0,,,,,,RDH10_ENSTGUG00000011532.2,radial glia 1
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2,radial glia 1
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2,radial glia 1
JPH1_ENSTGUG00000011568.2,0.0,,,,,,JPH1_ENSTGUG00000011568.2,radial glia 1
GDAP1_ENSTGUG00000027544.1,0.0,,,,,,GDAP1_ENSTGUG00000027544.1,radial glia 1
_ENSTGUG00000026397.1,0.0,,,,,,_ENSTGUG00000026397.1,radial glia 1
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1,radial glia 1
PEX2_ENSTGUG00000027344.1,0.0,,,,,,PEX2_ENSTGUG00000027344.1,radial glia 1
PKIA_ENSTGUG00000025587.1,0.0,,,,,,PKIA_ENSTGUG00000025587.1,radial glia 1
GFOD1_ENSTGUG00000027728.1,0.0,,,,,,GFOD1_ENSTGUG00000027728.1,radial glia 1
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2,radial glia 1
_ENSTGUG00000026838.1,1.0,-3.848706002880957e-15,4.051982916760735,0.0,1.0,1.0,_ENSTGUG00000026838.1,radial glia 1
_ENSTGUG00000022509.1,0.0,,,,,,_ENSTGUG00000022509.1,radial glia 1
FABP5_ENSTGUG00000024298.1,0.0,,,,,,FABP5_ENSTGUG00000024298.1,radial glia 1
PMP2_ENSTGUG00000011663.2,0.0,,,,,,PMP2_ENSTGUG00000011663.2,radial glia 1
FABP4_ENSTGUG00000011667.2,0.0,,,,,,FABP4_ENSTGUG00000011667.2,radial glia 1
ZFAND1_ENSTGUG00000011672.2,0.0,,,,,,ZFAND1_ENSTGUG00000011672.2,radial glia 1
CHMP4C_ENSTGUG00000011678.2,0.0,,,,,,CHMP4C_ENSTGUG00000011678.2,radial glia 1
RNF182_ENSTGUG00000027109.1,0.0,,,,,,RNF182_ENSTGUG00000027109.1,radial glia 1
RALYL_ENSTGUG00000011689.2,0.0,,,,,,RALYL_ENSTGUG00000011689.2,radial glia 1
MCUR1_ENSTGUG00000006092.2,0.0,,,,,,MCUR1_ENSTGUG00000006092.2,radial glia 1
SIRT5_ENSTGUG00000006129.2,0.0,,,,,,SIRT5_ENSTGUG00000006129.2,radial glia 1
TPMT_ENSTGUG00000006234.2,0.0,,,,,,TPMT_ENSTGUG00000006234.2,radial glia 1
CA2_ENSTGUG00000011728.2,0.0,,,,,,CA2_ENSTGUG00000011728.2,radial glia 1
KDM1B_ENSTGUG00000006257.2,0.0,,,,,,KDM1B_ENSTGUG00000006257.2,radial glia 1
RNF144B_ENSTGUG00000026004.1,0.0,,,,,,RNF144B_ENSTGUG00000026004.1,radial glia 1
ID4_ENSTGUG00000006296.2,8.25,0.06501314521248233,3.7838131399761483,0.0002931843149838187,0.9863387887629406,1.0,ID4_ENSTGUG00000006296.2,radial glia 1
E2F3_ENSTGUG00000006335.2,0.0,,,,,,E2F3_ENSTGUG00000006335.2,radial glia 1
MMP16_ENSTGUG00000011786.2,0.0,,,,,,MMP16_ENSTGUG00000011786.2,radial glia 1
NBN_ENSTGUG00000011805.2,0.0,,,,,,NBN_ENSTGUG00000011805.2,radial glia 1
CALB1_ENSTGUG00000011825.2,0.0,,,,,,CALB1_ENSTGUG00000011825.2,radial glia 1
