,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.07020093112434031,14.372269408693406,54.154724647636485,0.46911066068088303,0.4933965909408341,1.0,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.0050031730276804305,-10.60125142692311,60.969326260480756,0.047149783518364075,0.8280992350185573,1.0,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.02505060465540542,13.020416732507348,55.63044808216937,0.16303785663826886,0.686374898070841,1.0,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.10020246387530973,0.003980891178490136,6.476476648987179,8.218412972382794e-08,0.99977126425613,1.0,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.05515649161399618,-7.297451503361248,10.857340381776957,0.1071267616896705,0.7434392921713462,1.0,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.020012692110721722,-12.425385525046556,55.73879707996467,0.10687049007836791,0.7437355617722593,1.0,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.0,,,,,,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.01504425860004456,-12.08936574323242,56.363317049049265,0.1029249504669636,0.7483474185812006,1.0,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.005020542786182065,-10.605402027052474,60.95772176928705,0.0471829883740611,0.8280396614906902,1.0,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.03504825830664289,5.128045947122373,11.348108015122309,0.02455036915648634,0.8754926567803406,1.0,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.08515822032501032,5.9460172963668905,8.506942810265704,0.1040623493221915,0.7470080676049945,1.0,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.015026888841542928,-0.030786435155096898,20.368165732881742,9.620266219201312e-07,0.9992174113643413,1.0,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,0.08518419208471185,-0.0048088897883306085,8.026807375706202,1.2998100373806665e-08,0.9999090338103176,1.0,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.005020542786182065,10.719555120459423,62.60431993820021,0.0473073179661494,0.8278167939163479,1.0,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,0.050135948827814115,-8.65379427279369,12.629534285200453,0.2032416275791462,0.6521169230840399,1.0,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,0.010023715813862496,0.01424290574286967,20.393515023032077,-2.7355078202617733e-09,1.0,1.0,PMP2_ENSTGUG00000011663.2
FABP4_ENSTGUG00000011667.2,0.0,,,,,,FABP4_ENSTGUG00000011667.2
ZFAND1_ENSTGUG00000011672.2,0.03511773734064943,8.757868931647552,17.98470966020237,0.0843796140341766,0.7714477540848875,1.0,ZFAND1_ENSTGUG00000011672.2
CHMP4C_ENSTGUG00000011678.2,0.01004108557236413,11.547435014737768,60.286311539007784,0.053951801818030276,0.8163242176252838,1.0,CHMP4C_ENSTGUG00000011678.2
RNF182_ENSTGUG00000027109.1,0.02003006186922336,0.0071371706264157534,14.4601981038686,-2.7027553528569115e-09,1.0,1.0,RNF182_ENSTGUG00000027109.1
