,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.33865267633817747,12.242958492866087,12.011200240184797,1.20623395373093,0.2720792623564416,1.0,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.07483577267979927,-2.397165243723531,8.387646904560981,0.00850915196394908,0.9265033341873046,1.0,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.1299106890899016,-7.158731759579153,7.18643145440627,0.21087488872584004,0.6460825377994274,1.0,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.03983003909802264,0.06788559059225482,14.445752808081375,3.364260329874469e-06,0.998536527334186,1.0,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.014984382617873226,-6.829695162447519,18.573648316499,0.033264999631143155,0.855279066218016,1.0,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.03485086283694561,-5.749973532026596,13.66228686409906,0.027781568414724234,0.8676233867691857,1.0,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.015011874313437838,-0.03069126760048763,20.3680742029761,9.644663272467824e-07,0.9992164196682441,1.0,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.010023411205360095,0.014486038214734813,20.393521907837883,-2.395680098743469e-09,1.0,1.0,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.03998639213949799,7.840335439948781,12.987371755913545,0.113254798870841,0.7364685913234045,1.0,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.05483482682846189,-5.956405655337272,9.702484174658201,0.058023840576424845,0.809647051725263,1.0,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.02489388129725523,-5.754654695534106,13.670942683172584,0.027900147630617766,0.8673437900844162,1.0,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.02492489001551716,-12.849492651254735,54.56352879140004,0.20118440866861675,0.6537665192260532,1.0,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.29973920125038406,-5.736125818969225,4.918690467852794,0.20438417130526432,0.6512051009219973,1.0,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.044791574559894985,8.300922758420674,12.789553045434232,0.15774179761520202,0.6912441559139039,1.0,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,0.1648498928480805,2.57616776870018,6.195831785075506,0.017946876128519307,0.8934294985540541,1.0,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.0,,,,,,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,0.5136974844748391,-2.059806086552821,1.1080457728505417,1.2038059949763351,0.2725623073786194,1.0,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,0.014956955895964364,-12.093377098764368,56.36623571850917,0.10299425242950377,0.7482655787384801,1.0,PMP2_ENSTGUG00000011663.2
FABP4_ENSTGUG00000011667.2,0.0,,,,,,FABP4_ENSTGUG00000011667.2
ZFAND1_ENSTGUG00000011672.2,0.0,,,,,,ZFAND1_ENSTGUG00000011672.2
CHMP4C_ENSTGUG00000011678.2,0.0,,,,,,CHMP4C_ENSTGUG00000011678.2
RNF182_ENSTGUG00000027109.1,0.009971303930642909,0.013954969882303658,20.39364406437044,-6.568193100520148e-09,1.0,1.0,RNF182_ENSTGUG00000027109.1
RALYL_ENSTGUG00000011689.2,0.06996612056155949,-4.079438123334931,8.168517411768697,0.019071771303572405,0.8901609242275202,1.0,RALYL_ENSTGUG00000011689.2
MCUR1_ENSTGUG00000006092.2,0.03988839228295364,-13.472299461935636,53.444953970830966,0.2612988147249169,0.6092292526575996,1.0,MCUR1_ENSTGUG00000006092.2
SIRT5_ENSTGUG00000006129.2,0.04001687681740196,7.43266650404723,13.264779483144197,0.07337191531551923,0.7864890906389888,1.0,SIRT5_ENSTGUG00000006129.2
TPMT_ENSTGUG00000006234.2,0.015036499966523686,6.859362185847013,18.597160788171248,0.03335024933537767,0.855095793192625,1.0,TPMT_ENSTGUG00000006234.2
CA2_ENSTGUG00000011728.2,0.0999039932226478,-5.662102424355609,8.044803756567925,0.06883327923176807,0.793043159452187,1.0,CA2_ENSTGUG00000011728.2
KDM1B_ENSTGUG00000006257.2,0.08478991694798806,5.851510580981844,8.751903133718379,0.05747262635935613,0.8105360942618207,1.0,KDM1B_ENSTGUG00000006257.2
RNF144B_ENSTGUG00000026004.1,0.014905208759669154,-12.167459278802005,55.96883518889306,0.1450952681979487,0.7032672655829103,1.0,RNF144B_ENSTGUG00000026004.1
ID4_ENSTGUG00000006296.2,0.08481752298989699,2.215934438115632,7.76614990315393,0.007943518985058518,0.9289814397367514,1.0,ID4_ENSTGUG00000006296.2
E2F3_ENSTGUG00000006335.2,0.0050029608951009585,-10.608186431080629,60.96732883765055,0.04719814043460957,0.8280124841550629,1.0,E2F3_ENSTGUG00000006335.2
MMP16_ENSTGUG00000011786.2,0.04002251471728116,-0.05195288168439273,11.807529031020746,3.1113570315710604e-06,0.9985926090269865,1.0,MMP16_ENSTGUG00000011786.2
NBN_ENSTGUG00000011805.2,0.015011900196791285,6.859267622619176,18.597158563414702,0.03334915392879623,0.8550981466028699,1.0,NBN_ENSTGUG00000011805.2
CALB1_ENSTGUG00000011825.2,0.004951213551621645,10.706103925198942,62.62622780168126,0.04720622037647715,0.8279979935190059,1.0,CALB1_ENSTGUG00000011825.2
NRSN1_ENSTGUG00000006383.2,0.2644047234084941,3.03271790561626,4.856618166529833,0.05447525948818566,0.8154513130265282,1.0,NRSN1_ENSTGUG00000006383.2
VIRMA_ENSTGUG00000011895.2,0.02493862785449295,-8.371446962046768,17.87551305857032,0.08068411993839675,0.7763724446928881,1.0,VIRMA_ENSTGUG00000011895.2
SKAP2_ENSTGUG00000002889.2,0.004968402919889718,-10.606461186962756,60.97208602054491,0.04718436523069869,0.8280371917173805,1.0,SKAP2_ENSTGUG00000002889.2
_ENSTGUG00000020082.1,0.2592561893509503,2.6088991797852725,5.059973239866069,0.012643592276049276,0.9104715841268813,1.0,_ENSTGUG00000020082.1
CDH18_ENSTGUG00000007189.2,0.24955433948975692,0.818831307945754,5.198040523464579,0.004035224297410878,0.9493497141439802,1.0,CDH18_ENSTGUG00000007189.2
LPCAT1_ENSTGUG00000008465.2,0.1497830542088387,6.877890368236198,7.249773545653543,0.18219669606719435,0.6694921918078047,1.0,LPCAT1_ENSTGUG00000008465.2
ALDH5A1_ENSTGUG00000006463.2,0.07488291267147745,-4.265331430632717,8.168596669962955,0.020218094328185998,0.8869296575517618,1.0,ALDH5A1_ENSTGUG00000006463.2
