,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.020190158546701635,12.666436760177401,56.571903705784514,0.19453210827683876,0.6591710503100249,1.0,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.055305706417986426,-3.8816062284471697,11.061362517555832,0.021087698578654113,0.884540301252927,1.0,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.11575408777810811,-4.639963207176811,6.996084796480416,0.06987693595451105,0.7915160454264454,1.0,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.005039536724111539,10.713208565515576,62.570922700711264,0.04727744858208105,0.8278703083985657,1.0,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.07060715831058716,-4.31213422681652,8.911534622448599,0.020102341437564064,0.8872516287457102,1.0,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.010051428943969534,0.01307275970614201,20.393776182096605,-2.0563390989991603e-08,1.0,1.0,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.005025714471984767,-10.593351315669118,61.03824447338161,0.04706801136537209,0.8282460378741363,1.0,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.08050412547019428,-8.799129341730659,10.33067904836637,0.32798521022266414,0.566847884631743,1.0,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.005025714471984767,-10.60407311244015,61.008062862259514,0.04715385266020711,0.8280919333050962,1.0,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.035263724185438626,5.771568865753487,13.67217631145811,0.02788260121543118,0.867385124041087,1.0,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.08056208278567065,-5.973875368044004,8.49759275332445,0.1048751199134017,0.7460559279265884,1.0,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.04528678504495842,-5.108664301020308,11.341160107287296,0.024425874032175443,0.8758061784050252,1.0,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,0.2729610957061827,-4.466567638589781,4.989891880685299,0.08978704115804703,0.7644480634153022,1.0,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.0,,,,,,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,1.5300740976033402,-0.5343697231652362,0.5015493295874381,0.6182822438781841,0.4316863319600706,1.0,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,0.03515689270135019,0.049939857112714495,20.328205624643765,9.526075359644892e-07,0.9992212519020042,1.0,PMP2_ENSTGUG00000011663.2
FABP4_ENSTGUG00000011667.2,0.010086324977424135,-11.609597049194209,57.46219767068833,0.09624823353976453,0.7563792192816235,1.0,FABP4_ENSTGUG00000011667.2
ZFAND1_ENSTGUG00000011672.2,0.050302239847559695,-2.752312491750597,10.27962764812253,0.00937563859999102,0.922863081876436,1.0,ZFAND1_ENSTGUG00000011672.2
CHMP4C_ENSTGUG00000011678.2,0.0,,,,,,CHMP4C_ENSTGUG00000011678.2
RNF182_ENSTGUG00000027109.1,0.0352425444483327,-5.117084431526904,11.344553638810432,0.024536741762616998,0.8755269354986369,1.0,RNF182_ENSTGUG00000027109.1
RALYL_ENSTGUG00000011689.2,0.030184884114680885,-8.697480099586778,17.857854202907497,0.08522387681359334,0.7703391607253922,1.0,RALYL_ENSTGUG00000011689.2
MCUR1_ENSTGUG00000006092.2,0.07048539935579524,5.548932983798742,8.775593069000113,0.07359690500260285,0.7861699234284322,1.0,MCUR1_ENSTGUG00000006092.2
SIRT5_ENSTGUG00000006129.2,0.16097438535716801,-6.236001171669413,6.8209824567504,0.1271722181845405,0.7213821881038832,1.0,SIRT5_ENSTGUG00000006129.2
TPMT_ENSTGUG00000006234.2,0.18111726303223036,-8.6275372401988,7.489834614240401,0.4694263393378151,0.49325119769467207,1.0,TPMT_ENSTGUG00000006234.2
CA2_ENSTGUG00000011728.2,0.04537933947897106,-10.030879521428501,16.911146183088743,0.26839853619810583,0.6044080762933465,1.0,CA2_ENSTGUG00000011728.2
KDM1B_ENSTGUG00000006257.2,0.025146020376651135,-0.025268831339838007,14.451213876946337,7.889770401448004e-07,0.9992912840825796,1.0,KDM1B_ENSTGUG00000006257.2
RNF144B_ENSTGUG00000026004.1,0.005025714471984767,-10.60822128769157,60.99639869585814,0.047187062345399156,0.8280323538053198,1.0,RNF144B_ENSTGUG00000026004.1
ID4_ENSTGUG00000006296.2,0.07058625273329583,-14.356310487443862,53.45900891757182,0.6015044486549073,0.4380045858166229,1.0,ID4_ENSTGUG00000006296.2
E2F3_ENSTGUG00000006335.2,0.0,,,,,,E2F3_ENSTGUG00000006335.2
MMP16_ENSTGUG00000011786.2,0.10074973161431415,-6.887725671069956,8.521085625645492,0.14233970644158944,0.7059660180518161,1.0,MMP16_ENSTGUG00000011786.2
NBN_ENSTGUG00000011805.2,0.0704687666605279,-7.1115344962378,10.345564282375413,0.1575573656307654,0.6914154201740309,1.0,NBN_ENSTGUG00000011805.2
CALB1_ENSTGUG00000011825.2,0.030281111178212142,-6.05959915648399,13.671074553682308,0.029839959994873766,0.8628538614941083,1.0,CALB1_ENSTGUG00000011825.2
NRSN1_ENSTGUG00000006383.2,0.07567727934420311,9.397602544987246,12.50058622088771,0.3036644478514745,0.581594208876334,1.0,NRSN1_ENSTGUG00000006383.2
VIRMA_ENSTGUG00000011895.2,0.10575570666862392,-3.9621100418296438,7.123369136654759,0.030034237271536313,0.8624125684890658,1.0,VIRMA_ENSTGUG00000011895.2
SKAP2_ENSTGUG00000002889.2,0.0,,,,,,SKAP2_ENSTGUG00000002889.2
_ENSTGUG00000020082.1,0.1308641498826784,-6.856318592660336,6.76265265582536,0.20178257027896507,0.6532858377077998,1.0,_ENSTGUG00000020082.1
CDH18_ENSTGUG00000007189.2,0.015042368113603804,-5.153259394159991,17.29269782296024,0.028880792397337984,0.8650545724512492,1.0,CDH18_ENSTGUG00000007189.2
LPCAT1_ENSTGUG00000008465.2,0.13081236455996756,-6.780134771767717,7.666233442291195,0.20573642925720037,0.6501298713109855,1.0,LPCAT1_ENSTGUG00000008465.2
ALDH5A1_ENSTGUG00000006463.2,0.1359364249172092,-5.249948143401051,6.533586482417971,0.09219856244206426,0.7614005266892424,1.0,ALDH5A1_ENSTGUG00000006463.2
SYBU_ENSTGUG00000012263.2,0.29655600340735955,-6.188983294583556,5.6316170255203675,0.20655838566631246,0.6494783842105941,1.0,SYBU_ENSTGUG00000012263.2
FKBP9_ENSTGUG00000005249.2,0.012527277197594257,-11.70468841734554,58.19027699074042,0.05591859139757638,0.8130671134503011,1.0,FKBP9_ENSTGUG00000005249.2
_ENSTGUG00000028991.1,0.010051428943969534,0.01371699286602901,20.39364417783827,-1.1158924451137864e-08,1.0,1.0,_ENSTGUG00000028991.1
KCNV1_ENSTGUG00000012266.2,0.03521137992568271,2.9075212887209942,11.886171028365972,0.009623556646531028,0.9218531034584029,1.0,KCNV1_ENSTGUG00000012266.2
KIAA0319_ENSTGUG00000006487.2,0.055395672697000284,-10.449053171112219,16.728385166187874,0.3637059483834264,0.5464552158897746,1.0,KIAA0319_ENSTGUG00000006487.2
IRX1_ENSTGUG00000008517.2,0.005025714471984767,-10.60407311244015,61.008062862259514,0.04715385266020711,0.8280919333050962,1.0,IRX1_ENSTGUG00000008517.2
NDUFAF6_ENSTGUG00000011949.2,0.06548748431456765,-5.11217482069604,9.90930534045522,0.025302356838565743,0.8736159725492662,1.0,NDUFAF6_ENSTGUG00000011949.2
TRIQK_ENSTGUG00000022552.1,0.020102857887939068,-8.031305196668244,17.85935329581372,0.07646043037902217,0.7821526997479522,1.0,TRIQK_ENSTGUG00000022552.1
C8orf37_ENSTGUG00000011955.2,0.03526011361531213,-9.001794553795605,17.811262831660596,0.09003410323883543,0.7641338048987986,1.0,C8orf37_ENSTGUG00000011955.2
GABBR2_ENSTGUG00000008527.2,0.1511121957887443,-0.9150497558960448,6.298790993040875,0.0038389662245492673,0.9505951705345794,1.0,GABBR2_ENSTGUG00000008527.2
MTERF3_ENSTGUG00000011961.2,0.09048350014644888,-6.652870557062321,9.365527031069284,0.11682189337687987,0.732507296048696,1.0,MTERF3_ENSTGUG00000011961.2
CTDP1_ENSTGUG00000006649.2,0.05018765448069873,0.42912857528590637,11.632994199389366,6.508464912258205e-05,0.9935631315367546,1.0,CTDP1_ENSTGUG00000006649.2
CDH17_ENSTGUG00000011871.2,0.0,,,,,,CDH17_ENSTGUG00000011871.2
GEM_ENSTGUG00000011878.2,0.0,,,,,,GEM_ENSTGUG00000011878.2
_ENSTGUG00000002953.2,0.010079267935943022,11.899189983930265,64.98805856878722,0.09643478340643696,0.7561507235722889,1.0,_ENSTGUG00000002953.2
CPQ_ENSTGUG00000011977.2,0.005025714471984767,10.712351019013818,62.573464105842724,0.04727055315108686,0.827882664881807,1.0,CPQ_ENSTGUG00000011977.2
OTULINL_ENSTGUG00000007437.2,0.005025714471984767,-10.599925170347273,61.01973353897422,0.0471206439432823,0.8281515330405953,1.0,OTULINL_ENSTGUG00000007437.2
SLC66A2_ENSTGUG00000023857.1,0.04032025077411186,-8.289147709065203,12.77971091588309,0.15762384570166432,0.6913536731523043,1.0,SLC66A2_ENSTGUG00000023857.1
SLC39A6_ENSTGUG00000008614.2,0.1863474913813838,4.4325354117116635,6.276068665236335,0.0445992881111863,0.8327425753573607,1.0,SLC39A6_ENSTGUG00000008614.2
TRIO_ENSTGUG00000007442.2,0.25177576939502005,-0.7253121833076585,5.190188005181469,0.0054913536250182915,0.9409278965712999,1.0,TRIO_ENSTGUG00000007442.2
_ENSTGUG00000005349.2,0.010079076054954263,11.69567676198636,58.97969926452163,0.09623811706062213,0.7563916173933285,1.0,_ENSTGUG00000005349.2
LAPTM4B_ENSTGUG00000011987.2,0.16617841286835255,6.044073373879377,6.508968022426863,0.11862613381114784,0.7305293613231157,1.0,LAPTM4B_ENSTGUG00000011987.2
ADNP2_ENSTGUG00000006688.2,0.03519750968617272,-6.717518226240517,13.653386743379095,0.03450615296630133,0.8526342924100526,1.0,ADNP2_ENSTGUG00000006688.2
MATN2_ENSTGUG00000011992.2,0.0,,,,,,MATN2_ENSTGUG00000011992.2
PLEKHA8_ENSTGUG00000002993.2,0.03518006166944542,-9.563011548845285,17.025764795217885,0.21506249232336927,0.642828082895428,1.0,PLEKHA8_ENSTGUG00000002993.2
_ENSTGUG00000027879.1,0.030131057280673286,0.03985650738620848,14.443822449182182,3.9518432259910696e-07,0.9994984203748598,1.0,_ENSTGUG00000027879.1
ANKRD33B_ENSTGUG00000026776.1,0.0,,,,,,ANKRD33B_ENSTGUG00000026776.1
COL15A1_ENSTGUG00000025718.1,0.0,,,,,,COL15A1_ENSTGUG00000025718.1
BTD_ENSTGUG00000023167.1,0.005025714471984767,-10.60822128769157,60.99639869585805,0.047187062345399156,0.8280323538053198,1.0,BTD_ENSTGUG00000023167.1
POP1_ENSTGUG00000012011.2,0.03022923643646227,6.945016368961069,13.256515846884827,0.06716112572549093,0.7955159303143228,1.0,POP1_ENSTGUG00000012011.2
GALNT15_ENSTGUG00000003115.2,0.07049617826862331,-7.690421618633299,10.71168026856903,0.16168664283040357,0.6876083895268471,1.0,GALNT15_ENSTGUG00000003115.2
SBK2_ENSTGUG00000021210.1,0.0,,,,,,SBK2_ENSTGUG00000021210.1
RFTN1_ENSTGUG00000003139.2,0.010079076054954263,0.013237260056594334,20.393509733511728,-1.7649039563139013e-08,1.0,1.0,RFTN1_ENSTGUG00000003139.2
ATPSCKMT_ENSTGUG00000007661.2,0.03523548740685158,5.123270657201891,11.348030929739275,0.0245205613340147,0.8755676488569483,1.0,ATPSCKMT_ENSTGUG00000007661.2
SEMA5A_ENSTGUG00000007664.2,0.04532128874411097,-8.023762127808903,13.030223752631281,0.11748931223638692,0.7317736485016451,1.0,SEMA5A_ENSTGUG00000007664.2
MTRR_ENSTGUG00000007702.2,0.0,,,,,,MTRR_ENSTGUG00000007702.2
PLCL2_ENSTGUG00000003154.2,0.020102857887939068,-8.028069635567286,17.859511309177265,0.07641564801957657,0.7822148959640659,1.0,PLCL2_ENSTGUG00000003154.2
KCNS2_ENSTGUG00000022432.1,0.12600511315438442,-5.134678048900728,7.487634037251581,0.06631028484528656,0.796786768102274,1.0,KCNS2_ENSTGUG00000022432.1
CSMD3_ENSTGUG00000012272.2,0.015122299118792395,-12.172649568532474,55.982384383620236,0.14518589707182628,0.7031790052935051,1.0,CSMD3_ENSTGUG00000012272.2
ELMO1_ENSTGUG00000005533.2,0.5735499901269988,-0.45805163265252236,1.3005668878667598,0.03229037699395576,0.8573918355376523,1.0,ELMO1_ENSTGUG00000005533.2
ADCY2_ENSTGUG00000007740.2,0.04528383466359685,-8.112948053226388,12.763175189106478,0.15336764862257724,0.6953376643465882,1.0,ADCY2_ENSTGUG00000007740.2
_ENSTGUG00000027521.1,0.005025714471984767,-10.599925170347273,61.01973353897422,0.0471206439432823,0.8281515330405953,1.0,_ENSTGUG00000027521.1
NR4A3_ENSTGUG00000008853.2,0.05027459273657497,-8.028212692842871,13.014141625197283,0.11598518896497012,0.7334303414854367,1.0,NR4A3_ENSTGUG00000008853.2
EPDR1_ENSTGUG00000025037.1,0.04534249509778975,0.2175217324413125,10.123138757689514,3.5770573873605827e-05,0.9952280000970662,1.0,EPDR1_ENSTGUG00000025037.1
NSUN2_ENSTGUG00000007789.2,0.045304414787791514,-6.46139463185036,11.060810439832787,0.06316850773126248,0.8015563084627153,1.0,NSUN2_ENSTGUG00000007789.2
ALG2_ENSTGUG00000008879.2,0.040240672174884785,5.342700409138416,11.347539154837733,0.025907697543630093,0.872125942662789,1.0,ALG2_ENSTGUG00000008879.2
STARD3NL_ENSTGUG00000005634.2,0.08552782025217917,-7.049076824566499,9.5397104687656,0.10502227484570881,0.7458839759899869,1.0,STARD3NL_ENSTGUG00000005634.2
IFI6_ENSTGUG00000021692.1,0.29323828195701884,-16.299043211792192,52.206848205258105,1.050821520751299,0.3053179591175167,1.0,IFI6_ENSTGUG00000021692.1
TRANK1_ENSTGUG00000005694.2,0.06052790532492401,-5.53871645469231,9.529892511422826,0.057913156463257565,0.809825212331444,1.0,TRANK1_ENSTGUG00000005694.2
RNF19A_ENSTGUG00000012061.2,0.0704831512454273,-6.118683235339866,8.620271204535848,0.08878370025266236,0.7657291609036102,1.0,RNF19A_ENSTGUG00000012061.2
DCLK3_ENSTGUG00000027434.1,0.0,,,,,,DCLK3_ENSTGUG00000027434.1
_ENSTGUG00000027473.1,0.010051428943969534,11.54453393400828,60.24767091946182,0.053948168628451754,0.8163302918012655,1.0,_ENSTGUG00000027473.1
ARPP21_ENSTGUG00000001697.2,1.7162068392060241,-1.6977787111408684,0.4225852430978655,10.124062110020304,0.0014634610795182753,0.8692958812338555,ARPP21_ENSTGUG00000001697.2
THRB_ENSTGUG00000018874.1,0.0,,,,,,THRB_ENSTGUG00000018874.1
NCALD_ENSTGUG00000022354.1,0.7348109489511963,-2.3521662261376646,0.8058636948692967,3.632642930788222,0.05665677718594242,1.0,NCALD_ENSTGUG00000022354.1
RRM2B_ENSTGUG00000012093.2,0.005035913566242195,10.702389564103187,62.603472542013606,0.04719026917366698,0.828026601790034,1.0,RRM2B_ENSTGUG00000012093.2
UPP1_ENSTGUG00000007854.2,0.010068876960696834,0.014067438408414285,20.393693923264685,-7.145633418303987e-09,1.0,1.0,UPP1_ENSTGUG00000007854.2
VWC2_ENSTGUG00000007906.2,0.010061628038226961,0.013146715392368115,20.394060380839726,-1.8729103601344832e-08,1.0,1.0,VWC2_ENSTGUG00000007906.2
IKZF1_ENSTGUG00000007910.2,0.0,,,,,,IKZF1_ENSTGUG00000007910.2
C6orf62_ENSTGUG00000029400.1,0.23172073278150762,0.7210959674154241,5.111767471134905,0.0034952855593815,0.9528557800171292,1.0,C6orf62_ENSTGUG00000029400.1
SLC4A7_ENSTGUG00000003545.2,0.07551876603222532,-4.977417610737562,9.928443863110333,0.036732810176587805,0.8480100637939779,1.0,SLC4A7_ENSTGUG00000003545.2
GALR1_ENSTGUG00000024217.1,0.08070200544000398,-5.543749520872413,8.772174979956526,0.07355884764550069,0.7862238742220856,1.0,GALR1_ENSTGUG00000024217.1
DDC_ENSTGUG00000007930.2,0.0,,,,,,DDC_ENSTGUG00000007930.2
FBXL2_ENSTGUG00000001755.2,0.19106596614072868,-8.055456801084087,6.893469984160021,0.44666044254267945,0.5039251382024998,1.0,FBXL2_ENSTGUG00000001755.2
_ENSTGUG00000006931.2,0.010121342161130866,11.541230065227248,60.25655085406036,0.05392170987555467,0.8163745335738845,1.0,_ENSTGUG00000006931.2
CHPF2_ENSTGUG00000000042.2,0.0201902191218277,0.006567579260178157,14.460069273211479,-1.010926098388154e-08,1.0,1.0,CHPF2_ENSTGUG00000000042.2
MBP_ENSTGUG00000009051.2,0.6355260136175579,1.0021561488884245,1.4616127985809702,0.127137207189719,0.7214189448444216,1.0,MBP_ENSTGUG00000009051.2
GBX1_ENSTGUG00000023874.1,0.005025714471984767,10.708225641707218,62.58587459596081,0.047237310090856965,0.8279422490710174,1.0,GBX1_ENSTGUG00000023874.1
AGAP3_ENSTGUG00000000055.2,0.08057196695917997,-5.685199466544145,7.842208817456829,0.08664130308650897,0.7684912734198961,1.0,AGAP3_ENSTGUG00000000055.2
TMUB1_ENSTGUG00000023430.1,0.045345174812038015,-0.022140024209502826,10.233469321328387,6.780566792485843e-07,0.9993429884390429,1.0,TMUB1_ENSTGUG00000023430.1
VSTM2A_ENSTGUG00000023664.1,0.4229611045679474,-6.699423341576637,5.02312127169239,0.32603571506137996,0.5680027798637156,1.0,VSTM2A_ENSTGUG00000023664.1
_ENSTGUG00000024951.1,0.005008326820809519,-10.59992349169902,61.019695172494615,0.04712064807052663,0.8281515256320573,1.0,_ENSTGUG00000024951.1
_ENSTGUG00000022445.1,0.0,,,,,,_ENSTGUG00000022445.1
_ENSTGUG00000027012.1,0.0,,,,,,_ENSTGUG00000027012.1
SLC4A2_ENSTGUG00000000073.2,0.02510761930970011,-4.4671780212098,13.209102836565522,0.02456445659762352,0.8754572310914491,1.0,SLC4A2_ENSTGUG00000000073.2
RAMP3_ENSTGUG00000025072.1,0.010016653641619038,11.525404180766396,60.29865800227054,0.05379514817933284,0.8165863162248593,1.0,RAMP3_ENSTGUG00000025072.1
ADCY1_ENSTGUG00000007142.2,0.005025714471984767,-10.604073112440153,61.008062862259365,0.04715385266020711,0.8280919333050962,1.0,ADCY1_ENSTGUG00000007142.2
_ENSTGUG00000025304.1,0.0,,,,,,_ENSTGUG00000025304.1
ABCB8_ENSTGUG00000020909.1,0.050367733163786586,8.473196339840795,12.794509996266472,0.16209714945190967,0.6872330162111392,1.0,ABCB8_ENSTGUG00000020909.1
IGFBP1_ENSTGUG00000007176.2,0.0,,,,,,IGFBP1_ENSTGUG00000007176.2
GADL1_ENSTGUG00000003593.2,0.005025714471984767,10.712351019013818,62.573464105842724,0.04727055315108686,0.827882664881807,1.0,GADL1_ENSTGUG00000003593.2
CNTNAP2_ENSTGUG00000001794.2,0.5609850011491402,-3.5799599937578885,1.196897254414081,3.8184819433141115,0.05069014442998699,1.0,CNTNAP2_ENSTGUG00000001794.2
ATG9B_ENSTGUG00000022627.1,0.005025714471984767,10.712351019013813,62.57346410584271,0.04727055315108686,0.827882664881807,1.0,ATG9B_ENSTGUG00000022627.1
FHOD3_ENSTGUG00000007999.2,0.025086608500655517,-13.070427098024874,54.07025519892716,0.20777785680468952,0.6485147001312632,1.0,FHOD3_ENSTGUG00000007999.2
_ENSTGUG00000024876.1,0.0150771434159543,-6.829066453475842,18.57409769309868,0.03326005060075943,0.8552897132782967,1.0,_ENSTGUG00000024876.1
TSHZ1_ENSTGUG00000009111.2,0.1309810736130021,0.056952181656911856,8.346628706695638,2.4817334463023144e-06,0.9987430516022198,1.0,TSHZ1_ENSTGUG00000009111.2
ZNF407_ENSTGUG00000009124.2,0.1006426085779998,-9.166060096255501,10.275787788463312,0.3840184311619055,0.535460447444118,1.0,ZNF407_ENSTGUG00000009124.2
CDH9_ENSTGUG00000001934.2,0.005035913566242195,-10.606500592442998,61.001261400965845,0.047173276549713705,0.8280570834065258,1.0,CDH9_ENSTGUG00000001934.2
CDH6_ENSTGUG00000001940.2,0.015024980462428556,2.4671666487159296,19.990374101098205,-0.0001792316928010962,1.0,1.0,CDH6_ENSTGUG00000001940.2
CMTM8_ENSTGUG00000003684.2,0.0,,,,,,CMTM8_ENSTGUG00000003684.2
CMTM7_ENSTGUG00000028236.1,0.0,,,,,,CMTM7_ENSTGUG00000028236.1
DIPK1C_ENSTGUG00000009165.2,0.0301957561950201,-8.97816869854992,17.48118168505038,0.12646044790727728,0.722130572920301,1.0,DIPK1C_ENSTGUG00000009165.2
METTL4_ENSTGUG00000010144.2,0.04020583650698224,-3.9732517376453025,11.081778339715582,0.021603261705763543,0.8831474271283372,1.0,METTL4_ENSTGUG00000010144.2
CYB5A_ENSTGUG00000009166.2,0.08048452380611663,-5.935759886536657,8.498468037963478,0.09058382486688288,0.763436251190611,1.0,CYB5A_ENSTGUG00000009166.2
ADCYAP1_ENSTGUG00000021936.1,0.13105326050196422,-8.876679761064677,9.00376304802543,0.43030885447504374,0.5118374369762737,1.0,ADCYAP1_ENSTGUG00000021936.1
