,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.05519822086942979,14.094687928356592,55.02605958215414,0.49643569285389333,0.481070448468069,1.0,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.0,,,,,,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.030048094314665694,-7.794662699373491,18.516027632157993,0.039951481288845514,0.8415754754948706,1.0,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.01003918673657557,0.01378779874262008,20.393473845439924,-8.023803843570931e-09,1.0,1.0,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.03003072784090044,-8.982161519182304,17.479939676933448,0.12655223620134137,0.7220339298498073,1.0,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.24087346084595768,5.728302994227219,5.454880830721119,0.17985007455052937,0.6715021157579736,1.0,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.030048094314665694,-8.984845953772767,17.479034619698048,0.12662486581520938,0.7219574867592621,1.0,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.005002226894522531,-10.604599854946589,60.94687976602254,0.04718204736051845,0.8280413494805345,1.0,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.005002226894522531,-10.594420505325553,60.97544079124354,0.04710057304560422,0.8281875649742964,1.0,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.03503295473542297,-0.02230759272630896,11.812560141495354,6.529200078375652e-07,0.9993552816922879,1.0,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.0,,,,,,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.020066112827019575,8.047029697142067,17.887613446689553,0.07648000527678533,0.7821255192061939,1.0,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.07016292851187225,7.385936825982282,10.887560374349622,0.10894342810544799,0.7413502489244875,1.0,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.05007436836652107,-5.807504465603723,9.70119038606772,0.05617022368683422,0.8126547874807312,1.0,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,0.17540945535080094,-7.6152747403870125,7.092880243130385,0.30569106850231265,0.5803364338704943,1.0,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.0,,,,,,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,0.14532513733966163,-5.143313044972928,7.031616173181442,0.07512368545644676,0.78401776128723,1.0,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,0.005019593368287785,-10.604601527199394,60.9469180118649,0.04718204323773456,0.8280413568760219,1.0,PMP2_ENSTGUG00000011663.2
FABP4_ENSTGUG00000011667.2,0.005064764927333728,10.720339993334106,62.61552841013702,0.04730840098583222,0.8278148538928277,1.0,FABP4_ENSTGUG00000011667.2
ZFAND1_ENSTGUG00000011672.2,0.025115514191292408,12.942948240392308,56.024768637977175,0.20141118204382025,0.6535841836642694,1.0,ZFAND1_ENSTGUG00000011672.2
CHMP4C_ENSTGUG00000011678.2,0.06527373212299714,5.584525146985054,8.754092092500096,0.05412567329361195,0.81603378085992,1.0,CHMP4C_ENSTGUG00000011678.2
RNF182_ENSTGUG00000027109.1,0.0,,,,,,RNF182_ENSTGUG00000027109.1
RALYL_ENSTGUG00000011689.2,0.0150414136310981,6.861643021664543,18.59748704094894,0.03336524138308761,0.855063587760016,1.0,RALYL_ENSTGUG00000011689.2
MCUR1_ENSTGUG00000006092.2,0.025011134472612655,-12.847839810120377,54.54221816344605,0.20117503211688614,0.6537740610345154,1.0,MCUR1_ENSTGUG00000006092.2
SIRT5_ENSTGUG00000006129.2,0.0150689667770634,-6.837889275492257,18.57282540136291,0.03332346053642965,0.8551533586552117,1.0,SIRT5_ENSTGUG00000006129.2
TPMT_ENSTGUG00000006234.2,0.010021820262810316,0.014062850101305096,20.39364418902125,-2.1376855841026554e-09,1.0,1.0,TPMT_ENSTGUG00000006234.2
CA2_ENSTGUG00000011728.2,0.09525599798565684,-4.972951361653275,7.484244722563277,0.05995075340376843,0.8065737936797867,1.0,CA2_ENSTGUG00000011728.2
KDM1B_ENSTGUG00000006257.2,0.005019593368287785,-10.604601527199419,60.94691801186679,0.04718204323773456,0.8280413568760219,1.0,KDM1B_ENSTGUG00000006257.2
RNF144B_ENSTGUG00000026004.1,0.005019593368287785,10.720335350663637,62.61542024071225,0.0473084116014455,0.8278148348770933,1.0,RNF144B_ENSTGUG00000026004.1
ID4_ENSTGUG00000006296.2,0.0601656545243924,-9.283867154374756,12.33106619658686,0.33725634820675054,0.5614172071754009,1.0,ID4_ENSTGUG00000006296.2
E2F3_ENSTGUG00000006335.2,0.025011134472612655,12.66094641108699,57.57706807116935,0.06279606022264872,0.8021300152692369,1.0,E2F3_ENSTGUG00000006335.2
MMP16_ENSTGUG00000011786.2,0.02510319585395522,-8.723817776710941,17.45780355106204,0.12191164578848657,0.7269703333468033,1.0,MMP16_ENSTGUG00000011786.2
NBN_ENSTGUG00000011805.2,0.010021820262810316,-11.603407235428367,57.42304944760494,0.09619538052961119,0.7564440004449636,1.0,NBN_ENSTGUG00000011805.2
CALB1_ENSTGUG00000011825.2,0.0150414136310981,-12.174817842029377,55.92372572939312,0.14530368809620242,0.7030643398690504,1.0,CALB1_ENSTGUG00000011825.2
NRSN1_ENSTGUG00000006383.2,0.04515185433128901,0.02958259082797781,10.233375775193641,8.758749743265071e-07,0.999253274371685,1.0,NRSN1_ENSTGUG00000006383.2
VIRMA_ENSTGUG00000011895.2,0.030093013934396246,0.005579815475215749,11.81745524488868,5.652452728099888e-09,0.999940012808348,1.0,VIRMA_ENSTGUG00000011895.2
SKAP2_ENSTGUG00000002889.2,0.030100314320020274,-6.059020904951385,13.670935163025236,0.029834915580011057,0.8628653393556706,1.0,SKAP2_ENSTGUG00000002889.2
_ENSTGUG00000020082.1,0.03508505415671873,0.03263539954191726,11.812469575755312,9.89888249591786e-07,0.9992061598245316,1.0,_ENSTGUG00000020082.1
CDH18_ENSTGUG00000007189.2,0.0150414136310981,-6.834082046069611,18.572996520925376,0.033296844132102876,0.8552105773494608,1.0,CDH18_ENSTGUG00000007189.2
LPCAT1_ENSTGUG00000008465.2,0.05516342762986987,-4.835080400619595,9.909370023504914,0.023152886386114346,0.8790601697109997,1.0,LPCAT1_ENSTGUG00000008465.2
ALDH5A1_ENSTGUG00000006463.2,0.030039403554333495,-6.9310029669498165,13.247462626388366,0.06709183429262566,0.7956191033849258,1.0,ALDH5A1_ENSTGUG00000006463.2
SYBU_ENSTGUG00000012263.2,0.015006680683567593,-12.172788954734886,55.92873233661736,0.145255662268287,0.7031110848962824,1.0,SYBU_ENSTGUG00000012263.2
FKBP9_ENSTGUG00000005249.2,0.10024575577406845,-7.046694068501364,8.517264958545804,0.13884656150875685,0.7094303892778785,1.0,FKBP9_ENSTGUG00000005249.2
_ENSTGUG00000028991.1,0.0,,,,,,_ENSTGUG00000028991.1
KCNV1_ENSTGUG00000012266.2,0.0,,,,,,KCNV1_ENSTGUG00000012266.2
KIAA0319_ENSTGUG00000006487.2,0.030065460788430948,-7.316040893808055,18.55704364542173,0.03636623876488443,0.848761154802651,1.0,KIAA0319_ENSTGUG00000006487.2
IRX1_ENSTGUG00000008517.2,0.005002226894522531,10.712084925918342,62.64025611166586,0.04724192706236785,0.8279339723919282,1.0,IRX1_ENSTGUG00000008517.2
NDUFAF6_ENSTGUG00000011949.2,0.010004453789045062,0.013969608194091465,20.39373095534025,-5.159400018328597e-09,1.0,1.0,NDUFAF6_ENSTGUG00000011949.2
TRIQK_ENSTGUG00000022552.1,0.015024047157332847,-6.833086950156844,18.573044881725885,0.03329057718931239,0.8552240531650296,1.0,TRIQK_ENSTGUG00000022552.1
C8orf37_ENSTGUG00000011955.2,0.025118340185839014,-0.025048254843155465,14.451001292874425,7.640810792963748e-07,0.9993025553793443,1.0,C8orf37_ENSTGUG00000011955.2
GABBR2_ENSTGUG00000008527.2,0.0902952092174327,-6.771899466136728,8.517142141699248,0.1315674052478073,0.7168124031454755,1.0,GABBR2_ENSTGUG00000008527.2
