,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.015202966174742379,12.283900659615195,57.41937143761255,0.14579427136163048,0.7025873459707312,,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.014956372397468559,12.03337598727304,59.03971501110647,0.05782964059625151,0.8099597613350137,,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.03491551051528613,9.423250239494928,17.254775332284233,0.17317350031127887,0.6773066817251071,,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.01992458149077682,-12.521036244500444,55.22260594155991,0.15205851731045072,0.6965758764247042,,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.05480710118039311,-10.286339170943055,16.945538723789056,0.27667771343159586,0.598887075327355,,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,1.3631302392954956,-0.46527427870061766,0.3470062785458481,1.3517057614708392,0.24498013454106796,0.9988360117983942,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.2549489302227384,-9.600308758124129,7.280843440941395,0.8918452839898805,0.3449777429133592,0.9988360117983942,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.0,,,,,,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.0,,,,,,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.0,,,,,,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.004985457465822853,-10.596383243101963,60.99305926736581,0.0471066554803361,0.8281766447392134,,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.05984811106087587,-3.45758678185667,8.803820858031925,0.01810172454602821,0.8929734881868597,,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.010085999976067352,11.713550053293208,58.96843886053832,0.09649119663611216,0.7560816735214202,,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.16998117930595025,4.866983270897064,5.959630246859132,0.1024501247947569,0.7489089672256088,,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2
