,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.08008825645272978,11.114091529341888,16.62866317346967,0.5183928674130129,0.4715280452631727,,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.10521278355271367,-0.002162138558689965,7.021069366013004,-6.58810677123256e-08,1.0,,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.19494905671725604,6.111362795487769,5.887623745529375,0.16329268214099102,0.6861429406648922,,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.02993083817039156,-1.4558892583607999,16.675389139450907,0.0026923302204124866,0.9586181995523524,,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.4999608474812805,-1.5931887983370399,1.2305203012059942,0.4597892383575868,0.4977224893711694,0.9261113648168594,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.024959820618647353,-0.02569707630773794,14.45131629678258,8.189375932943221e-07,0.9992779531026947,,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.004978137849601907,-10.606953823374067,60.97884101757278,0.047185027348742636,0.8280360040389192,,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.2812894260827087,-0.36254086251793655,4.891129786452978,0.0009636664684649077,0.9752352648753192,,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.18496632674664082,-7.579841458264499,6.233015807748746,0.41030969483318813,0.5218123583469273,,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.005012763536604059,-10.606957167559292,60.97891755451186,0.04718501910041972,0.8280360188343473,,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.00496091480103564,-10.5920810370957,61.0206144151562,0.0470659817763277,0.8282496832260822,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.06368988768709996,-4.4512295677778315,8.913333960094521,0.021093688271449196,0.8845240199408783,,PEX2_ENSTGUG00000027344.1
