,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
WRE_WRE,0.13005942265262782,15.24243851947982,53.619460421415866,0.7033151402228839,0.4016719961807813,1.0,WRE_WRE
TMEM74_ENSTGUG00000022792.1,0.015011476384365608,0.059371488541641135,20.368108213299198,1.8774248360386991e-06,0.9989067456728707,1.0,TMEM74_ENSTGUG00000022792.1
TMEM170B_ENSTGUG00000025839.1,0.03498581177914295,0.06269790448693872,14.446471420723748,2.890784095654908e-06,0.998643412907474,1.0,TMEM170B_ENSTGUG00000025839.1
_ENSTGUG00000020832.1,0.0050004445718722056,10.707882578203812,62.622065393826055,0.04722008698949587,0.827973128044501,1.0,_ENSTGUG00000020832.1
_ENSTGUG00000020221.1,0.08990426101195151,-9.851063785833755,12.302108024198967,0.4030986749187946,0.5254932955395792,1.0,_ENSTGUG00000020221.1
RDH10_ENSTGUG00000011532.2,0.010000889143744411,11.704690838638818,58.986630671048026,0.09635561494895484,0.756247663480632,1.0,RDH10_ENSTGUG00000011532.2
EDN1_ENSTGUG00000005833.2,0.0,,,,,,EDN1_ENSTGUG00000005833.2
_ENSTGUG00000011566.2,0.03997555646723991,-6.934436531400195,13.242223490387948,0.06708097437582694,0.7956352786601469,1.0,_ENSTGUG00000011566.2
JPH1_ENSTGUG00000011568.2,0.0,,,,,,JPH1_ENSTGUG00000011568.2
GDAP1_ENSTGUG00000027544.1,0.020008378627676068,8.044660091230583,17.887264113379263,0.0764487525387807,0.7821689166878134,1.0,GDAP1_ENSTGUG00000027544.1
_ENSTGUG00000026397.1,0.020001778287488822,-3.1095107461806886,20.152661393123108,0.0020651795470278955,0.9637532137276837,1.0,_ENSTGUG00000026397.1
_ENSTGUG00000020337.1,0.0,,,,,,_ENSTGUG00000020337.1
PEX2_ENSTGUG00000027344.1,0.029933466535383264,0.004994816802016164,11.817570706283988,5.910862910241121e-10,0.9999806016181096,1.0,PEX2_ENSTGUG00000027344.1
PKIA_ENSTGUG00000025587.1,0.05503183857991118,0.08142215425346526,10.226702435484992,7.4341857896342844e-06,0.9978245143215574,1.0,PKIA_ENSTGUG00000025587.1
GFOD1_ENSTGUG00000027728.1,0.005017804857861455,-10.610550148884592,60.959665055747074,0.047217484411458344,0.8279777946704346,1.0,GFOD1_ENSTGUG00000027728.1
IL7_ENSTGUG00000011619.2,0.0,,,,,,IL7_ENSTGUG00000011619.2
_ENSTGUG00000026838.1,0.1746999989722118,-6.891417025146572,7.1801639915622655,0.20993683229832527,0.6468169186988978,1.0,_ENSTGUG00000026838.1
_ENSTGUG00000022509.1,0.0,,,,,,_ENSTGUG00000022509.1
FABP5_ENSTGUG00000024298.1,0.050118197210816444,6.503987716683289,11.077609434030283,0.07686295488248618,0.7815945294715332,1.0,FABP5_ENSTGUG00000024298.1
PMP2_ENSTGUG00000011663.2,0.0,,,,,,PMP2_ENSTGUG00000011663.2
FABP4_ENSTGUG00000011667.2,0.054935689394744296,-9.769456129305992,17.24224405324216,0.1815527347909267,0.6700422267182772,1.0,FABP4_ENSTGUG00000011667.2
ZFAND1_ENSTGUG00000011672.2,0.0,,,,,,ZFAND1_ENSTGUG00000011672.2
CHMP4C_ENSTGUG00000011678.2,0.004983144347909713,10.710293462131363,62.614750430765675,0.047239536747722966,0.8279382573703061,1.0,CHMP4C_ENSTGUG00000011678.2
RNF182_ENSTGUG00000027109.1,0.010063210712259787,11.553959169926586,60.25354539785104,0.05401026007010046,0.8162265133677767,1.0,RNF182_ENSTGUG00000027109.1
RALYL_ENSTGUG00000011689.2,0.01998447806352633,-8.010721165472033,17.980551315034873,0.07685787153210555,0.781601568597339,1.0,RALYL_ENSTGUG00000011689.2
MCUR1_ENSTGUG00000006092.2,0.03498581177914295,-9.157683302782136,17.523917778884847,0.12912187102443795,0.7193442560271996,1.0,MCUR1_ENSTGUG00000006092.2
SIRT5_ENSTGUG00000006129.2,0.04998653963289951,0.022743848235025666,10.933369895750959,1.10801735786481e-07,0.999734409011431,1.0,SIRT5_ENSTGUG00000006129.2
