0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
GRIA2_ENSTGUG00000005484.2,ATP1B1_ENSTGUG00000013431.2,STMN1_ENSTGUG00000017327.2,VIM_ENSTGUG00000001298.2,OLFM1_ENSTGUG00000006000.2,EPAS1_ENSTGUG00000003933.2,APOA1_ENSTGUG00000021957.1,NRGN_ENSTGUG00000028781.1,NTS_ENSTGUG00000027877.1,SLC1A2_ENSTGUG00000021059.1,NELL2_ENSTGUG00000005974.2,SLC32A1_ENSTGUG00000004537.2,CD74_ENSTGUG00000000882.2,PLP1_ENSTGUG00000006519.2,_ENSTGUG00000015659.2,EPAS1_ENSTGUG00000003933.2,CALM2_ENSTGUG00000002581.2,SPARC_ENSTGUG00000000770.2,PLP1_ENSTGUG00000006519.2,MBP_ENSTGUG00000009051.2
APP_ENSTGUG00000013557.2,SST_ENSTGUG00000027783.1,TUBB2A_ENSTGUG00000028536.1,EGF_ENSTGUG00000004206.2,SERPINI1_ENSTGUG00000011067.2,SLC16A7_ENSTGUG00000029204.1,SLC1A2_ENSTGUG00000021059.1,VSNL1_ENSTGUG00000013109.2,CCK_ENSTGUG00000004682.2,GJA1_ENSTGUG00000011847.2,CLSTN1_ENSTGUG00000003610.2,_ENSTGUG00000020792.1,TMSB4X_ENSTGUG00000008243.2,CNP_ENSTGUG00000002478.2,_ENSTGUG00000019883.1,PLTP_ENSTGUG00000006044.2,SNAP25_ENSTGUG00000006133.2,SERPINE2_ENSTGUG00000007943.2,MBP_ENSTGUG00000009051.2,PLP1_ENSTGUG00000006519.2
NPTXR_ENSTGUG00000024678.1,SLC32A1_ENSTGUG00000004537.2,TUBA1B_ENSTGUG00000010166.2,RPLP1_ENSTGUG00000012661.2,CHGB_ENSTGUG00000025948.1,CFD_ENSTGUG00000000656.2,_ENSTGUG00000026378.1,SNAP25_ENSTGUG00000006133.2,APP_ENSTGUG00000013557.2,APOA1_ENSTGUG00000021957.1,APP_ENSTGUG00000013557.2,ATP1B1_ENSTGUG00000013431.2,_ENSTGUG00000019883.1,MBP_ENSTGUG00000009051.2,BEST1_ENSTGUG00000005934.2,_ENSTGUG00000023209.1,VSNL1_ENSTGUG00000013109.2,PTN_ENSTGUG00000025134.1,_ENSTGUG00000027913.1,TMSB4X_ENSTGUG00000008243.2
OLFM1_ENSTGUG00000006000.2,_ENSTGUG00000012363.2,TMSB15B_ENSTGUG00000006515.2,_ENSTGUG00000026147.1,APP_ENSTGUG00000013557.2,_ENSTGUG00000023209.1,FABP7_ENSTGUG00000011826.2,CALM2_ENSTGUG00000002581.2,OLFM1_ENSTGUG00000006000.2,AGT_ENSTGUG00000009957.2,GRIA2_ENSTGUG00000005484.2,ATP6V0C_ENSTGUG00000003256.2,BEST1_ENSTGUG00000005934.2,_ENSTGUG00000019689.1,CD74_ENSTGUG00000000882.2,CFD_ENSTGUG00000000656.2,YWHAG_ENSTGUG00000004553.2,FABP7_ENSTGUG00000011826.2,APOH_ENSTGUG00000004239.2,APOH_ENSTGUG00000004239.2
NELL2_ENSTGUG00000005974.2,DNER_ENSTGUG00000008311.2,RPLP1_ENSTGUG00000012661.2,_ENSTGUG00000024584.1,DPP6_ENSTGUG00000000647.2,PLTP_ENSTGUG00000006044.2,SLC1A3_ENSTGUG00000002032.2,YWHAG_ENSTGUG00000004553.2,SLC17A6_ENSTGUG00000004570.2,SLC1A3_ENSTGUG00000002032.2,CPE_ENSTGUG00000005938.2,_ENSTGUG00000006670.2,SAT1_ENSTGUG00000007289.2,PLLP_ENSTGUG00000005247.2,_ENSTGUG00000023468.1,POLR2B_ENSTGUG00000002929.2,SNCB_ENSTGUG00000000512.2,PTPRZ1_ENSTGUG00000004543.2,PLLP_ENSTGUG00000005247.2,_ENSTGUG00000019689.1
CLSTN1_ENSTGUG00000003610.2,CRHBP_ENSTGUG00000004054.2,RPL14_ENSTGUG00000026863.1,RPL34_ENSTGUG00000027399.1,NTS_ENSTGUG00000027877.1,SLC2A1_ENSTGUG00000002201.2,_ENSTGUG00000023451.1,SNCA_ENSTGUG00000003065.2,SYT1_ENSTGUG00000007572.2,EGF_ENSTGUG00000004206.2,GPM6A_ENSTGUG00000006358.2,CPE_ENSTGUG00000005938.2,C1QB_ENSTGUG00000024860.1,VAMP8_ENSTGUG00000020301.1,FTH1_ENSTGUG00000005913.2,RGS4_ENSTGUG00000027221.1,CHN1_ENSTGUG00000008848.2,_ENSTGUG00000007756.2,UGT8_ENSTGUG00000001840.2,EPAS1_ENSTGUG00000003933.2
_ENSTGUG00000023451.1,_ENSTGUG00000020792.1,RPL27A_ENSTGUG00000008355.2,RPL35A_ENSTGUG00000009679.2,NELL2_ENSTGUG00000005974.2,BSG_ENSTGUG00000000614.2,GLUL_ENSTGUG00000017345.2,CALM1_ENSTGUG00000019117.1,THY1_ENSTGUG00000000398.2,GPM6B_ENSTGUG00000008166.2,NPTXR_ENSTGUG00000024678.1,APP_ENSTGUG00000013557.2,_ENSTGUG00000023468.1,CRYAB_ENSTGUG00000000320.2,RPS12_ENSTGUG00000021418.1,TMSB4X_ENSTGUG00000008243.2,CALM1_ENSTGUG00000019117.1,SPOCK3_ENSTGUG00000006005.2,_ENSTGUG00000026378.1,_ENSTGUG00000022686.1
_ENSTGUG00000026378.1,CPE_ENSTGUG00000005938.2,RPLP2_ENSTGUG00000009801.2,_ENSTGUG00000007086.2,THY1_ENSTGUG00000000398.2,_ENSTGUG00000021641.1,MT4_ENSTGUG00000006540.2,CHN1_ENSTGUG00000008848.2,ATP1B1_ENSTGUG00000013431.2,ATP1A2_ENSTGUG00000027873.1,OLFM1_ENSTGUG00000006000.2,SERINC1_ENSTGUG00000011827.2,_ENSTGUG00000013513.2,ERMN_ENSTGUG00000029473.1,RPS20_ENSTGUG00000011097.2,SLC16A7_ENSTGUG00000029204.1,OAZ1_ENSTGUG00000000312.2,TNR_ENSTGUG00000017420.2,_ENSTGUG00000020332.1,_ENSTGUG00000021641.1
ATP1A1_ENSTGUG00000020927.1,VSTM2A_ENSTGUG00000023664.1,RPS12_ENSTGUG00000021418.1,RPL32_ENSTGUG00000010472.2,ATP1B3_ENSTGUG00000008432.2,_ENSTGUG00000022686.1,_ENSTGUG00000006533.2,MAP1A_ENSTGUG00000019635.1,_ENSTGUG00000020792.1,GLUL_ENSTGUG00000017345.2,SLC17A6_ENSTGUG00000004570.2,DNER_ENSTGUG00000008311.2,C1QC_ENSTGUG00000019687.1,_ENSTGUG00000027913.1,TMSB4X_ENSTGUG00000008243.2,BSG_ENSTGUG00000000614.2,DNM1_ENSTGUG00000003768.2,TUB_ENSTGUG00000008407.2,ENPP2_ENSTGUG00000012352.2,C6orf62_ENSTGUG00000029400.1
GPM6A_ENSTGUG00000006358.2,SYT1_ENSTGUG00000007572.2,_ENSTGUG00000009794.2,RPL37A_ENSTGUG00000005107.2,SCG5_ENSTGUG00000011734.2,_ENSTGUG00000021664.1,_ENSTGUG00000013071.2,PPP3CA_ENSTGUG00000003527.2,EDIL3_ENSTGUG00000006826.2,CLU_ENSTGUG00000028547.1,SERINC1_ENSTGUG00000011827.2,VSTM2A_ENSTGUG00000023664.1,_ENSTGUG00000019387.1,_ENSTGUG00000022984.1,RPLP1_ENSTGUG00000012661.2,CALD1_ENSTGUG00000012449.2,_ENSTGUG00000019387.1,COLEC12_ENSTGUG00000010195.2,_ENSTGUG00000023451.1,HSP90AA1_ENSTGUG00000012808.2
