GeneNames,control,experiment,logFC,p-value
WRE_WRE,0.42557964,0.008275948,0.41730368,0.0
_ENSTGUG00000027167.1,0.0006456788,0.00037286986,0.00027280892,0.3760328161639227
_ENSTGUG00000024634.1,0.048273224,0.0495144,-0.0012411773,0.7026912912057688
_ENSTGUG00000025332.1,0.009451119,0.008776394,0.0006747255,0.5607937312488807
_ENSTGUG00000029184.1,0.0003405901,0.00034210802,-1.5179103e-06,0.9949228783734008
_ENSTGUG00000025876.1,0.0,0.0,0.0,
TMEM74_ENSTGUG00000022792.1,0.075369954,0.07378703,0.0015829206,0.7008899437848027
_ENSTGUG00000026054.1,0.010178267,0.012395245,-0.002216978,0.10817553733432318
TMEM170B_ENSTGUG00000025839.1,0.093637235,0.102145374,-0.008508138,0.0772180572612867
TERF1_ENSTGUG00000011513.2,0.006518985,0.0128821395,-0.0063631544,2.9215069809591113e-06
_ENSTGUG00000024546.1,0.00013433961,6.990734e-05,6.443227e-05,0.670494974181423
_ENSTGUG00000019590.1,0.00255427,0.0016872344,0.0008670356,0.20547615961679888
SBSPON_ENSTGUG00000011517.2,0.0027549937,0.011754825,-0.008999831,4.836955387106423e-14
_ENSTGUG00000020832.1,0.054266784,0.08230736,-0.028040577,5.690398415654745e-13
_ENSTGUG00000024301.1,0.0,0.0,0.0,
_ENSTGUG00000020937.1,0.0014137181,0.0038428295,-0.0024291114,0.0008443277216920186
_ENSTGUG00000021739.1,0.0019056209,0.0023206184,-0.00041499746,0.5189083867002524
_ENSTGUG00000020221.1,0.12412434,0.17241392,-0.048289575,2.6924669854537928e-17
_ENSTGUG00000028772.1,0.029714065,0.04583222,-0.016118156,1.8457905432298756e-09
RPL7_ENSTGUG00000011518.2,0.8108754,1.0876571,-0.27678168,4.842102744036974e-94
RDH10_ENSTGUG00000011532.2,0.18771148,0.15367565,0.03403583,5.475951713475833e-07
ADTRP_ENSTGUG00000005805.2,0.0007501412,0.001065865,-0.00031572382,0.47149301835733815
_ENSTGUG00000022575.1,0.00012178682,0.0,0.00012178682,0.31732327521721754
_ENSTGUG00000020955.1,0.0004136801,0.00045111205,-3.743195e-05,0.9007748964042726
_ENSTGUG00000028410.1,0.0007800891,0.0009977929,-0.00021770381,0.608922572367343
_ENSTGUG00000027944.1,0.011089797,0.011514774,-0.00042497646,0.7801229388658316
HIVEP1_ENSTGUG00000005813.2,0.047881898,0.065516636,-0.017634738,3.3154461753775404e-07
STAU2_ENSTGUG00000011535.2,0.13124569,0.17549182,-0.044246137,2.302116993352657e-14
EDN1_ENSTGUG00000005833.2,0.019309908,0.040785845,-0.021475937,1.9299580224652194e-15
_ENSTGUG00000025153.1,0.0,0.00015314776,-0.00015314776,0.15852082676437637
_ENSTGUG00000027134.1,0.10462269,0.120039314,-0.015416622,0.0015995118478048873
ELOC_ENSTGUG00000023131.1,0.24857855,0.2708647,-0.022286147,0.0023762770975588703
TMEM70_ENSTGUG00000011565.2,0.18415222,0.22690035,-0.04274814,1.1025346884221367e-10
_ENSTGUG00000011566.2,0.021948643,0.044849105,-0.022900462,1.9010637003442776e-14
JPH1_ENSTGUG00000011568.2,0.03422091,0.046521172,-0.01230026,3.0273488832113415e-05
GDAP1_ENSTGUG00000027544.1,0.06853481,0.07681218,-0.0082773715,0.048876987492348686
PI15_ENSTGUG00000011576.2,0.003738128,0.005622678,-0.0018845499,0.052294397388691655
RAD54B_ENSTGUG00000011880.2,0.017438848,0.022960005,-0.0055211578,0.0060291846245043535
CRISPLD1_ENSTGUG00000011579.2,0.029609324,0.049607925,-0.0199986,1.2148919085342924e-11
FSBP_ENSTGUG00000026292.1,0.031441163,0.048976712,-0.017535549,1.2084506839377094e-09
HNF4G_ENSTGUG00000011585.2,0.0027472198,0.0014202762,0.0013269435,0.05718645597444605
SLC6A20_ENSTGUG00000005106.2,0.044409566,0.05080369,-0.0063941255,0.01364231187571641
_ENSTGUG00000026397.1,0.027885148,0.019654205,0.008230943,0.001036130618116953
_ENSTGUG00000020337.1,0.0031291426,0.004417058,-0.0012879155,0.1504087820634392
ZFHX4_ENSTGUG00000011605.2,0.11364813,0.11334476,0.00030337274,0.9512620189984002
_ENSTGUG00000021603.1,0.00029269923,0.00027528533,1.7413899e-05,0.9415542955723781
_ENSTGUG00000020897.1,0.009646399,0.010383009,-0.00073661003,0.5730127099404412
PHACTR1_ENSTGUG00000005838.2,0.17788869,0.15796177,0.01992692,0.0010202062368197663
_ENSTGUG00000028699.1,0.05210569,0.090231344,-0.038125653,2.72045910957511e-27
PEX2_ENSTGUG00000027344.1,0.06717181,0.057588946,0.009582866,0.009667825303113435
_ENSTGUG00000026466.1,0.009279161,0.008001043,0.0012781173,0.3270851058537356
PKIA_ENSTGUG00000025587.1,0.19627798,0.20169929,-0.0054213107,0.43030324407617215
